章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
090_魏豹彭越列传	魏豹	魏豹	6	词表匹配	魏豹	# 090_魏豹彭越列传↵↵## 魏	人名
090_魏豹彭越列传	彭越	彭越	8	词表匹配	彭越	# 090_魏豹彭越列传↵↵## 魏咎殉	人名
090_魏豹彭越列传	魏咎	魏咎	17	词表匹配	魏咎	豹彭越列传↵↵## 魏咎殉国↵↵[0] **	人名
090_魏豹彭越列传	魏豹叛汉被杀	魏豹叛汉被杀	376	词表匹配	魏豹叛汉被杀	@自烧杀。↵↵## 魏豹叛汉被杀↵↵[3] @魏豹@	event
090_魏豹彭越列传	数千人	数千人	410	词表匹配	数千人	&$怀王$予@魏豹@数千人，复徇&魏&地。@项	时间
090_魏豹彭越列传	十馀城	十馀城	445	词表匹配	十馀城	@。@豹@下&魏&二十馀城，立@豹@为&魏&王	时间
090_魏豹彭越列传	万户	万户	649	词表匹配	万户	魏豹@，能下之，吾以万户封若。"@郦生@说@	时间
090_魏豹彭越列传	一世	一世	673	词表匹配	一世	。@豹@谢曰："人生一世间，如白驹过隙耳。今	时间
090_魏豹彭越列传	礼节	礼节	709	词表匹配	礼节	臣如骂奴耳，非有上下礼节也，吾不忍复见也。"	制度
090_魏豹彭越列传	彭越聚众起事	彭越聚众起事	795	词表匹配	彭越聚众起事	@魏豹@。↵↵## 彭越聚众起事↵↵[5] @彭越@	event
090_魏豹彭越列传	岁馀	岁馀	906	词表匹配	岁馀	之。"↵↵[6] 居岁馀，泽间少年相聚百馀人	时间
090_魏豹彭越列传	百馀人	百馀人	915	词表匹配	百馀人	居岁馀，泽间少年相聚百馀人，往从@彭越@，曰：	时间
090_魏豹彭越列传	十馀人	十馀人	978	词表匹配	十馀人	後期者斩。旦日日出，十馀人後，後者至日中。於是	时间
090_魏豹彭越列传	日中	日中	986	词表匹配	日中	出，十馀人後，後者至日中。於是@越@谢曰："	时间
090_魏豹彭越列传	千馀人	千馀人	1097	词表匹配	千馀人	略地，收诸侯散卒，得千馀人。↵↵## 游兵袭楚	时间
090_魏豹彭越列传	万馀人	万馀人	1197	词表匹配	万馀人	侯，还归，@彭越@众万馀人毋所属。%汉元年秋%	时间
090_魏豹彭越列传	三万馀人	三万馀人	1307	词表匹配	三万馀人	楚&，@彭越@将其兵三万馀人归&汉&於=外黄=。	时间
090_魏豹彭越列传	十馀城	十馀城	1339	词表匹配	十馀城	彭@将军收&魏&地得十馀城，欲急立&魏&後。今	时间
090_魏豹彭越列传	河上	河上	1445	词表匹配	河上	所下城，独将其兵北居河上。%汉王三年%，@彭	地名
090_魏豹彭越列传	十馀城	十馀城	1608	词表匹配	十馀城	越@复下=昌邑=旁二十馀城，得穀十馀万斛，以给	时间
090_魏豹彭越列传	十馀万	十馀万	1614	词表匹配	十馀万	邑=旁二十馀城，得穀十馀万斛，以给&汉&王食。	时间
090_魏豹彭越列传	二人	二人	1894	词表匹配	二人	邑。君王能出捐此地许二人，二人今可致；即不能	时间
090_魏豹彭越列传	二人	二人	1897	词表匹配	二人	王能出捐此地许二人，二人今可致；即不能，事未	时间
090_魏豹彭越列传	功臣	功臣	1991	词表匹配	功臣	=定陶=。↵↵## 功臣被诛灭族↵↵[10]	官职
090_魏豹彭越列传	有司	有司	2230	词表匹配	有司	&王，囚之=雒阳=。有司治反形己具，请论如法	官职
090_魏豹彭越列传	舍人	舍人	2383	词表匹配	舍人	"於是@吕后@乃令其舍人@彭越@复谋反。$廷	人名
090_魏豹彭越列传	司马迁	太史公	2427	词表匹配	太史公	族，国除。↵↵## 太史公论成败↵↵[12] 	人名
090_魏豹彭越列传	千里	千里	2464	词表匹配	千里	越@虽故贱，然已席卷千里，南面称孤，喋血乘胜	时间
