章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
091_黥布列传	黥布	黥布	6	词表匹配	黥布	# 091_黥布列传↵↵## 当刑而	人名
091_黥布列传	数十万	数十万	139	词表匹配	数十万	丽山=，=丽山=之徒数十万人，@布@皆与其徒长	时间
091_黥布列传	项羽	项羽	179	词表匹配	项羽	为群盗。↵↵## 随项羽征战↵↵[2] @陈	人名
091_黥布列传	数千人	数千人	217	词表匹配	数千人	与其众叛&秦&，聚兵数千人。@番君@以其女妻之	时间
091_黥布列传	左右校	左右校	260	词表匹配	左右校	布@乃引兵北击&秦&左右校，破之=清波=，引兵	官职
091_黥布列传	冠军	冠军	377	词表匹配	冠军	@秦嘉@等，@布@常冠军。@项梁@至=薛=，	官职
091_黥布列传	河上	河上	563	词表匹配	河上	@项籍@杀@宋义@於河上，$怀王$因立@籍@	地名
091_黥布列传	二十馀万	二十馀万	712	词表匹配	二十馀万	击阬@章邯@&秦&卒二十馀万人。至关，不得入，又	时间
091_黥布列传	下军	下军	737	词表匹配	下军	@布@等先从间道破关下军，遂得入，至=咸阳=	官职
091_黥布列传	英布	英布	787	词表匹配	英布	都=六=。↵↵## 英布叛楚↵↵[5] %汉	人名
091_黥布列传	数千人	数千人	939	词表匹配	数千人	布@称病不往，遣将将数千人行。&汉&之败&楚&	时间
091_黥布列传	随何	随何	1054	词表匹配	随何	以故未击。↵↵## 随何说淮南↵↵[7] %	人名
091_黥布列传	淮南王	淮南	1057	词表匹配	淮南	击。↵↵## 随何说淮南↵↵[7] %汉三年	人名
091_黥布列传	数月	数月	1176	词表匹配	数月	，留@项王@於&齐&数月，我之取天下可以百全	时间
091_黥布列传	十人	十人	1206	词表匹配	十人	"臣请使之。"乃与二十人俱，使=淮南=。至，	时间
091_黥布列传	三日	三日	1226	词表匹配	三日	至，因$太宰$主之，三日不得见。@随何@因说	时间
091_黥布列传	十人	十人	1309	词表匹配	十人	而非邪，使@何@等二十人伏*斧质*=淮南=市	时间
091_黥布列传	明王	明王	1323	词表匹配	明王	斧质*=淮南=市，以明王倍&汉&而与&楚&也	官职
091_黥布列传	四千人	四千人	1492	词表匹配	四千人	&楚&军前锋，今乃发四千人以助&楚&。夫北面而	时间
091_黥布列传	万人	万人	1564	词表匹配	万人	战=彭城=下，大王抚万人之众，无一人渡淮者，	时间
091_黥布列传	百里	百里	1747	词表匹配	百里	梁地=，深入敌国八九百里，欲战则不得，攻城则	人名
091_黥布列传	千里	千里	1767	词表匹配	千里	城则力不能，老弱转粮千里之外；&楚&兵至=荥	时间
091_黥布列传	王发	王发	1920	词表匹配	王发	足以亡&楚&也。夫大王发兵而倍&楚&，@项王	人名
091_黥布列传	数月	数月	1937	词表匹配	数月	&，@项王@必留；留数月，&汉&之取天下可以	时间
091_黥布列传	数月	数月	2229	词表匹配	数月	王@留而攻=下邑=。数月，@龙且@击=淮南=	时间
091_黥布列传	数千人	数千人	2403	词表匹配	数千人	者颇得故人幸臣，将众数千人归&汉&。&汉&益分	时间
091_黥布列传	万人	万人	2630	词表匹配	万人	齐&也，陛下发步卒五万人，骑五千，能以取=淮	时间
091_黥布列传	十人	十人	2670	词表匹配	十人	："陛下使@何@与二十人使=淮南=，至，如陛	时间
091_黥布列传	万人	万人	2697	词表匹配	万人	@何@之功贤於步卒五万人骑五千也。然而陛下谓	时间
091_黥布列传	剖符	剖符	2757	词表匹配	剖符	护军中尉$。@布@遂剖符为=淮南=王，都=六	制度
091_黥布列传	贲赫告变	贲赫告变	2802	词表匹配	贲赫告变	属@布@。↵↵## 贲赫告变↵↵[12] %七年	event
091_黥布列传	侍中	侍中	2984	词表匹配	侍中	医家，@贲赫@自以为侍中，乃厚餽遗，从姬饮医	官职
091_黥布列传	薛公论三策	薛公论三策	3230	词表匹配	薛公论三策	以为将军。↵↵## 薛公论三策↵↵[15] 上召诸	event
091_黥布列传	竖子	竖子	3271	词表匹配	竖子	皆曰；"发兵击之，阬竖子耳。何能为乎！"$汝	器物
091_黥布列传	三人	三人	3374	词表匹配	三人	，前年杀@韩信@，此三人者，同功一体之人也。	时间
091_黥布列传	出於	出於	3466	词表匹配	出於	反不足怪也。使@布@出於上计，=山东=非&汉	人名
