章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
093_韩信卢绾列传	韩信	韩信	6	词表匹配	韩信	# 093_韩信卢绾列传↵↵## 韩	人名
093_韩信卢绾列传	卢绾	卢绾	8	词表匹配	卢绾	# 093_韩信卢绾列传↵↵## 韩王信	人名
093_韩信卢绾列传	韩王信	韩王信	17	词表匹配	韩王信	信卢绾列传↵↵## 韩王信略韩地↵↵[0] *	人名
093_韩信卢绾列传	韩地	韩地	21	词表匹配	韩地	传↵↵## 韩王信略韩地↵↵[0] **韩信	地名
093_韩信卢绾列传	八尺	八尺	67	词表匹配	八尺	&$襄王$孽孙也，长八尺五寸。及@项梁@之立	时间
093_韩信卢绾列传	五寸	五寸	69	词表匹配	五寸	襄王$孽孙也，长八尺五寸。及@项梁@之立&楚	时间
093_韩信卢绾列传	韩列侯	列侯	397	词表匹配	列侯	功，不遣就国，更以为列侯。及闻&汉&遣@韩信	人名
093_韩信卢绾列传	十馀城	十馀城	462	词表匹配	十馀城	，@韩信@略定&韩&十馀城。&汉&王至=河南=	时间
093_韩信卢绾列传	剖符	剖符	619	词表匹配	剖符	定。%五年春%，遂与剖符为&韩&王，王=颍川	制度
093_韩信卢绾列传	匈奴	匈奴	639	词表匹配	匈奴	颍川=。↵↵## 降匈奴击边↵↵[4] 明年	朝代
093_韩信卢绾列传	明年春	明年春	649	词表匹配	明年春	匈奴击边↵↵[4] 明年春，上以@韩信@材武，	时间
093_韩信卢绾列传	万馀骑	万馀骑	985	词表匹配	万馀骑	奴~仗左右$贤王$将万馀骑与@王黄@等屯=广武	时间
093_韩信卢绾列传	西北	西北	1044	词表匹配	西北	匈奴~复聚兵=楼烦=西北，&汉&令车骑击破~	地名
093_韩信卢绾列传	车骑	车骑	1051	词表匹配	车骑	楼烦=西北，&汉&令车骑击破~匈奴~。~匈奴	官职
093_韩信卢绾列传	七日	七日	1182	词表匹配	七日	；且两主不相戹。"居七日，~胡~骑稍引去。时	时间
093_韩信卢绾列传	今王	今王	1408	词表匹配	今王	，不诛也。大王所知。今王以败亡走~胡~，非有	官职
093_韩信卢绾列传	一旦	一旦	1517	词表匹配	一旦	反为寇将兵，与将军争一旦之命，此三罪也。夫@	时间
093_韩信卢绾列传	韩信	韩信	1644	词表匹配	韩信	王@信@。↵↵## 韩信子孙↵↵[7] @信	人名
093_韩信卢绾列传	岁馀	岁馀	1842	词表匹配	岁馀	案道侯$。子@代@，岁馀坐法死。後岁馀，@说	时间
093_韩信卢绾列传	岁馀	岁馀	1849	词表匹配	岁馀	代@，岁馀坐法死。後岁馀，@说@孙@曾@拜为	时间
093_韩信卢绾列传	卢绾	卢绾	1878	词表匹配	卢绾	@说@後。↵↵## 卢绾从沛起义↵↵[8] 	人名
093_韩信卢绾列传	侍中	侍中	2060	词表匹配	侍中	入=汉中=为将军，常侍中。从东击@项籍@，以	官职
093_韩信卢绾列传	别将	别将	2174	词表匹配	别将	项籍@，乃使@卢绾@别将，与@刘贾@击$临江	人名
093_韩信卢绾列传	将相	将相	2265	词表匹配	将相	虏@臧荼@，乃下诏诸将相列侯，择群臣有功者以	官职
093_韩信卢绾列传	韩列侯	列侯	2267	词表匹配	列侯	臧荼@，乃下诏诸将相列侯，择群臣有功者以为&	人名
093_韩信卢绾列传	卢绾通谋匈奴	卢绾通谋匈奴	2371	词表匹配	卢绾通谋匈奴	&燕&王。↵↵## 卢绾通谋匈奴↵↵[10] %汉十	event
093_韩信卢绾列传	东北	东北	2427	词表匹配	东北	&燕&王@绾@亦击其东北。当是时，@陈豨@使	地名
093_韩信卢绾列传	韩安国	安国	2630	词表匹配	安国	；即有&汉&急，可以安国。"@张胜@以为然，	人名
093_韩信卢绾列传	裨将	裨将	2797	词表匹配	裨将	樊哙@击斩@豨@。其裨将降，言&燕&王@绾@	官职
093_韩信卢绾列传	汉武帝	今上	2939	词表匹配	今上	越@，皆@吕后@计。今上病，属任@吕后@。@	人名
093_韩信卢绾列传	大功臣	大功臣	2967	词表匹配	大功臣	专欲以事诛异姓王者及大功臣。"乃遂称病不行。其	官职
093_韩信卢绾列传	数千	数千	3076	词表匹配	数千	绾@悉将其宫人家属骑数千居=长城=下，侯伺，	时间
093_韩信卢绾列传	岁馀	岁馀	3154	词表匹配	岁馀	所侵夺，常思复归。居岁馀，死~胡~中。↵↵#	时间
093_韩信卢绾列传	卢绾	卢绾	3168	词表匹配	卢绾	~胡~中。↵↵## 卢绾后事↵↵[12] %	人名
093_韩信卢绾列传	陈豨	陈豨	3287	词表匹配	陈豨	亚谷侯$。↵↵## 陈豨任边将↵↵[14] 	人名
093_韩信卢绾列传	韩列侯	列侯	3358	词表匹配	列侯	城=还，乃封@豨@为列侯，以&赵&$相国$将	人名
093_韩信卢绾列传	千馀	千馀	3424	词表匹配	千馀	$见@豨@宾客随之者千馀乘，=邯郸=官舍皆满	时间
093_韩信卢绾列传	数岁	数岁	3489	词表匹配	数岁	@宾客盛甚，擅兵於外数岁，恐有变。上乃令人覆	时间
093_韩信卢绾列传	陈豨	陈豨	3617	词表匹配	陈豨	代&。↵↵## 平定陈豨之乱↵↵[16] 上	人名
093_韩信卢绾列传	二十城	二十城	3736	词表匹配	二十城	五城，@豨@反，亡其二十城。"上问曰："$守$	时间
093_韩信卢绾列传	竖子	竖子	3836	词表匹配	竖子	四人谒，上谩骂曰："竖子能为将乎？"四人惭伏	器物
