章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
097_郦生陆贾列传	郦生食其	郦生	6	词表匹配	郦生	# 097 郦生陆贾列传↵↵## 标	人名
097_郦生陆贾列传	陆贾	陆贾	8	词表匹配	陆贾	# 097 郦生陆贾列传↵↵## 标题↵	人名
097_郦生陆贾列传	郦生食其	郦生	39	词表匹配	郦生	传↵↵## [1] 郦生早年↵↵[1.1] 	人名
097_郦生陆贾列传	数十人	数十人	144	词表匹配	数十人	诸将徇地过=高阳=者数十人，@郦生@闻其将皆握	时间
097_郦生陆贾列传	中子	中子	220	词表匹配	中子	$骑士$適@郦生@里中子也，$@沛公@$时时	官职
097_郦生陆贾列传	八尺	八尺	315	词表匹配	八尺	@，年%六十馀%，长八尺，人皆谓之狂生，生自	时间
097_郦生陆贾列传	汉高祖	沛公	436	词表匹配	沛公	↵## [2] 初见沛公↵↵[2.1] $@	人名
097_郦生陆贾列传	诸侯相	诸侯相	564	词表匹配	诸侯相	下同苦&秦&久矣，故诸侯相率而攻&秦&，何谓助	官职
097_郦生陆贾列传	万人	万人	706	词表匹配	万人	众，收散乱之兵，不满万人，欲以径入强&秦&，	时间
097_郦生陆贾列传	数千人	数千人	854	词表匹配	数千人	言其弟@郦商@，使将数千人从$@沛公@$西南略	时间
097_郦生陆贾列传	西南	西南	864	词表匹配	西南	数千人从$@沛公@$西南略地。@郦生@常为说	地名
097_郦生陆贾列传	千里	千里	1337	词表匹配	千里	&未下。今@田广@据千里之&齐&，@田间@将	时间
097_郦生陆贾列传	十万之众	十万之众	1350	词表匹配	十万之众	&齐&，@田间@将二十万之众，军於=历城=，诸$	时间
097_郦生陆贾列传	数十万	数十万	1396	词表匹配	数十万	，人多变诈，足下虽遣数十万师，未可以岁月破也。	时间
097_郦生陆贾列传	社稷	社稷	2043	词表匹配	社稷	@汉王@$，&齐&国社稷可得而保也；不下$@	制度
097_郦生陆贾列传	兵守	兵守	2089	词表匹配	兵守	@郦生@，罢=历下=兵守战备，与@郦生@%日	官职
097_郦生陆贾列传	七十馀城	七十馀城	2133	词表匹配	七十馀城	@郦生@伏轼下&齐&七十馀城，乃夜度兵=平原=袭	时间
097_郦生陆贾列传	功臣	功臣	2301	词表匹配	功臣	@高祖@$举$列侯$功臣，思@郦食其@。@郦	官职
097_郦生陆贾列传	三世	三世	2357	词表匹配	三世	。後更食=武遂=，嗣三世。%元狩元年%中，$	时间
097_郦生陆贾列传	弃市	弃市	2394	词表匹配	弃市	@$取*百斤金*，当弃市，病死，国除也。↵↵	制度
097_郦生陆贾列传	陆贾	陆贾	2413	词表匹配	陆贾	。↵↵## [4] 陆贾使越↵↵[4.1] 	人名
097_郦生陆贾列传	中国	中国	2483	词表匹配	中国	 及$@高祖@$时，中国初定，$@尉他@$平	地名
097_郦生陆贾列传	中国	中国	2569	词表匹配	中国	@因进说他曰："足下中国人，亲戚昆弟坟在=真	地名
097_郦生陆贾列传	将相	将相	2768	词表匹配	将相	&，不助天下诛暴逆，将相欲移兵而诛王，$天子	官职
097_郦生陆贾列传	剖符	剖符	2804	词表匹配	剖符	臣授$君王$*印*，剖符通使。$君王$宜郊迎	制度
097_郦生陆贾列传	十万众	十万众	2863	词表匹配	十万众	夷灭宗族，使一偏将将十万众临&越&，则&越&杀	时间
097_郦生陆贾列传	中国	中国	3043	词表匹配	中国	〛〚三王〛之业，统理中国。中国之人以亿计，地	地名
097_郦生陆贾列传	中国	中国	3046	词表匹配	中国	王〛之业，统理中国。中国之人以亿计，地方万里	地名
097_郦生陆贾列传	天地	天地	3084	词表匹配	天地	物殷富，政由一家，自天地剖泮未始有也。今王众	天文
097_郦生陆贾列传	今王	今王	3093	词表匹配	今王	自天地剖泮未始有也。今王众不过数十万，皆~蛮	官职
097_郦生陆贾列传	数十万	数十万	3098	词表匹配	数十万	未始有也。今王众不过数十万，皆~蛮夷~，崎岖山	时间
097_郦生陆贾列传	中国	中国	3146	词表匹配	中国	@$大笑曰："吾不起中国，故王此。使我居中国	地名
097_郦生陆贾列传	中国	中国	3156	词表匹配	中国	中国，故王此。使我居中国，何渠不若&汉&？"	地名
097_郦生陆贾列传	数月	数月	3179	词表匹配	数月	大说@陆生@，留与饮数月。曰："&越&中无足	时间
097_郦生陆贾列传	陆贾著新语	陆贾著新语	3296	词表匹配	陆贾著新语	。↵↵## [5] 陆贾著新语↵↵[5.1] @陆	event
097_郦生陆贾列传	而以	而以	3388	词表匹配	而以	？且〚汤〛〚武〛逆取而以顺守之，文武并用，长	人名
097_郦生陆贾列传	文武	文武	3394	词表匹配	文武	武〛逆取而以顺守之，文武并用，长久之术也。昔	人名
097_郦生陆贾列传	陆贾	陆贾	3592	词表匹配	陆贾	。↵↵## [6] 陆贾家居↵↵[6.1] 	人名
097_郦生陆贾列传	十人	十人	3737	词表匹配	十人	舞*鼓**琴瑟*侍者十人，*宝剑*直*百金*	时间
