章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
099_刘敬叔孙通列传	刘敬	刘敬	6	词表匹配	刘敬	# 099 刘敬叔孙通列传↵↵## 	人名
099_刘敬叔孙通列传	叔孙通	叔孙通	8	词表匹配	叔孙通	# 099 刘敬叔孙通列传↵↵## 标题↵	人名
099_刘敬叔孙通列传	刘敬劝都关中	刘敬劝都关中	41	词表匹配	刘敬劝都关中	传↵↵## [1] 刘敬劝都关中↵↵[1.1] @刘	event
099_刘敬叔孙通列传	八百诸侯	八百诸侯	438	词表匹配	八百诸侯	不期而会=孟津=之上八百诸侯，皆曰$@纣@$可伐	时间
099_刘敬叔孙通列传	宾服	宾服	615	词表匹配	宾服	~八夷~大国之民莫不宾服，效其贡职。及&周&	制度
099_刘敬叔孙通列传	三千人	三千人	676	词表匹配	三千人	起=丰==沛=，收卒三千人，以之径往而卷&蜀&	时间
099_刘敬叔孙通列传	百年	百年	960	词表匹配	百年	&人，争言&周&王数百年，&秦&二世即亡，不	时间
099_刘敬叔孙通列传	胡亥	二世	966	词表匹配	二世	周&王数百年，&秦&二世即亡，不如都&周&。	人名
099_刘敬叔孙通列传	刘敬	刘敬	1085	词表匹配	刘敬	。↵↵## [2] 刘敬论匈奴↵↵[2.1]	人名
099_刘敬叔孙通列传	匈奴	匈奴	1088	词表匹配	匈奴	## [2] 刘敬论匈奴↵↵[2.1] &汉	朝代
099_刘敬叔孙通列传	二十馀万	二十馀万	1281	词表匹配	二十馀万	汉&兵已逾=句注=，二十馀万兵已业行。上怒，骂@	时间
099_刘敬叔孙通列传	千户	千户	1423	词表匹配	千户	者矣。"乃封@敬@二千户，为$关内侯$，号为	时间
099_刘敬叔孙通列传	北边	北边	1502	词表匹配	北边	彊，控弦三十万，数苦北边。上患之，问@刘敬@	地名
099_刘敬叔孙通列传	岁时	岁时	1693	词表匹配	岁时	汉&重币。$陛下$以岁时&汉&所馀彼所鲜数问	时间
099_刘敬叔孙通列传	而取	而取	1876	词表匹配	而取	竟不能遣$长公主$，而取家人子名为$长公主$	器物
099_刘敬叔孙通列传	刘敬徙豪杰实关中	刘敬徙豪杰实关中	1917	词表匹配	刘敬徙豪杰实关中	。↵↵## [3] 刘敬徙豪杰实关中↵↵[3.1] @刘	event
099_刘敬叔孙通列传	百里	百里	1974	词表匹配	百里	王，去=长安=近者七百里，轻骑%一日一夜%可	人名
099_刘敬叔孙通列传	六国	六国	2070	词表匹配	六国	少人。北近胡寇，东有六国之族，宗彊，%一日%	制度
099_刘敬叔孙通列传	名家	名家	2150	词表匹配	名家	&、&魏&後，及豪桀名家居&关中&。无事，可	制度
099_刘敬叔孙通列传	十馀万	十馀万	2210	词表匹配	十馀万	刘敬@徙所言&关中&十馀万口。↵↵## [4]	时间
099_刘敬叔孙通列传	叔孙通	叔孙通	2224	词表匹配	叔孙通	。↵↵## [4] 叔孙通秦时事↵↵[4.1]	人名
099_刘敬叔孙通列传	文学	文学	2256	词表匹配	文学	薛=人也。&秦&时以文学徵，待诏$博士$。数	官职
099_刘敬叔孙通列传	待诏	待诏	2260	词表匹配	待诏	。&秦&时以文学徵，待诏$博士$。数岁，@陈	官职
099_刘敬叔孙通列传	数岁	数岁	2267	词表匹配	数岁	学徵，待诏$博士$。数岁，@陈胜@起&山东&	时间
099_刘敬叔孙通列传	十馀人	十馀人	2330	词表匹配	十馀人	何？"$博士$诸生三十馀人前曰："人臣无将，将	时间
099_刘敬叔孙通列传	人臣	人臣	2337	词表匹配	人臣	诸生三十馀人前曰："人臣无将，将即反，罪死无	官职
099_刘敬叔孙通列传	百馀人	百馀人	2835	词表匹配	百馀人	降&汉&，从儒生弟子百馀人，然@通@无所言进，	时间
099_刘敬叔孙通列传	数岁	数岁	2870	词表匹配	数岁	子皆窃骂曰："事先生数岁，幸得从降&汉&，今	时间
099_刘敬叔孙通列传	叔孙通	叔孙通	2991	词表匹配	叔孙通	。↵↵## [5] 叔孙通制礼仪↵↵[5.1]	人名
099_刘敬叔孙通列传	礼仪	礼仪	2995	词表匹配	礼仪	# [5] 叔孙通制礼仪↵↵[5.1] &汉	制度
099_刘敬叔孙通列传	儒者	儒者	3120	词表匹配	儒者	厌之也，说上曰："夫儒者难与进取，可与守成。	制度
099_刘敬叔孙通列传	十馀人	十馀人	3305	词表匹配	十馀人	通@使徵&鲁&诸生三十馀人。&鲁&有两生不肯行	时间
099_刘敬叔孙通列传	百年	百年	3372	词表匹配	百年	^礼乐^所由起，积德百年而後可兴也。吾不忍为	时间
099_刘敬叔孙通列传	十人	十人	3442	词表匹配	十人	5.3] 遂与所徵三十人西，及上左右为学者与	时间
099_刘敬叔孙通列传	百馀人	百馀人	3457	词表匹配	百馀人	上左右为学者与其弟子百馀人为*绵蕞*野外。习之	时间
099_刘敬叔孙通列传	数百人	数百人	3613	词表匹配	数百人	殿下$郎中$侠陛，陛数百人。功臣$列侯$诸$将	时间
099_刘敬叔孙通列传	功臣	功臣	3617	词表匹配	功臣	中$侠陛，陛数百人。功臣$列侯$诸$将军$$	官职
099_刘敬叔孙通列传	西方	西方	3635	词表匹配	西方	将军$$军吏$以次陈西方，东乡；文官$丞相$	地名
099_刘敬叔孙通列传	东方	东方	3650	词表匹配	东方	；文官$丞相$以下陈东方，西乡。$大行$设^	地名
099_刘敬叔孙通列传	六百石	六百石	3696	词表匹配	六百石	警，引诸侯王以下至吏六百石以次奉贺。自诸侯王以	制度
099_刘敬叔孙通列传	百斤	百斤	3846	词表匹配	百斤	$太常$，赐*金*五百斤。↵↵[5.5] @	时间
099_刘敬叔孙通列传	叔孙通	叔孙通	3959	词表匹配	叔孙通	"↵↵## [6] 叔孙通为太子太傅↵↵[6.	人名
099_刘敬叔孙通列传	太子太傅	太子太傅	3963	词表匹配	太子太傅	# [6] 叔孙通为太子太傅↵↵[6.1] &汉	官职
099_刘敬叔孙通列传	数十年	数十年	4080	词表匹配	数十年	奚齐@，&晋&国乱者数十年，为天下笑。&秦&以	时间
099_刘敬叔孙通列传	叔孙通	叔孙通	4401	词表匹配	叔孙通	。↵↵## [7] 叔孙通定宗庙礼↵↵[7.1	人名
099_刘敬叔孙通列传	宗庙	宗庙	4405	词表匹配	宗庙	# [7] 叔孙通定宗庙礼↵↵[7.1] $	制度
099_刘敬叔孙通列传	宗庙	宗庙	4521	词表匹配	宗庙	$，柰何令後世子孙乘宗庙道上行哉？"$@孝惠	制度
099_刘敬叔孙通列传	有过	有过	4577	词表匹配	有过	皆知之，今坏此，则示有过举。原$陛下$原庙=	朝代
099_刘敬叔孙通列传	原庙	原庙	4586	词表匹配	原庙	示有过举。原$陛下$原庙=渭=北，*衣冠*月	制度
099_刘敬叔孙通列传	宗庙	宗庙	4605	词表匹配	宗庙	冠*月出游之，益广多宗庙，大孝之本也。"上乃	制度
099_刘敬叔孙通列传	有司	有司	4618	词表匹配	有司	大孝之本也。"上乃诏有司立原庙。原庙起，以*	官职
099_刘敬叔孙通列传	原庙	原庙	4621	词表匹配	原庙	本也。"上乃诏有司立原庙。原庙起，以*衤复道	制度
099_刘敬叔孙通列传	原庙	原庙	4624	词表匹配	原庙	"上乃诏有司立原庙。原庙起，以*衤复道*故。	制度
099_刘敬叔孙通列传	宗庙	宗庙	4700	词表匹配	宗庙	$出，因取〘樱桃〙献宗庙。"上乃许之。诸〘果	制度
099_刘敬叔孙通列传	司马迁	太史公	4727	词表匹配	太史公	。↵↵## [8] 太史公曰↵↵[8.1] $	人名
