章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
100_季布栾布列传	天下	天下	466	词表匹配	天下	臣可尽诛邪？今上始得天下，独以己之私怨求一人	思想
100_季布栾布列传	天下	天下	481	词表匹配	天下	己之私怨求一人，何示天下之不广也！且以@季布	思想
100_季布栾布列传	天下	天下	877	词表匹配	天下	@哙@又面谀，欲摇动天下。"是时殿上皆恐，$	思想
100_季布栾布列传	天下	天下	1087	词表匹配	天下	一人之毁而去臣，臣恐天下有识闻之有以闚$陛下	思想
100_季布栾布列传	天下	天下	1387	词表匹配	天下	也。仆游扬足下之名於天下，顾不重邪？何足下距	思想
100_季布栾布列传	天下	天下	1781	词表匹配	天下	忠，使$@项王@$失天下者，乃@丁公@也。"	思想
100_季布栾布列传	夷三族	夷三族	2063	词表匹配	夷三族	彭越@$，责以谋反，夷三族。已而枭$@彭越@$	刑法
100_季布栾布列传	天下	天下	2331	词表匹配	天下	，$@项氏@$不亡。天下已定，$@彭王@$剖	思想
100_季布栾布列传	诛灭	诛灭	2398	词表匹配	诛灭	，反形未见，以苛小案诛灭之，臣恐功臣人人自危	刑法
100_季布栾布列传	富贵	富贵	2512	词表匹配	富贵	能辱身下志，非人也；富贵不能快意，非贤也。"	思想
