章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
101_袁盎晁错列传	袁盎	袁盎	6	词表匹配	袁盎	# [0] 袁盎晁错列传↵↵## 袁	人名
101_袁盎晁错列传	晁错	晁错	8	词表匹配	晁错	# [0] 袁盎晁错列传↵↵## 袁盎↵	人名
101_袁盎晁错列传	袁盎	袁盎	17	词表匹配	袁盎	盎晁错列传↵↵## 袁盎↵↵### 出身与早	人名
101_袁盎晁错列传	舍人	舍人	99	词表匹配	舍人	，@盎@尝为@吕禄@舍人。↵↵[1.4] 及	人名
101_袁盎晁错列传	绛侯	绛侯	143	词表匹配	绛侯	郎$。↵↵### 论绛侯↵↵[2.1] @绛	人名
101_袁盎晁错列传	袁盎	袁盎	268	词表匹配	袁盎	↵↵> NOTE: 袁盎论社稷臣与功臣之别↵	人名
101_袁盎晁错列传	社稷臣	社稷臣	271	词表匹配	社稷臣	 NOTE: 袁盎论社稷臣与功臣之别↵> "@	官职
101_袁盎晁错列传	功臣	功臣	275	词表匹配	功臣	E: 袁盎论社稷臣与功臣之别↵> "@绛侯@	官职
101_袁盎晁错列传	绛侯	绛侯	519	词表匹配	绛侯	不谢。↵↵### 救绛侯↵↵[3.1] 及@	人名
101_袁盎晁错列传	免相	免相	534	词表匹配	免相	3.1] 及@绛侯@免相之国，国人上书告以为	官职
101_袁盎晁错列传	袁盎	袁盎	625	词表匹配	袁盎	盎@结交。↵↵## 袁盎谏淮南王↵↵### 	人名
101_袁盎晁错列传	淮南王	淮南王	628	词表匹配	淮南王	交。↵↵## 袁盎谏淮南王↵↵### 谏淮南王	人名
101_袁盎晁错列传	淮南王	淮南王	638	词表匹配	淮南王	淮南王↵↵### 谏淮南王事↵↵[4.1] $	人名
101_袁盎晁错列传	袁盎	袁盎	814	词表匹配	袁盎	↵↵> NOTE: 袁盎谏迁淮南王↵> "陛	人名
101_袁盎晁错列传	淮南王	淮南王	818	词表匹配	淮南王	NOTE: 袁盎谏迁淮南王↵> "陛下素骄$淮	人名
101_袁盎晁错列传	淮南王	淮南王	913	词表匹配	淮南王	遂行之。↵↵### 淮南王死与善后↵↵[5.1	人名
101_袁盎晁错列传	袁盎	袁盎	1093	词表匹配	袁盎	↵↵> NOTE: 袁盎论文帝三高世行↵> 	人名
101_袁盎晁错列传	汉文帝	文帝	1096	词表匹配	文帝	 NOTE: 袁盎论文帝三高世行↵> "陛下	人名
101_袁盎晁错列传	天子	天子	1228	词表匹配	天子	下至=代邸=，西向让天子位者再，南面让天子位	官职
101_袁盎晁错列传	天子	天子	1237	词表匹配	天子	让天子位者再，南面让天子位者三。夫@许由@一	官职
101_袁盎晁错列传	有司	有司	1288	词表匹配	有司	欲以苦其志，使改过，有司卫不谨，故病死。"↵	官职
101_袁盎晁错列传	袁盎	袁盎	1405	词表匹配	袁盎	名重朝廷。↵↵## 袁盎谏事↵↵### 斥宦	人名
