章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
101_袁盎晁错列传	社稷	社稷	271	词表匹配	社稷	 NOTE: 袁盎论社稷臣与功臣之别↵> "	礼仪
101_袁盎晁错列传	天下	天下	873	词表匹配	天下	露行道死，陛下竟为以天下之大弗能容，有杀弟之	思想
101_袁盎晁错列传	天下	天下	1256	词表匹配	天下	由@一让，而陛下五以天下让，过@许由@四矣。	思想
101_袁盎晁错列传	天下	天下	1576	词表匹配	天下	子所与共六尺舆者，皆天下豪英。今&汉&虽乏人	思想
101_袁盎晁错列传	仁爱	仁爱	2141	词表匹配	仁爱	$。↵↵[9.2] 仁爱士卒，士卒皆争为死。	思想
101_袁盎晁错列传	天下	天下	2640	词表匹配	天下	侯@辅翼$高帝$，定天下，为$将相$，而诛诸	思想
101_袁盎晁错列传	天下	天下	2754	词表匹配	天下	称善。何也？则欲以致天下贤士大夫。上日闻所不	思想
101_袁盎晁错列传	天下	天下	2783	词表匹配	天下	日益圣智；君今自闭钳天下之口而日益愚。夫以圣	思想
101_袁盎晁错列传	天下	天下	4210	词表匹配	天下	为解，不以存亡为辞，天下所望者，独@季心@、	思想
101_袁盎晁错列传	天下	天下	4687	词表匹配	天下	2] $孝文帝$时，天下无治^尚书^者，独闻	思想
101_袁盎晁错列传	宗庙	宗庙	5582	词表匹配	宗庙	。不如此，天子不尊，宗庙不安。"↵↵[20.	礼仪
101_袁盎晁错列传	天下	天下	5937	词表匹配	天下	非在@错@也。且臣恐天下之士噤口，不敢复言也	思想
