章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
102_张释之冯唐列传	张释之	张释之	2	词表匹配	张释之	# 张释之冯唐列传↵↵## [	人名
102_张释之冯唐列传	冯唐	冯唐	5	词表匹配	冯唐	# 张释之冯唐列传↵↵## [0]	人名
102_张释之冯唐列传	虎圈	虎圈	292	词表匹配	虎圈	### [1.2] 虎圈谏言↵↵@释之@从行	器物
102_张释之冯唐列传	虎圈	虎圈	306	词表匹配	虎圈	↵↵@释之@从行，登虎圈。上问$上林尉$诸禽	器物
102_张释之冯唐列传	禽兽	禽兽	317	词表匹配	禽兽	圈。上问$上林尉$诸禽兽簿，%十馀%问，尉左	器物
102_张释之冯唐列传	虎圈	虎圈	337	词表匹配	虎圈	尉左右视，尽不能对。虎圈$啬夫$从旁代尉对上	器物
102_张释之冯唐列传	禽兽	禽兽	351	词表匹配	禽兽	夫$从旁代尉对上所问禽兽簿甚悉，欲以观其能口	器物
102_张释之冯唐列传	无穷	无穷	366	词表匹配	无穷	，欲以观其能口对响应无穷者。@文帝@曰："吏	地名
102_张释之冯唐列传	两人	两人	497	词表匹配	两人	东阳侯$称为长者，此两人言事曾不能出口，岂斅	时间
102_张释之冯唐列传	刀笔	刀笔	528	词表匹配	刀笔	捷给哉！且&秦&以任刀笔之吏，吏争以亟疾苛察	器物
102_张释之冯唐列传	参乘	参乘	677	词表匹配	参乘	↵上就车，召@释之@参乘，徐行，问@释之@&	官职
102_张释之冯唐列传	厚葬	厚葬	884	词表匹配	厚葬	1.5] =霸陵=谏厚葬↵↵顷之，至$中郎将	制度
102_张释之冯唐列传	乘舆	乘舆	1126	词表匹配	乘舆	，有一人从穚下走出，乘舆马惊。於是使骑捕，属	器物
102_张释之冯唐列传	乘舆	乘舆	1178	词表匹配	乘舆	以为行已过，即出，见乘舆车骑，即走耳。"$廷	器物
102_张释之冯唐列传	车骑	车骑	1180	词表匹配	车骑	行已过，即出，见乘舆车骑，即走耳。"$廷尉$	官职
102_张释之冯唐列传	天子	天子	1259	词表匹配	天子	"@释之@曰："法者天子所与天下公共也。今法	官职
102_张释之冯唐列传	老人	老人	1777	词表匹配	老人	卿^尽会立，@王生@老人，曰"吾穇解"，顾谓	天文
102_张释之冯唐列传	百金	百金	2665	词表匹配	百金	乘，彀骑%万三千%，百金之士%十万%，是以北	器物
102_张释之冯唐列传	军吏	军吏	2826	词表匹配	军吏	%一椎〘牛〙，飨宾客军吏舍人，是以~匈奴~远	官职
102_张释之冯唐列传	舍人	舍人	2828	词表匹配	舍人	椎〘牛〙，飨宾客军吏舍人，是以~匈奴~远避，	人名
102_张释之冯唐列传	终日	终日	2893	词表匹配	终日	，安知^尺籍伍符^。终日力战，斩首捕虏，上功	时间
102_张释之冯唐列传	贤良	贤良	3127	词表匹配	贤良	，免。@武帝@立，求贤良，举@冯唐@。@唐@	制度
102_张释之冯唐列传	王孙	王孙	3170	词表匹配	王孙	冯遂@为郎。@遂@字王孙，亦奇士，与余善。↵	人名
102_张释之冯唐列传	二君	二君	3250	词表匹配	二君	不知其人，视其友"。二君之所称诵，可著^廊庙	时间
102_张释之冯唐列传	王道	王道	3272	词表匹配	王道	^。书曰"不偏不党，王道荡荡；不党不偏，王道	制度
102_张释之冯唐列传	王道	王道	3282	词表匹配	王道	王道荡荡；不党不偏，王道便便"。@张季@、@	制度
