章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
103_万石张叔列传	万石君	万石	2	词表匹配	万石	# 万石张叔列传↵↵## [	人名
103_万石张叔列传	张叔	张叔	4	词表匹配	张叔	# 万石张叔列传↵↵## [0]	人名
103_万石张叔列传	文学	文学	290	词表匹配	文学	劳至$大中大夫$。无文学，恭谨无与比。↵↵#	官职
103_万石张叔列传	卫长子	长子	404	词表匹配	长子	为$诸侯相$。@奋@长子@建@，次子@甲@，	人名
103_万石张叔列传	人臣	人臣	467	词表匹配	人臣	及四子皆^二千石^，人臣尊宠乃集其门。"号@	官职
103_万石张叔列传	岁时	岁时	533	词表匹配	岁时	大夫$禄归老于家，以岁时为朝臣。过宫门阙，@	时间
103_万石张叔列传	有过	有过	591	词表匹配	有过	朝服见之，不名。子孙有过失，不谯让，为便坐，	朝代
103_万石张叔列传	文学	文学	765	词表匹配	文学	$郎中令$@王臧@以文学获罪。$皇太后$以为	官职
103_万石张叔列传	儒者	儒者	777	词表匹配	儒者	获罪。$皇太后$以为儒者文多质少，今@万石君	制度
103_万石张叔列传	卫长子	长子	799	词表匹配	长子	@家不言而躬行，乃以长子@建@为$郎中令$，	人名
103_万石张叔列传	贵人	贵人	1059	词表匹配	贵人	君@让曰："$内史$贵人，入闾里，里中长老皆	官职
103_万石张叔列传	入里	入里	1105	词表匹配	入里	庆@。@庆@及诸子弟入里门，趋至家。↵↵##	地名
103_万石张叔列传	卫长子	长子	1148	词表匹配	长子	以%元朔五年%中卒。长子$郎中令$@建@哭泣	人名
103_万石张叔列传	齐相	齐相	1320	词表匹配	齐相	[2.1] 数马与为齐相↵↵@万石君@少子@	官职
103_万石张叔列传	丞相	丞相	1521	词表匹配	丞相	## [2.3] 拜丞相封侯↵↵%元鼎五年%	官职
103_万石张叔列传	中国	中国	1626	词表匹配	中国	奴~，西伐~大宛~，中国多事。天子巡狩海内，	地名
103_万石张叔列传	天子	天子	1631	词表匹配	天子	~大宛~，中国多事。天子巡狩海内，修上古神祠	官职
103_万石张叔列传	巡狩	巡狩	1633	词表匹配	巡狩	宛~，中国多事。天子巡狩海内，修上古神祠，^	制度
103_万石张叔列传	礼乐	礼乐	1650	词表匹配	礼乐	古神祠，^封禅^，兴礼乐。公家用少，@桑弘羊	制度
103_万石张叔列传	文学	文学	1683	词表匹配	文学	属峻法，@兒宽@等推文学至^九卿^，更进用事	官职
103_万石张叔列传	公卿	公卿	1813	词表匹配	公卿	无名数者%四十万%，公卿议欲请徙流民於边以適	官职
103_万石张叔列传	天子	天子	1947	词表匹配	天子	骸骨归，避贤者路。"天子曰："仓廪既空，民贫	官职
103_万石张叔列传	中子	中子	2079	词表匹配	中子	谥为$恬侯$。@庆@中子@德@，@庆@爱用之	官职
103_万石张叔列传	参乘	参乘	2379	词表匹配	参乘	上林=，诏$中郎将$参乘，还而问曰："君知所	官职
103_万石张叔列传	参乘	参乘	2393	词表匹配	参乘	而问曰："君知所以得参乘乎？"@绾@曰："臣	官职
103_万石张叔列传	郎官	郎官	2549	词表匹配	郎官	剑*尚盛，未尝服也。郎官有谴，常蒙其罪，不与	官职
103_万石张叔列传	太子太傅	太子太傅	2678	词表匹配	太子太傅	### [3.3] 太子太傅与丞相↵↵其明年，上	官职
103_万石张叔列传	丞相	丞相	2683	词表匹配	丞相	3.3] 太子太傅与丞相↵↵其明年，上废$太	官职
103_万石张叔列传	明年	明年	2688	词表匹配	明年	太子太傅与丞相↵↵其明年，上废$太子$，诛@	时间
103_万石张叔列传	天子	天子	2824	词表匹配	天子	$丞相$，终无可言。天子以为敦厚，可相少主，	官职
103_万石张叔列传	少主	少主	2833	词表匹配	少主	。天子以为敦厚，可相少主，尊宠之，赏赐甚多。	官职
103_万石张叔列传	吴楚	吴楚	3155	词表匹配	吴楚	## [4.2] 击吴楚与封侯↵↵&吴&&楚	人名
103_万石张叔列传	元年	元年	3191	词表匹配	元年	将兵击之。@景帝@後元年，拜为$御史大夫$。	官职
103_万石张叔列传	天子	天子	3203	词表匹配	天子	，拜为$御史大夫$。天子修&吴&&楚&时功，	官职
103_万石张叔列传	老子	老子	3264	词表匹配	老子	## [4.3] 学老子言与后代↵↵@不疑@	人名
103_万石张叔列传	大官	大官	3674	词表匹配	大官	石^禄归老，子孙咸至大官矣。↵↵## [6]	官职
103_万石张叔列传	天子	天子	3922	词表匹配	天子	↵老病笃，请免。於是天子亦策罢，以$上大夫$	官职
103_万石张叔列传	大官	大官	3951	词表匹配	大官	於=阳陵=。子孙咸至大官矣。↵↵## [7]	官职
103_万石张叔列传	阴德	阴德	4123	词表匹配	阴德	绾@无他肠，$塞$有阴德。↵^刑名^@张欧@	天文
