章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
104_田叔列传	田叔	田叔	2	词表匹配	田叔	# 田叔列传↵↵## [0]	人名
104_田叔列传	数岁	数岁	167	词表匹配	数岁	赵王@以为$郎中$。数岁，切直廉平，@赵王@	时间
104_田叔列传	贯高	贯高	198	词表匹配	贯高	### [1.2] 贯高谋反与从赵王↵↵会@	人名
104_田叔列传	赵王	赵王	204	词表匹配	赵王	.2] 贯高谋反与从赵王↵↵会@陈豨@反=代	人名
104_田叔列传	数十人	数十人	277	词表匹配	数十人	时$赵相$@赵午@等数十人皆怒，谓@张王@曰：	时间
104_田叔列传	诏书	诏书	426	词表匹配	诏书	@就系。是时&汉&下诏书："&赵&有敢随王者	制度
104_田叔列传	孟舒	孟舒	615	词表匹配	孟舒	## [1.3] 荐孟舒为长者↵↵@孝文帝@	人名
104_田叔列传	梁王	梁王	1024	词表匹配	梁王	## [1.4] 案梁王杀袁盎事↵↵後数岁，	人名
104_田叔列传	袁盎	袁盎	1027	词表匹配	袁盎	[1.4] 案梁王杀袁盎事↵↵後数岁，@叔@	人名
104_田叔列传	数岁	数岁	1033	词表匹配	数岁	案梁王杀袁盎事↵↵後数岁，@叔@坐法失官。@	时间
104_田叔列传	鲁相	鲁相	1226	词表匹配	鲁相	## [1.5] 为鲁相↵↵$鲁相$初到，民	官职
104_田叔列传	鲁王	鲁王	1373	词表匹配	鲁王	## [1.6] 谏鲁王游猎↵↵@鲁王@好猎	人名
104_田叔列传	数年	数年	1468	词表匹配	数年	 [1.7] 卒↵↵数年，@叔@以官卒，&鲁	时间
104_田叔列传	百金	百金	1482	词表匹配	百金	叔@以官卒，&鲁&以百金祠，少子@仁@不受也	器物
104_田叔列传	百金	百金	1500	词表匹配	百金	@不受也，曰："不以百金伤先人名。"↵↵##	器物
104_田叔列传	舍人	舍人	1554	词表匹配	舍人	@以壮健为$卫将军$舍人，数从击~匈奴~。$	人名
