章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
104_田叔列传	天下	天下	642	词表匹配	天下	田叔@问之曰："公知天下长者乎？"对曰："臣	思想
104_田叔列传	坐法	坐法	1039	词表匹配	坐法	事↵↵後数岁，@叔@坐法失官。@梁孝王@使人	刑法
104_田叔列传	死罪	死罪	1106	词表匹配	死罪	乎？"@叔@对曰："死罪！有之。"上曰："其	刑法
104_田叔列传	伏诛	伏诛	1158	词表匹配	伏诛	"曰："今@梁王@不伏诛，是&汉&法不行也；	刑法
104_田叔列传	是非	是非	2781	词表匹配	是非	对曰："夫决嫌疑。定是非，辩治官，使百姓无怨	思想
104_田叔列传	天下	天下	2849	词表匹配	天下	=河=上。此两人立名天下。↵↵### [4.	思想
104_田叔列传	天下	天下	2913	词表匹配	天下	↵@田仁@上书言："天下$郡太守$多为奸利，	思想
104_田叔列传	天下	天下	2980	词表匹配	天下	，宜先正=三河=以警天下奸吏。"是时$河南$	思想
104_田叔列传	天下	天下	3168	词表匹配	天下	为$丞相司直$，威振天下。↵↵### [4.	思想
104_田叔列传	当死	当死	3529	词表匹配	当死	之，有两心。@安@有当死之罪甚众，吾常活之，	刑法
104_田叔列传	天地	天地	3591	词表匹配	天地	月满则亏，物盛则衰，天地之常也。知进而不知退	思想
104_田叔列传	富贵	富贵	3606	词表匹配	富贵	。知进而不知退，久乘富贵，祸积为祟。故@范蠡	思想
