章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
108_韩长孺列传	韩长孺	韩长孺	2	词表匹配	韩长孺	# 韩长孺列传↵↵## [0]	人名
108_韩长孺列传	天子	天子	271	词表匹配	天子	石^，出入游戏，僭於天子。天子闻之，心弗善也	官职
108_韩长孺列传	天子	天子	274	词表匹配	天子	出入游戏，僭於天子。天子闻之，心弗善也。@太	官职
108_韩长孺列传	人臣	人臣	345	词表匹配	人臣	梁王@为人子之孝，为人臣之忠，@太后@曾弗省	官职
108_韩长孺列传	前日	前日	360	词表匹配	前日	@太后@曾弗省也？夫前日&吴&、&楚&、&齐	时间
108_韩长孺列传	七国	七国	377	词表匹配	七国	楚&、&齐&、&赵&七国反时，自关以东皆合从	朝代
108_韩长孺列传	合从	合从	387	词表匹配	合从	七国反时，自关以东皆合从西乡，惟=梁=最亲为	制度
108_韩长孺列传	帝王	帝王	499	词表匹配	帝王	王@。@梁王@父兄皆帝王，所见者大，故出称跸	官职
108_韩长孺列传	孝王	孝王	979	词表匹配	孝王	## [1.4] 说孝王出诡胜↵↵@公孙诡@	人名
108_韩长孺列传	月馀	月馀	1100	词表匹配	月馀	=，相以下举国大索，月馀不得。$内史$@安国	时间
108_韩长孺列传	皇帝	皇帝	1201	词表匹配	皇帝	下，曰："大王自度於皇帝，孰与@太上皇@之与	官职
108_韩长孺列传	皇帝	皇帝	1219	词表匹配	皇帝	皇@之与@高皇帝@及皇帝之与@临江王@亲？"	官职
108_韩长孺列传	天子	天子	1418	词表匹配	天子	说，犯上禁，桡明法。天子以@太后@故，不忍致	官职
108_韩长孺列传	御史大夫	御史大夫	1603	词表匹配	御史大夫	[2] @韩安国@为御史大夫↵↵### [2.1	官职
108_韩长孺列传	田蚡	田蚡	1619	词表匹配	田蚡	### [2.1] 田蚡荐为北地都尉与大司农	人名
108_韩长孺列传	北地都尉	北地都尉	1623	词表匹配	北地都尉	[2.1] 田蚡荐为北地都尉与大司农↵↵%建元%	官职
108_韩长孺列传	大司农	大司农	1628	词表匹配	大司农	 田蚡荐为北地都尉与大司农↵↵%建元%中，$武	官职
108_韩长孺列传	天子	天子	1691	词表匹配	天子	言@安国@@太后@，天子亦素闻其贤，即召以为	官职
108_韩长孺列传	和亲匈奴	和亲匈奴	1809	词表匹配	和亲匈奴	## [2.2] 议和亲匈奴↵↵~匈奴~来请和亲	event
108_韩长孺列传	和亲	和亲	1821	词表匹配	和亲	匈奴↵↵~匈奴~来请和亲，天子下议。$大行$	制度
108_韩长孺列传	天子	天子	1824	词表匹配	天子	↵~匈奴~来请和亲，天子下议。$大行$@王恢	官职
108_韩长孺列传	和亲	和亲	1866	词表匹配	和亲	："&汉&与~匈奴~和亲，率不过数岁即复倍约	制度
108_韩长孺列传	数岁	数岁	1872	词表匹配	数岁	~匈奴~和亲，率不过数岁即复倍约。不如勿许，	时间
108_韩长孺列传	禽兽	禽兽	1923	词表匹配	禽兽	~负戎*马*之足，怀禽兽之心，迁徙〘鸟〙举，	器物
108_韩长孺列传	和亲	和亲	2036	词表匹配	和亲	衰也。击之不便，不如和亲。"群臣议者多附@安	制度
108_韩长孺列传	和亲	和亲	2055	词表匹配	和亲	附@安国@，於是上许和亲。↵↵### [2.	制度
108_韩长孺列传	马邑之谋	马邑之谋	2070	词表匹配	马邑之谋	### [2.3] 马邑之谋↵↵其明年，则%元光	event
108_韩长孺列传	明年	明年	2077	词表匹配	明年	3] 马邑之谋↵↵其明年，则%元光元年%，=	时间
108_韩长孺列传	和亲	和亲	2121	词表匹配	和亲	言上曰："~匈奴~初和亲，亲信边，可诱以利。	制度
108_韩长孺列传	长吏	长吏	2240	词表匹配	长吏	为信。曰："=马邑=长吏已死，可急来。"於是	官职
108_韩长孺列传	天王	天王	2597	词表匹配	天王	也。"命$尉史$为"天王"。塞下传言~单于~	官职
108_韩长孺列传	王恢自杀	王恢自杀	2698	词表匹配	王恢自杀	### [2.4] 王恢自杀↵↵天子怒@王恢@不	event
108_韩长孺列传	天子	天子	2704	词表匹配	天子	.4] 王恢自杀↵↵天子怒@王恢@不出击~单	官职
108_韩长孺列传	士大夫	士大夫	2988	词表匹配	士大夫	辎重，犹颇可得，以慰士大夫心。今不诛@恢@，无	官职
108_韩长孺列传	出於	出於	3073	词表匹配	出於	，智足以当世取合，而出於忠厚焉。贪嗜於财。所	人名
108_韩长孺列传	天子	天子	3132	词表匹配	天子	，士亦以此称慕之，唯天子以为国器。@安国@为	官职
108_韩长孺列传	天子	天子	3185	词表匹配	天子	事，奉引堕*车*蹇。天子议置相，欲用@安国@	官职
108_韩长孺列传	数月	数月	3230	词表匹配	数月	丞相$。@安国@病免数月，蹇愈，上复以@安国	时间
108_韩长孺列传	渔阳	渔阳	3274	词表匹配	渔阳	## [3.2] 屯渔阳失利↵↵$车骑将军$	地名
108_韩长孺列传	茏城	茏城	3304	词表匹配	茏城	~，出=上谷=，破胡茏城。将军@李广@为~匈	地名
108_韩长孺列传	明年	明年	3343	词表匹配	明年	：皆当斩，赎为庶人。明年，~匈奴~大入边，杀	时间
108_韩长孺列传	月馀	月馀	3454	词表匹配	月馀	，请且罢军屯。罢军屯月馀，~匈奴~大入=上谷	时间
108_韩长孺列传	天子	天子	3515	词表匹配	天子	千馀%人及畜产而去。天子闻之，怒，使使责让@	官职
108_韩长孺列传	东方	东方	3556	词表匹配	东方	是时~匈奴~虏言当入东方。↵↵### [3.	地名
108_韩长孺列传	数月	数月	3668	词表匹配	数月	东徙屯，意忽忽不乐。数月，病欧血死。@安国@	时间
108_韩长孺列传	律历	律历	3721	词表匹配	律历	@曰：余与@壶遂@定律历，观@韩长孺@之义，	制度
108_韩长孺列传	田子方	子方	3769	词表匹配	子方	遂@官至$詹事$，天子方倚以为&汉&相，会@	人名
