章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
109_李将军列传	李将军	李将军	2	词表匹配	李将军	# 李将军列传↵↵## [0]	人名
109_李将军列传	骑射	骑射	168	词表匹配	骑射	良家子从军击胡，用善骑射，杀首虏多，为&汉&	制度
109_李将军列传	猛兽	猛兽	226	词表匹配	猛兽	行，有所旻陷折关及格猛兽，而@文帝@曰："惜	器物
109_李将军列传	万户	万户	255	词表匹配	万户	如令子当@高帝@时，万户侯岂足道哉！"↵↵#	时间
109_李将军列传	孝景	孝景	276	词表匹配	孝景	### [1.2] 孝景时任边郡太守↵↵及@	人名
109_李将军列传	郡太守	郡太守	281	词表匹配	郡太守	1.2] 孝景时任边郡太守↵↵及@孝景@初立，	官职
109_李将军列传	天子	天子	548	词表匹配	天子	匈奴~大入=上郡=，天子使中贵人从@广@勒习	官职
109_李将军列传	贵人	贵人	552	词表匹配	贵人	入=上郡=，天子使中贵人从@广@勒习兵击~匈	官职
109_李将军列传	贵人	贵人	568	词表匹配	贵人	勒习兵击~匈奴~。中贵人将骑%数十%纵，见~	官职
109_李将军列传	贵人	贵人	600	词表匹配	贵人	。%三%人还射，伤中贵人，杀其骑且尽。中贵人	官职
109_李将军列传	贵人	贵人	610	词表匹配	贵人	贵人，杀其骑且尽。中贵人走@广@。@广@曰：	官职
109_李将军列传	夜半	夜半	1004	词表匹配	夜半	胡兵终怪之，不敢击。夜半时，胡兵亦以为&汉&	时间
109_李将军列传	卫尉	卫尉	1073	词表匹配	卫尉	## [1.4] 为卫尉与程不识治军之异↵↵	官职
109_李将军列传	程不识	程不识	1076	词表匹配	程不识	[1.4] 为卫尉与程不识治军之异↵↵居久之，	人名
109_李将军列传	文法	文法	1406	词表匹配	文法	大夫$。为人廉，谨於文法。↵↵### [1.	制度
109_李将军列传	马邑之谋	马邑之谋	1421	词表匹配	马邑之谋	### [1.5] 马邑之谋与被俘脱逃↵↵後&汉	event
109_李将军列传	霸陵	霸陵	1768	词表匹配	霸陵	### [1.6] 霸陵尉辱与为右北平太守↵	地名
109_李将军列传	右北平太守	右北平太守	1774	词表匹配	右北平太守	.6] 霸陵尉辱与为右北平太守↵↵顷之，家居数岁。	官职
109_李将军列传	数岁	数岁	1786	词表匹配	数岁	平太守↵↵顷之，家居数岁。@广@家与故$颍阴	时间
109_李将军列传	田间	田间	1827	词表匹配	田间	。尝夜从一骑出，从人田间饮。还至=霸陵=亭，	人名
109_李将军列传	天子	天子	1937	词表匹配	天子	@徙=右北平=。於是天子乃召拜@广@为$右北	官职
109_李将军列传	数岁	数岁	2030	词表匹配	数岁	汉&之飞将军"，避之数岁，不敢入=右北平=。	时间
109_李将军列传	猛兽	猛兽	2370	词表匹配	猛兽	，其将兵数困辱，其射猛兽亦为所伤云。↵↵##	器物
109_李将军列传	郎中令	郎中令	2391	词表匹配	郎中令	## [1.9] 为郎中令与从大将军出征↵↵居	官职
109_李将军列传	大将军	大将军	2396	词表匹配	大将军	.9] 为郎中令与从大将军出征↵↵居顷之，@石	官职
109_李将军列传	裨将	裨将	2691	词表匹配	裨将	@广@身自以大黄射其裨将，杀%数%人，胡虏益	官职
109_李将军列传	日暮	日暮	2706	词表匹配	日暮	数%人，胡虏益解。会日暮，吏士皆无人色，而@	时间
109_李将军列传	明日	明日	2738	词表匹配	明日	。军中自是服其勇也。明日，复力战，而$博望侯	时间
109_李将军列传	李蔡	李蔡	2833	词表匹配	李蔡	## [1.10] 李蔡封侯与相不当侯↵↵初	人名
109_李将军列传	韩列侯	列侯	3002	词表匹配	列侯	^九卿^，而@蔡@为列侯，位至^三公^。诸@	人名
109_李将军列传	军吏	军吏	3017	词表匹配	军吏	^三公^。诸@广@之军吏及士卒或取封侯。@广	官职
109_李将军列传	望气	望气	3032	词表匹配	望气	或取封侯。@广@尝与望气@王朔@燕语，曰："	制度
109_李将军列传	中人	中人	3078	词表匹配	中人	校尉$以下，才能不及中人，然以击胡军功取侯者	地名
109_李将军列传	天子	天子	3288	词表匹配	天子	~，@广@数自请行。天子以为老，弗许；良久乃	官职
109_李将军列传	天子	天子	3769	词表匹配	天子	道状，@青@欲上书报天子军曲折。@广@未对，	官职
109_李将军列传	士大夫	士大夫	3944	词表匹配	士大夫	*刀*自刭。@广@军士大夫一军皆哭。百姓闻之，	官职
109_李将军列传	李敢	李敢	4018	词表匹配	李敢	 [2.1] 三子与李敢↵↵@广@子%三%人	人名
109_李将军列传	天子	天子	4048	词表匹配	天子	椒@、@敢@，为郎。天子与@韩嫣@戏，@嫣@	官职
109_李将军列传	天子	天子	4080	词表匹配	天子	嫣@，@嫣@走。於是天子以为勇。@当户@早死	官职
109_李将军列传	明年	明年	4147	词表匹配	明年	骠骑将军$。@广@死明年，@李蔡@以$丞相$	时间
109_李将军列传	鼓旗	鼓旗	4221	词表匹配	鼓旗	，力战，夺$左贤王$鼓旗，斩首多，赐爵$关内	器物
109_李将军列传	中人	中人	4376	词表匹配	中人	@敢@有女为$太子$中人，爱幸，@敢@男@禹	地名
109_李将军列传	李陵降匈奴	李陵降匈奴	4423	词表匹配	李陵降匈奴	### [2.2] 李陵降匈奴↵↵@李陵@既壮，选	event
109_李将军列传	天子	天子	4456	词表匹配	天子	诸骑。善射，爱士卒。天子以为@李@氏世将，而	官职
109_李将军列传	数岁	数岁	4547	词表匹配	数岁	张掖=以屯卫胡。↵↵数岁，%天汉二年%秋，$	时间
109_李将军列传	士大夫	士大夫	4979	词表匹配	士大夫	哀。彼其忠实心诚信於士大夫也？谚曰"〘桃〙〘李	官职
