章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
110_匈奴列传	礼义	礼义	294	词表匹配	礼义	遁走。苟利所在，不知礼义。自$君王$以下，咸	思想
110_匈奴列传	天地	天地	3906	词表匹配	天地	会=茏城=，祭其先、天地、鬼神。%秋%，〘马	思想
110_匈奴列传	没入	没入	3956	词表匹配	没入	*刃*尺者死，坐盗者没入其家；有罪小者轧，大	刑法
110_匈奴列传	斩首	斩首	4101	词表匹配	斩首	!亏则退兵。其攻战，斩首虏赐一卮酒，而所得卤	刑法
110_匈奴列传	礼义	礼义	7120	词表匹配	礼义	乃易姓，皆从此类。且礼义之敝，上下交怨望，而	思想
110_匈奴列传	圣人	圣人	7951	词表匹配	圣人	1.2] 朕甚嘉之。圣人者日新，改作更始，使	思想
110_匈奴列传	天下	天下	8010	词表匹配	天下	世世相传，施之无穷，天下莫不咸便。&汉&与~	思想
110_匈奴列传	天下	天下	8068	词表匹配	天下	帛丝絮佗物岁有数。今天下大安，万民熙熙，朕与	思想
110_匈奴列传	天下	天下	8264	词表匹配	天下	食言。$单于$留志，天下大安，^和亲^之後，	思想
110_匈奴列传	天下	天下	8395	词表匹配	天下	便。朕已许之。其布告天下，使明知之。"↵↵#	思想
110_匈奴列传	赎为	赎为	9543	词表匹配	赎为	广@，@敖@、@广@赎为庶人。↵↵[25.2	刑法
110_匈奴列传	贤王	贤王	10244	词表匹配	贤王	[28] 卫青夜袭右贤王↵[28.1] 其明	思想
110_匈奴列传	祭天	祭天	10829	词表匹配	祭天	级%，破得~休屠~王祭天*金人*。↵↵[30	礼仪
110_匈奴列传	当死	当死	11081	词表匹配	当死	期，及与$博望侯$皆当死，赎为庶人。↵↵##	刑法
110_匈奴列传	赎为	赎为	11084	词表匹配	赎为	与$博望侯$皆当死，赎为庶人。↵↵## [3	刑法
110_匈奴列传	春秋	春秋	14869	词表匹配	春秋	@襄公@复九世之雠，春秋大之。"是岁%太初四	典籍
110_匈奴列传	族灭	族灭	15522	词表匹配	族灭	师$闻其家以^巫蛊^族灭，因并众降~匈奴~，	刑法
110_匈奴列传	族灭	族灭	15635	词表匹配	族灭	，言$贰师将军$家室族灭，使@广利@得降~匈	刑法
110_匈奴列传	春秋	春秋	15684	词表匹配	春秋	史公$曰：@孔氏@著春秋，@隐@、@桓@之间	典籍
