章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
111_卫将军骠骑列传	斩首	斩首	823	词表匹配	斩首	 @青@至=茏城=,斩首虏数百。$骑将军@敖	刑法
111_卫将军骠骑列传	当斩	当斩	862	词表匹配	当斩	为虏所得,得脱归:皆当斩,赎为庶人。@贺@亦	刑法
111_卫将军骠骑列传	赎为	赎为	865	词表匹配	赎为	得,得脱归:皆当斩,赎为庶人。@贺@亦无功。	刑法
111_卫将军骠骑列传	斩首	斩首	962	词表匹配	斩首	万$骑$击~匈奴~,斩首虏数千人。↵↵[4.	刑法
111_卫将军骠骑列传	天理	天理	1239	词表匹配	天理	子$曰:"~匈奴~逆天理,乱人伦,暴长虐老,	思想
111_卫将军骠骑列传	贤王	贤王	1561	词表匹配	贤王	## [5] 大破右贤王↵↵[5.1] 其明	思想
111_卫将军骠骑列传	赐爵	赐爵	2531	词表匹配	赐爵	尉@豆如意@$有功,赐爵$关内侯$,食邑各三	礼仪
111_卫将军骠骑列传	斩首	斩首	2722	词表匹配	斩首	$,咸属$大将军$,斩首数千级而还。↵↵[6	刑法
111_卫将军骠骑列传	斩首	斩首	2754	词表匹配	斩首	=定襄=击~匈奴~,斩首虏万馀人。↵↵[6.	刑法
111_卫将军骠骑列传	当斩	当斩	3098	词表匹配	当斩	,是示後无反意也。不当斩。"↵↵[6.9] 	刑法
111_卫将军骠骑列传	当斩	当斩	3156	词表匹配	当斩	甚失臣意。且使臣职虽当斩将,以臣之尊宠而不敢	刑法
111_卫将军骠骑列传	斩首	斩首	3380	词表匹配	斩首	$剽姚校尉@去病@$斩首虏二千二十八级,及$	刑法
111_卫将军骠骑列传	斩首	斩首	3472	词表匹配	斩首	$四从$大将军$,捕斩首虏二千馀人,以千一百	刑法
111_卫将军骠骑列传	赎为	赎为	3562	词表匹配	赎为	天子$不诛,赦其罪,赎为庶人。↵↵[7.4]	刑法
111_卫将军骠骑列传	富贵	富贵	3661	词表匹配	富贵	$王夫人$幸而宗族未富贵,原$将军$奉所赐千	思想
111_卫将军骠骑列传	祭天	祭天	4048	词表匹配	祭天	馀级,收$@休屠@$祭天*金人*,益封@去病	礼仪
111_卫将军骠骑列传	当斩	当斩	4268	词表匹配	当斩	 $博望侯$坐行留,当斩,赎为庶人。↵↵[9	刑法
