章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
112_平津侯主父列传	朝会	朝会	564	词表匹配	朝会	。↵↵[3.2] 每朝会议,开陈其端,令人主	礼仪
112_平津侯主父列传	天下	天下	1675	词表匹配	天下	] 乃上书曰:"臣闻天下之通道五,所以行之者	思想
112_平津侯主父列传	天下	天下	1710	词表匹配	天下	妇,长幼之序,此五者天下之通道也。智,仁,勇	思想
112_平津侯主父列传	天下	天下	1726	词表匹配	天下	。智,仁,勇,此三者天下之通德,所以行之者也	思想
112_平津侯主父列传	天下	天下	1795	词表匹配	天下	治,然後知所以治人。天下未有不能自治而能治人	思想
112_平津侯主父列传	君子	君子	2050	词表匹配	君子	为治者,君宜知之。盖君子善善恶恶,君若谨行,	思想
112_平津侯主父列传	善恶	善恶	2053	词表匹配	善恶	,君宜知之。盖君子善善恶恶,君若谨行,常在朕	思想
112_平津侯主父列传	坐法	坐法	2237	词表匹配	坐法	阳太守$%十馀岁%,坐法失$侯$。↵↵## 	刑法
112_平津侯主父列传	纵横	纵横	2286	词表匹配	纵横	&临菑&人也。学长短纵横之术,晚乃学^易^、	思想
112_平津侯主父列传	百家	百家	2303	词表匹配	百家	学^易^、^春秋^、百家言。↵↵[9.2] 	思想
112_平津侯主父列传	天下	天下	2644	词表匹配	天下	"国虽大,好战必亡;天下虽平,忘战必危。"天	思想
112_平津侯主父列传	天下	天下	2655	词表匹配	天下	下虽平,忘战必危。"天下既平,$天子$大凯,	思想
112_平津侯主父列传	圣王	圣王	2733	词表匹配	圣王	君一怒必伏尸流血,故圣王重行之。夫务战胜穷武	思想
112_平津侯主父列传	天下	天下	2780	词表匹配	天下	@$任战胜之威,蚕食天下,并吞战国,海内为一	思想
112_平津侯主父列传	天下	天下	2994	词表匹配	天下	[11.7] 然後发天下丁男以守=北河=。暴	思想
112_平津侯主父列传	天下	天下	3063	词表匹配	天下	↵[11.8] 又使天下蜚*刍*輓*粟*,起	思想
112_平津侯主父列传	天下	天下	3157	词表匹配	天下	养,道路死者相望,盖天下始畔&秦&也。↵↵[	思想
112_平津侯主父列传	天下	天下	3185	词表匹配	天下	及至$@高皇帝@$定天下,略地於边,闻~匈奴	思想
112_平津侯主父列传	天下	天下	3330	词表匹配	天下	结^和亲^之约,然後天下忘*干戈*之事。↵↵	思想
112_平津侯主父列传	天下	天下	3414	词表匹配	天下	以结怨深雠,不足以偿天下之费。↵↵[11.1	思想
112_平津侯主父列传	天下	天下	3792	词表匹配	天下	] @徐乐@曰:臣闻天下之患在於土崩,不在於	思想
112_平津侯主父列传	天下	天下	3917	词表匹配	天下	*棘矜*,偏袒大呼而天下从风,此其故何也？↵	思想
112_平津侯主父列传	天下	天下	3984	词表匹配	天下	也。是之谓土崩。故曰天下之患在於土崩。↵↵[	思想
112_平津侯主父列传	天下	天下	4157	词表匹配	天下	助。此之谓瓦解,故曰天下之患不在瓦解。↵↵[	思想
112_平津侯主父列传	天下	天下	4182	词表匹配	天下	2.6] 由是观之,天下诚有土崩之势,虽布衣	思想
112_平津侯主父列传	天下	天下	4235	词表匹配	天下	↵[12.2.7] 天下虽未有大治也,诚能无	思想
112_平津侯主父列传	天下	天下	4443	词表匹配	天下	未形之患。其要,期使天下无土崩之势而已矣。↵	思想
112_平津侯主父列传	天下	天下	4541	词表匹配	天下	侏儒之笑不乏於前,而天下无宿忧。↵↵[12.	思想
112_平津侯主父列传	天下	天下	4609	词表匹配	天下	圣,宽仁之资,而诚以天下为务,则$@汤@$$	思想
112_平津侯主父列传	天下	天下	4684	词表匹配	天下	,扬名广誉於当世,亲天下而服~四夷~,馀恩遗	思想
112_平津侯主父列传	天下	天下	4825	词表匹配	天下	上书曰:臣闻&周&有天下,其治三百馀岁,$@	思想
112_平津侯主父列传	天下	天下	5065	词表匹配	天下	至$@秦王@$,蚕食天下,并吞战国,称号曰$	思想
112_平津侯主父列传	仁义	仁义	5169	词表匹配	仁义	,薄赋敛,省繇役,贵仁义,贱权利,上笃厚,下	思想
112_平津侯主父列传	天下	天下	5527	词表匹配	天下	及$@秦皇帝@$崩,天下大叛。@陈胜@、@吴	思想
112_平津侯主父列传	天下	天下	5725	词表匹配	天下	&贵为$天子$,富有天下,灭世绝祀者,穷兵之	思想
112_平津侯主父列传	天下	天下	5828	词表匹配	天下	之。此人臣之利也,非天下之长策也。↵↵[12	思想
112_平津侯主父列传	天下	天下	5947	词表匹配	天下	12.3.15] 今天下锻*甲*砥*剑*,桥	思想
112_平津侯主父列传	天下	天下	5976	词表匹配	天下	输运粮,未见休时,此天下之所共忧也。夫兵久而	思想
112_平津侯主父列传	天下	天下	6552	词表匹配	天下	曰:"=茂陵=初立,天下豪桀并兼之家,乱众之	思想
112_平津侯主父列传	论死	论死	7153	词表匹配	论死	罪,恐效$@燕王@$论死,乃自杀。有司以闻。	刑法
112_平津侯主父列传	天下	天下	7447	词表匹配	天下	诛@主父偃@,无以谢天下。"乃遂族@主父偃@	思想
112_平津侯主父列传	善恶	善恶	8179	词表匹配	善恶	'赏有功,襃有德,善善恶恶,君宜知之。其省思	思想
112_平津侯主父列传	坐法	坐法	8289	词表匹配	坐法	,後为$山阳太守$,坐法失$侯$。夫表德章义	刑法
112_平津侯主父列传	圣王	圣王	8309	词表匹配	圣王	章义,所以率俗厉化,圣王之制,不易之道也。其	思想
