章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
114_东越列传	东越	东越	6	词表匹配	东越	# 114 东越列传↵↵## 闽越东	地名
114_东越列传	闽越	闽越	15	词表匹配	闽越	 东越列传↵↵## 闽越东瓯立国↵↵[0] 	地名
114_东越列传	东瓯	东瓯	17	词表匹配	东瓯	越列传↵↵## 闽越东瓯立国↵↵[0] =闽	地名
114_东越列传	东瓯	东瓯	299	词表匹配	东瓯	东瓯王$。↵↵## 东瓯从吴与杀吴王↵↵[1	地名
114_东越列传	吴王	吴王	305	词表匹配	吴王	↵## 东瓯从吴与杀吴王↵↵[1] 後数世，	人名
114_东越列传	数世	数世	314	词表匹配	数世	杀吴王↵↵[1] 後数世，至%孝景三年%，$	时间
114_东越列传	闽越围东瓯	闽越围东瓯	400	词表匹配	闽越围东瓯	诛，归国。↵↵## 闽越围东瓯↵↵[2] $吴王$	event
114_东越列传	天子	天子	485	词表匹配	天子	困，且降，乃使人告急天子。天子问$太尉$@田	官职
114_东越列传	天子	天子	488	词表匹配	天子	降，乃使人告急天子。天子问$太尉$@田蚡@，	官职
114_东越列传	天子	天子	613	词表匹配	天子	！今小国以穷困来告急天子，天子弗振，彼当安所	官职
114_东越列传	天子	天子	616	词表匹配	天子	国以穷困来告急天子，天子弗振，彼当安所告愬？	官职
114_东越列传	闽越击南越	闽越击南越	768	词表匹配	闽越击南越	淮=之间。↵↵## 闽越击南越与郢被杀↵↵[3] 	event
114_东越列传	天子	天子	806	词表匹配	天子	=南越=。=南越=守天子约，不敢擅发兵击而以	官职
114_东越列传	而以	而以	816	词表匹配	而以	天子约，不敢擅发兵击而以闻。上遣$大行$@王	人名
114_东越列传	天子	天子	909	词表匹配	天子	击=南越=，不请，故天子兵来诛。今&汉&兵众	官职
114_东越列传	天子	天子	945	词表匹配	天子	灭国而止。今杀王以谢天子。天子听，罢兵，固一	官职
114_东越列传	天子	天子	948	词表匹配	天子	止。今杀王以谢天子。天子听，罢兵，固一国完；	官职
114_东越列传	今王	今王	1012	词表匹配	今王	曰："所为来者诛王。今王头至，谢罪，不战而耘	官职
114_东越列传	天子	天子	1052	词表匹配	天子	军，而使使奉王头驰报天子。诏罢两将兵，曰："	官职
114_东越列传	祭祀	祭祀	1114	词表匹配	祭祀	繇王$，奉=闽越=先祭祀。↵↵[4] @馀善	制度
114_东越列传	天子	天子	1161	词表匹配	天子	王$不能矫其众持正。天子闻之，为@馀善@不足	官职
114_东越列传	千人	千人	1274	词表匹配	千人	馀善@上书，请以卒八千人从$楼船将军$击@吕	时间
114_东越列传	东越	东越	1532	词表匹配	东越	。↵↵## 汉军讨灭东越↵↵[7] @馀善@	地名
114_东越列传	天子	天子	1563	词表匹配	天子	立，诈其民，为妄言。天子遣$横海将军$@韩说	官职
114_东越列传	东方	东方	1585	词表匹配	东方	@出=句章=，浮海从东方往；$楼船将军$@杨	地名
114_东越列传	七百人	七百人	1802	词表匹配	七百人	衍侯$@吴阳@以其邑七百人反，攻~越~军於=汉	时间
114_东越列传	万户	万户	1922	词表匹配	万户	居股@为$东成侯$，万户；封$建成侯$@敖@	时间
114_东越列传	天子	天子	2081	词表匹配	天子	$。↵↵[9] 於是天子曰=东越=狭多阻，=	官职
114_东越列传	军吏	军吏	2103	词表匹配	军吏	闽越=悍，数反覆，诏军吏皆将其民徙处=江淮=	官职
114_东越列传	司马迁	太史公	2130	词表匹配	太史公	=地遂虚。↵↵## 太史公论赞↵↵[10] $	人名
114_东越列传	万户	万户	2225	词表匹配	万户	$@居股@等犹尚封为万户侯，由此知~越~世世	时间
