章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
115_朝鲜列传	朝鲜	朝鲜	6	词表匹配	朝鲜	# 115 朝鲜列传↵↵## 卫满立	人名
115_朝鲜列传	卫满	卫满	15	词表匹配	卫满	 朝鲜列传↵↵## 卫满立朝鲜↵↵[0] =	人名
115_朝鲜列传	朝鲜	朝鲜	18	词表匹配	朝鲜	列传↵↵## 卫满立朝鲜↵↵[0] =朝鲜=	人名
115_朝鲜列传	千馀人	千馀人	144	词表匹配	千馀人	~，@满@亡命，聚党千馀人，魋结~蛮夷~服而东	时间
115_朝鲜列传	天子	天子	279	词表匹配	天子	蛮夷~$君长$欲入见天子，勿得禁止。以闻，上	官职
115_朝鲜列传	数千里	数千里	326	词表匹配	数千里	=临屯=皆来服属，方数千里。↵↵## 右渠拒汉	时间
115_朝鲜列传	右渠	右渠	335	词表匹配	右渠	方数千里。↵↵## 右渠拒汉↵↵[2] 传子	人名
115_朝鲜列传	天子	天子	381	词表匹配	天子	真番=旁众国欲上书见天子，又拥阏不通。%元封	官职
115_朝鲜列传	天子	天子	463	词表匹配	天子	即渡，驰入塞，遂归报天子曰"杀=朝鲜=将"。	官职
115_朝鲜列传	朝鲜	朝鲜	525	词表匹配	朝鲜	@。↵↵## 汉军征朝鲜↵↵[3] 天子募罪	人名
115_朝鲜列传	天子	天子	533	词表匹配	天子	军征朝鲜↵↵[3] 天子募罪人击=朝鲜=。其	官职
115_朝鲜列传	万人	万人	570	词表匹配	万人	齐&浮=渤海=；兵五万人，$左将军$@荀彘@	时间
115_朝鲜列传	千人	千人	649	词表匹配	千人	船将军$将&齐&兵七千人先至=王险=。@右渠	时间
115_朝鲜列传	天子	天子	751	词表匹配	天子	破自前。↵↵[4] 天子为两将未有利，乃使@	官职
115_朝鲜列传	千匹	千匹	819	词表匹配	千匹	太子入谢，献*马*五千匹，及馈军粮。人众万馀	时间
115_朝鲜列传	万馀	万馀	829	词表匹配	万馀	千匹，及馈军粮。人众万馀，持兵，方渡=浿水=	时间
115_朝鲜列传	天子	天子	901	词表匹配	天子	，复引归。@山@还报天子，天子诛@山@。↵↵	官职
115_朝鲜列传	天子	天子	904	词表匹配	天子	归。@山@还报天子，天子诛@山@。↵↵[5]	官职
115_朝鲜列传	上军	上军	927	词表匹配	上军	$左将军$破=浿水=上军，乃前，至城下，围其	官职
115_朝鲜列传	西北	西北	939	词表匹配	西北	，乃前，至城下，围其西北。$楼船$亦往会，居	地名
115_朝鲜列传	城南	城南	951	词表匹配	城南	。$楼船$亦往会，居城南。@右渠@遂坚守城，	地名
115_朝鲜列传	数月	数月	963	词表匹配	数月	。@右渠@遂坚守城，数月未能下。↵↵## 两	时间
115_朝鲜列传	天子	天子	1214	词表匹配	天子	疑其有反计，未敢发。天子曰将率不能，前使@卫	官职
115_朝鲜列传	计相	计相	1258	词表匹配	计相	能剸决，与$左将军$计相误，卒沮约。今两将围	官职
115_朝鲜列传	而以	而以	1396	词表匹配	而以	。"@遂@亦以为然，而以节召$楼船将军$入$	人名
115_朝鲜列传	天子	天子	1440	词表匹配	天子	将军$，并其军，以报天子。天子诛@遂@。↵↵	官职
115_朝鲜列传	天子	天子	1443	词表匹配	天子	，并其军，以报天子。天子诛@遂@。↵↵## 	官职
115_朝鲜列传	右渠被杀平朝鲜	右渠被杀平朝鲜	1455	词表匹配	右渠被杀平朝鲜	诛@遂@。↵↵## 右渠被杀平朝鲜↵↵[7] $左将军	event
115_朝鲜列传	弃市	弃市	1788	词表匹配	弃市	，坐争功相嫉，乖计，弃市。$楼船将军$亦坐兵	制度
115_朝鲜列传	司马迁	太史公	1835	词表匹配	太史公	赎为庶人。↵↵## 太史公论赞↵↵[9] $太	人名
