章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
118_淮南衡山列传	获罪	获罪	802	词表匹配	获罪	。↵↵## 厉王谋反获罪↵↵[2] %六年%	刑法
118_淮南衡山列传	宗庙	宗庙	1129	词表匹配	宗庙	子@奇@谋反，欲以危宗庙社稷。使@开章@阴告	礼仪
118_淮南衡山列传	社稷	社稷	1131	词表匹配	社稷	奇@谋反，欲以危宗庙社稷。使@开章@阴告@长	礼仪
118_淮南衡山列传	弃市	弃市	1365	词表匹配	弃市	杀无罪者六人；为亡命弃市罪诈捕命者以除罪；擅	刑法
118_淮南衡山列传	赦免	赦免	1399	词表匹配	赦免	城旦舂^以上十四人；赦免罪人，死罪十八人，^	刑法
118_淮南衡山列传	死罪	死罪	1404	词表匹配	死罪	上十四人；赦免罪人，死罪十八人，^城旦舂^以	刑法
118_淮南衡山列传	弃市	弃市	1665	词表匹配	弃市	3.5] 。@长@当弃市，臣请论如法。"↵↵	刑法
118_淮南衡山列传	死罪	死罪	1835	词表匹配	死罪	致法於王，其赦@长@死罪，废勿王。"↵↵[7	刑法
118_淮南衡山列传	死罪	死罪	1864	词表匹配	死罪	等昧死言：@长@有大死罪，陛下不忍致法，幸赦	刑法
118_淮南衡山列传	弃市	弃市	2325	词表匹配	弃市	王$不发封餽侍者，皆弃市。乃以列侯葬$淮南王	刑法
118_淮南衡山列传	仁义	仁义	3183	词表匹配	仁义	王亲&高皇帝&孙，行仁义，=天下=莫不闻。即	思想
118_淮南衡山列传	弃市	弃市	4098	词表匹配	弃市	被@等，废格明诏，当弃市。"诏弗许。公卿请废	刑法
118_淮南衡山列传	仁义	仁义	4233	词表匹配	仁义	。其後自伤曰："吾行仁义见削，甚耻之。"然$	思想
118_淮南衡山列传	仁义	仁义	4416	词表匹配	仁义	且吾&高祖&孙，亲行仁义，陛下遇我厚，吾能忍	思想
118_淮南衡山列传	圣人	圣人	4636	词表匹配	圣人	声，明者见於未形，故圣人万举万全。昔$文王$	思想
118_淮南衡山列传	圣人	圣人	4749	词表匹配	圣人	王$之听。昔&秦&绝圣人之道，杀术士，燔《诗	思想
118_淮南衡山列传	礼义	礼义	4767	词表匹配	礼义	，燔《诗》《书》，弃礼义，尚诈力，任刑罚，转	思想
118_淮南衡山列传	圣人	圣人	5229	词表匹配	圣人	高皇帝&曰：'待之，圣人当起东南间。'↵↵[	思想
118_淮南衡山列传	天道	天道	5562	词表匹配	天道	众不能成功者何？诚逆天道而不知时也。方今大王	思想
118_淮南衡山列传	治乱	治乱	6216	词表匹配	治乱	伍被@曰："&汉&廷治乱？"@伍被@曰："=	思想
118_淮南衡山列传	死罪	死罪	6415	词表匹配	死罪	也。"王怒，@被@谢死罪。王又谓@被@曰："	刑法
118_淮南衡山列传	富贵	富贵	6748	词表匹配	富贵	以为非也。$吴王$至富贵也，举事不当，身死=	思想
118_淮南衡山列传	无为	无为	6791	词表匹配	无为	悔之甚。原王孰虑之，无为$吴王$之所悔。"王	思想
118_淮南衡山列传	赦令	赦令	7531	词表匹配	赦令	桀任侠及有耐罪以上，赦令除其罪，产五十万以上	刑法
118_淮南衡山列传	伏诛	伏诛	8544	词表匹配	伏诛	逆无道，谋反明白，当伏诛。"$胶西王$臣@端	刑法
118_淮南衡山列传	宗庙	宗庙	8593	词表匹配	宗庙	下=，荧惑百姓，倍畔宗庙，妄作妖言。《春秋》	礼仪
118_淮南衡山列传	免官	免官	8702	词表匹配	免官	中者，不能相教，当皆免官削爵为士伍，毋得宦为	刑法
118_淮南衡山列传	削爵	削爵	8704	词表匹配	削爵	，不能相教，当皆免官削爵为士伍，毋得宦为吏。	刑法
118_淮南衡山列传	赎死	赎死	8721	词表匹配	赎死	得宦为吏。其非吏，他赎死金二斤八两。以章臣@	刑法
118_淮南衡山列传	死罪	死罪	9082	词表匹配	死罪	子，王怒，故劾@庆@死罪，彊榜服之。$衡山内	刑法
118_淮南衡山列传	弃市	弃市	10159	词表匹配	弃市	告太子@爽@所为不道弃市罪事。事下=沛郡=治	刑法
118_淮南衡山列传	弃市	弃市	10424	词表匹配	弃市	其罪；坐与王御婢奸，弃市。王后@徐来@亦坐蛊	刑法
118_淮南衡山列传	弃市	弃市	10458	词表匹配	弃市	@爽@坐王告不孝，皆弃市。诸与$衡山王$谋反	刑法
