章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
121_儒林列传	学官	学官	41	词表匹配	学官	读^功令^，至於广厉学官之路，未尝不废书而叹	官职
121_儒林列传	小子	小子	761	词表匹配	小子	曰"归与归与！吾党之小子狂简，斐然成章，不知	人名
121_儒林列传	文学	文学	787	词表匹配	文学	"。夫=齐鲁=之间於文学，自古以来，其天性也	官职
121_儒林列传	干戈	干戈	873	词表匹配	干戈	喟然叹兴於学。然尚有干戈，平定四海，亦未暇遑	器物
121_儒林列传	儒者	儒者	947	词表匹配	儒者	。及至@孝景@，不任儒者，而@窦太后@又好^	制度
121_儒林列传	汉武帝	武帝	986	词表匹配	武帝	未有进者。↵↵## 武帝崇儒与学官制度↵↵[	人名
121_儒林列传	学官	学官	991	词表匹配	学官	↵↵## 武帝崇儒与学官制度↵↵[4] 及@	官职
121_儒林列传	制度	制度	993	词表匹配	制度	## 武帝崇儒与学官制度↵↵[4] 及@今上	制度
121_儒林列传	文学	文学	1196	词表匹配	文学	^刑名^百家之言，延文学儒者%数百人%，而@	官职
121_儒林列传	儒者	儒者	1198	词表匹配	儒者	名^百家之言，延文学儒者%数百人%，而@公孙	制度
121_儒林列传	三代	三代	1429	词表匹配	三代	士$@平@等议曰：闻三代之道，乡里有教，&夏	时间
121_儒林列传	刑罚	刑罚	1480	词表匹配	刑罚	朝廷；其惩恶也，加之刑罚。故教化之行也，建首	制度
121_儒林列传	天地	天地	1517	词表匹配	天地	下昭至德，开大明，配天地，本人伦，劝学脩^礼	天文
121_儒林列传	文学	文学	1623	词表匹配	文学	弟子。郡国县道邑有好文学，敬长上，肃政教，顺	官职
121_儒林列传	尔雅	尔雅	1800	词表匹配	尔雅	际，通古今之义，文章尔雅，训辞深厚，恩施甚美	器物
121_儒林列传	文学	文学	1842	词表匹配	文学	礼^次治$掌故$，以文学^礼义^为官，迁留滞	官职
121_儒林列传	文学	文学	2005	词表匹配	文学	公卿大夫士吏$斌斌多文学之士矣。↵↵## 申	官职
121_儒林列传	申公	申公	2016	词表匹配	申公	学之士矣。↵↵## 申公传诗↵↵[6] @申	人名
121_儒林列传	同师	同师	2092	词表匹配	同师	=长安=，与@刘郢@同师。已而@郢@为&楚王	地名
121_儒林列传	如耳	如耳	2465	词表匹配	如耳	者不在多言，顾力行何如耳。"是时$天子$方好	人名
121_儒林列传	儒术	儒术	2534	词表匹配	儒术	@好^老子^言，不说儒术，得@赵绾@、@王臧	制度
121_儒林列传	子行	子行	2733	词表匹配	子行	称其好学。$学官$弟子行虽不备，而至於$大夫	人名
121_儒林列传	辕固生	辕固生	2780	词表匹配	辕固生	@申公@。↵↵## 辕固生传诗↵↵[9] @清	人名
121_儒林列传	韩生	韩生	3503	词表匹配	韩生	之弟子也。↵↵## 韩生传诗↵↵[12] @	人名
121_儒林列传	伏生	伏生	3648	词表匹配	伏生	$博士$。↵↵## 伏生传尚书↵↵[13] 	人名
121_儒林列传	尚书	尚书	3651	词表匹配	尚书	$。↵↵## 伏生传尚书↵↵[13] @伏生	官职
121_儒林列传	大师	大师	3839	词表匹配	大师	^尚书^，诸=山东=大师无不涉^尚书^以教矣	官职
121_儒林列传	文学	文学	3906	词表匹配	文学	宽@既通^尚书^，以文学应郡举，诣$博士$受	官职
121_儒林列传	而以	而以	4129	词表匹配	而以	御史大夫$。%九年%而以官卒。@宽@在三公位	人名
121_儒林列传	三公	三公	4138	词表匹配	三公	%而以官卒。@宽@在三公位，以和良承意从容得	制度
121_儒林列传	高堂生	高堂生	4304	词表匹配	高堂生	多於是矣。↵↵## 高堂生徐生传礼↵↵[16]	人名
121_儒林列传	徐生	徐生	4307	词表匹配	徐生	矣。↵↵## 高堂生徐生传礼↵↵[16] 诸	人名
121_儒林列传	田何	田何	4587	词表匹配	田何	徐氏@焉。↵↵## 田何传易↵↵[18] 自	人名
121_儒林列传	董仲舒	董仲舒	4820	词表匹配	董仲舒	何@之家。↵↵## 董仲舒传春秋↵↵[19] 	人名
121_儒林列传	春秋	春秋	4824	词表匹配	春秋	。↵↵## 董仲舒传春秋↵↵[19] @董仲	时间
121_儒林列传	四夷	四夷	5129	词表匹配	四夷	为人廉直。是时方外攘四夷，@公孙弘@治^春秋	族群
121_儒林列传	司马迁	太史公	5564	词表匹配	太史公	$大官$。↵↵## 太史公论赞↵↵[24] @	人名
