章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
122_酷吏列传	下相	下相	155	词表匹配	下相	奸伪萌起，其极也，上下相遁，至於不振。当是之	地名
122_酷吏列传	道德	道德	194	词表匹配	道德	能胜其任而愉快乎！言道德者，溺其职矣。故曰"	制度
122_酷吏列传	功臣	功臣	321	词表匹配	功臣	封@，刻轹宗室，侵辱功臣。@吕氏@已败，遂@	官职
122_酷吏列传	郅都	郅都	402	词表匹配	郅都	成@之属。↵↵## 郅都执法不避贵戚↵↵[2	人名
122_酷吏列传	韩列侯	列侯	826	词表匹配	列侯	酷，致行法不避贵戚，列侯宗室见@都@侧目而视	人名
122_酷吏列传	张释之	释之	1084	词表匹配	释之	："@都@忠臣。"欲释之。@窦太后@曰："&	人名
122_酷吏列传	宁成	宁成	1121	词表匹配	宁成	@郅都@。↵↵## 宁成任威陵上↵↵[7] 	人名
122_酷吏列传	长吏	长吏	1170	词表匹配	长吏	气，为人小吏，必陵其长吏；为人上，操下如束湿	官职
122_酷吏列传	都尉	都尉	1212	词表匹配	都尉	@郅都@为守。始前数都尉皆步入府，因吏谒守如	官职
122_酷吏列传	县令	县令	1224	词表匹配	县令	皆步入府，因吏谒守如县令，其畏@郅都@如此。	官职
122_酷吏列传	外戚	外戚	1349	词表匹配	外戚	即位，徙为$内史$。外戚多毁@成@之短，抵罪	人名
122_酷吏列传	九卿	九卿	1366	词表匹配	九卿	之短，抵罪髡钳。是时九卿罪死即死，少被刑，而	官职
122_酷吏列传	千馀	千馀	1440	词表匹配	千馀	！"乃贳贷买*陂田*千馀顷，假贫民，役使%数	时间
122_酷吏列传	周阳由	周阳由	1505	词表匹配	周阳由	$郡守$。↵↵## 周阳由暴酷骄恣↵↵[9] 	人名
122_酷吏列传	弃市	弃市	1778	词表匹配	弃市	受刑，自杀，而@由@弃市。↵↵[11] 自@	制度
122_酷吏列传	赵禹	赵禹	1832	词表匹配	赵禹	由@等矣。↵↵## 赵禹刻深定律↵↵[12]	人名
122_酷吏列传	张汤	张汤	2025	词表匹配	张汤	盖自此始。↵↵## 张汤舞智御人↵↵[13]	人名
122_酷吏列传	贵人	贵人	2227	词表匹配	贵人	@汤@交，遍见@汤@贵人。@汤@给事$内史$	官职
122_酷吏列传	两人	两人	2407	词表匹配	两人	@张汤@为$廷尉$，两人交驩，而兄事@禹@。	时间
