章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
123_大宛列传	国风	国风	725	词表匹配	国风	还。↵↵## 西域诸国风俗↵↵[4] @骞@	典籍
123_大宛列传	朝会	朝会	1145	词表匹配	朝会	盛，取其羁属，不肯往朝会焉。↵↵[6] &康	礼仪
123_大宛列传	大同	大同	1181	词表匹配	大同	%，行国，与&月氏&大同俗。控弦者%八九万人	思想
123_大宛列传	大同	大同	1254	词表匹配	大同	%，行国，与&康居&大同俗。控弦者%十馀万%	思想
123_大宛列传	当斩	当斩	2627	词表匹配	当斩	失亡多；而@骞@後期当斩，赎为庶人。是岁&汉	刑法
123_大宛列传	赎为	赎为	2630	词表匹配	赎为	；而@骞@後期当斩，赎为庶人。是岁&汉&遣$	刑法
123_大宛列传	朝会	朝会	2950	词表匹配	朝会	其众远徙，中立，不肯朝会~匈奴~。~匈奴~遣	礼仪
123_大宛列传	斩首	斩首	4435	词表匹配	斩首	明~之遮&汉&使者，斩首虏%数万人%而去。其	刑法
123_大宛列传	巡狩	巡狩	5373	词表匹配	巡狩	[25] 是时上方数巡狩海上，乃悉从外国客，	礼仪
123_大宛列传	大同	大同	5819	词表匹配	大同	息&，国虽颇异言，然大同俗，相知言。其人皆深	思想
123_大宛列传	天下	天下	6946	词表匹配	天下	，*兵**弩*甚设，天下骚动，传相奉伐&宛&	思想
123_大宛列传	天下	天下	7044	词表匹配	天下	=以卫&酒泉&，而发天下^七科適^，及载Я给	思想
