章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
125_佞幸列传	邓通	邓通	199	词表匹配	邓通	=安陵=。↵↵## 邓通得宠↵↵[2] @孝	人名
125_佞幸列传	宠臣	宠臣	215	词表匹配	宠臣	[2] @孝文@时中宠臣，士人则@邓通@，宦	官职
125_佞幸列传	宦者	宦者	226	词表匹配	宦者	臣，士人则@邓通@，宦者则@赵同@、@北宫伯	官职
125_佞幸列传	参乘	参乘	271	词表匹配	参乘	气!幸，常为@文帝@参乘；@邓通@无伎能。@	官职
125_佞幸列传	数巨万	数巨万	764	词表匹配	数巨万	入@邓通@家，尚负责数巨万。@长公主@赐@邓通	时间
125_佞幸列传	汉景帝	景帝	827	词表匹配	景帝	寄死人家。↵↵## 景帝无宠臣↵↵[4] @	人名
125_佞幸列传	宠臣	宠臣	830	词表匹配	宠臣	家。↵↵## 景帝无宠臣↵↵[4] @孝景帝	官职
125_佞幸列传	宠臣	宠臣	847	词表匹配	宠臣	 @孝景帝@时，中无宠臣，然独$郎中令$@周	官职
125_佞幸列传	韩嫣	韩嫣	881	词表匹配	韩嫣	乃不甚笃。↵↵## 韩嫣李延年↵↵[5] @	人名
125_佞幸列传	李延年	李延年	883	词表匹配	李延年	甚笃。↵↵## 韩嫣李延年↵↵[5] @今天子	人名
125_佞幸列传	宠臣	宠臣	898	词表匹配	宠臣	[5] @今天子@中宠臣，士人则@韩王孙嫣@	官职
125_佞幸列传	宦者	宦者	911	词表匹配	宦者	士人则@韩王孙嫣@，宦者则@李延年@。@嫣@	官职
125_佞幸列传	骑射	骑射	975	词表匹配	骑射	益亲@嫣@。@嫣@善骑射，善佞。上即位，欲事	制度
125_佞幸列传	子男	子男	1380	词表匹配	子男	初诗。其女弟亦幸，有子男。@延年@佩*二千石	官职
125_佞幸列传	中人	中人	1424	词表匹配	中人	韩嫣@也。久之，浸与中人乱，出入骄恣。及其女	地名
125_佞幸列传	外戚	外戚	1464	词表匹配	外戚	@昆弟也。↵↵## 外戚与佞幸↵↵[7] 自	人名
125_佞幸列传	外戚	外戚	1486	词表匹配	外戚	是之後，内宠嬖臣大底外戚之家，然不足数也。@	人名
125_佞幸列传	外戚	外戚	1509	词表匹配	外戚	青@、@霍去病@亦以外戚贵幸，然颇用材能自进	人名
125_佞幸列传	司马迁	太史公	1527	词表匹配	太史公	材能自进。↵↵## 太史公论赞↵↵[8] @太	人名
125_佞幸列传	百世	百世	1570	词表匹配	百世	足以观後人佞幸矣。虽百世可知也。↵传称令色，	时间
125_佞幸列传	巧言	巧言	1586	词表匹配	巧言	↵传称令色，^诗^刺巧言。↵*冠*^璘^入侍	制度
125_佞幸列传	宦者	宦者	1614	词表匹配	宦者	恩。↵黄头赐&蜀&，宦者同轩。↵新声$都尉$	官职
125_佞幸列传	王孙	王孙	1629	词表匹配	王孙	↵新声$都尉$，挟弹王孙。↵泣*鱼*窃驾，著	人名
