章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
126_滑稽列传	淳于髡	淳于髡	110	词表匹配	淳于髡	可以解纷。↵↵## 淳于髡讽谏↵↵[1] @淳	人名
126_滑稽列传	东方	东方	478	词表匹配	东方	@髡@曰："今者臣从东方来，见道傍有禳田者，	地名
126_滑稽列传	五穀	五穀	521	词表匹配	五穀	满篝，汙邪满*车*，五穀蕃熟，穰穰满家。'↵	器物
126_滑稽列传	日暮	日暮	943	词表匹配	日暮	可%八斗%而醉二参。日暮*酒*阑，合尊促坐，	时间
126_滑稽列传	优孟	优孟	1105	词表匹配	优孟	@尝在侧。↵↵## 优孟衣冠↵↵[4] 其後	人名
126_滑稽列传	衣冠	衣冠	1107	词表匹配	衣冠	在侧。↵↵## 优孟衣冠↵↵[4] 其後%百	器物
126_滑稽列传	大夫	大夫	1234	词表匹配	大夫	臣丧之，欲以*棺椁*大夫礼葬之。左右争之，以	官职
126_滑稽列传	而以	而以	1325	词表匹配	而以	堂堂之大，何求不得，而以大夫礼葬之，薄，请以	人名
126_滑稽列传	大夫	大夫	1327	词表匹配	大夫	之大，何求不得，而以大夫礼葬之，薄，请以人君	官职
126_滑稽列传	太牢	太牢	1427	词表匹配	太牢	=魏=翼卫其後，庙食太牢，奉以%万户%之邑。	官职
126_滑稽列传	优旃	优旃	2107	词表匹配	优旃	以言时矣。↵↵## 优旃谏秦↵↵[7] 其後	人名
