章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
127_日者列传	卜筮	卜筮	11	词表匹配	卜筮	 日者列传↵↵## 卜筮之兴↵↵[0] 自古	制度
127_日者列传	司马季主	司马季主	93	词表匹配	司马季主	&兴而有。↵↵## 司马季主卜市↵↵[1] @司	人名
127_日者列传	先王	先王	171	词表匹配	先王	，相从论议，诵^易^先王圣人之道术，究遍人情	官职
127_日者列传	天地	天地	294	词表匹配	天地	子%三四人%侍，方辩天地之道，!日月!之运，	天文
127_日者列传	天地	天地	370	词表匹配	天地	季主@复理前语，分别天地之终始，!日月星辰!	天文
127_日者列传	仁义	仁义	387	词表匹配	仁义	日月星辰!之纪，差次仁义之际，列吉凶之符，语	制度
127_日者列传	宋忠	宋忠	415	词表匹配	宋忠	莫不顺理。↵↵## 宋忠贾谊问卜↵↵[3] 	人名
127_日者列传	贾谊	贾谊	417	词表匹配	贾谊	顺理。↵↵## 宋忠贾谊问卜↵↵[3] @宋	人名
127_日者列传	小子	小子	464	词表匹配	小子	生之状，听先生之辞，小子窃观於世，未尝见也。	人名
127_日者列传	鬼神	鬼神	667	词表匹配	鬼神	言祸灾以伤人心，矫言鬼神以尽人财，厚求拜谢以	神话
127_日者列传	司马季主	季主	711	词表匹配	季主	卑汙也。"↵↵## 季主论贤不肖↵↵[6] 	人名
127_日者列传	直道	直道	806	词表匹配	直道	.1] "贤之行也，直道以正谏，%三%谏不听	器物
127_日者列传	四时	四时	1170	词表匹配	四时	能塞，官秏乱不能治，四时不和不能调，岁穀不孰	时间
127_日者列传	广野君	广野	1257	词表匹配	广野	乎？〘兰芷芎藭〙弃於广野，〘蒿萧〙成林，使君	人名
127_日者列传	子义	子义	1294	词表匹配	子义	7] "述而不作，君子义也。今夫卜者，必法天	人名
127_日者列传	天地	天地	1305	词表匹配	天地	义也。今夫卜者，必法天地，象四时，顺於仁义，	天文
127_日者列传	四时	四时	1309	词表匹配	四时	夫卜者，必法天地，象四时，顺於仁义，分策定卦	时间
127_日者列传	仁义	仁义	1314	词表匹配	仁义	法天地，象四时，顺於仁义，分策定卦，旋式正釭	制度
127_日者列传	天地	天地	1330	词表匹配	天地	卦，旋式正釭，然後言天地之利害，事之成败。昔	天文
127_日者列传	先王	先王	1342	词表匹配	先王	之利害，事之成败。昔先王之定国家，必先^龟策	官职
127_日者列传	鬼神	鬼神	1500	词表匹配	鬼神	，此有^礼^也。言而鬼神或以飨，忠臣以事其上	神话
127_日者列传	而以	而以	1533	词表匹配	而以	畜其子，此有德者也。而以义置%数十百*钱*%	人名
127_日者列传	府库	府库	1727	词表匹配	府库	积之无委聚，藏之不用府库，徙之不用*辎车*，	器物
127_日者列传	无穷	无穷	1764	词表匹配	无穷	。持不尽索之物，游於无穷之世，虽@庄氏@之行	地名
127_日者列传	西北	西北	1796	词表匹配	西北	而云不可卜哉？天不足西北，!星辰!西北移；地	地名
127_日者列传	西北	西北	1803	词表匹配	西北	天不足西北，!星辰!西北移；地不足东南，以海	地名
127_日者列传	东南	东南	1810	词表匹配	东南	星辰!西北移；地不足东南，以海为池；!日!中	地名
127_日者列传	先王	先王	1832	词表匹配	先王	必移，!月!满必亏；先王之道，乍存乍亡。公责	官职
127_日者列传	先王	先王	1896	词表匹配	先王	言说人主意，故言必称先王，语必道上古；虑事定	官职
127_日者列传	先王	先王	1911	词表匹配	先王	道上古；虑事定计，饰先王之成功，语其败害，以	官职
127_日者列传	宋忠	宋忠	2112	词表匹配	宋忠	之道乎！"↵↵## 宋忠贾谊感悟↵↵[9] 	人名
127_日者列传	贾谊	贾谊	2114	词表匹配	贾谊	乎！"↵↵## 宋忠贾谊感悟↵↵[9] @宋	人名
127_日者列传	主计	主计	2267	词表匹配	主计	不审，不见夺糈；为人主计而不审，身无所处。此	官职
127_日者列传	天地	天地	2323	词表匹配	天地	↵[10.1] 也。天地旷旷，物之熙熙，或安	天文
127_日者列传	司马迁	太史公	2447	词表匹配	太史公	绝根者也。↵↵## 太史公论赞↵↵[12] @	人名
127_日者列传	褚先生	褚先生	2501	词表匹配	褚先生	余志而著之。↵## 褚先生补述↵@褚先生@曰：	人名
127_日者列传	贵人	贵人	2695	词表匹配	贵人	观其对%二$大夫$%贵人之谈言，称引古明王圣	官职
127_日者列传	明王	明王	2704	词表匹配	明王	%贵人之谈言，称引古明王圣人道，固非浅闻小数	官职
127_日者列传	千里	千里	2728	词表匹配	千里	。↵及^卜筮^立名声千里者，各往往而在。↵传	时间
127_日者列传	待诏	待诏	2975	词表匹配	待诏	$郎$时，与$太卜$待诏为$郎$者同署，言曰	官职
