章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
127_日者列传	天命	天命	42	词表匹配	天命	何尝不以^卜筮^决於天命哉！其於&周&尤甚，	思想
127_日者列传	圣人	圣人	173	词表匹配	圣人	从论议，诵^易^先王圣人之道术，究遍人情，相	思想
127_日者列传	圣人	圣人	200	词表匹配	圣人	贾谊@曰："吾闻古之圣人，不居朝廷，必在卜医	思想
127_日者列传	天地	天地	294	词表匹配	天地	子%三四人%侍，方辩天地之道，!日月!之运，	思想
127_日者列传	吉凶	吉凶	310	词表匹配	吉凶	日月!之运，^阴阳^吉凶之本。%二$大夫$%	思想
127_日者列传	天地	天地	370	词表匹配	天地	季主@复理前语，分别天地之终始，!日月星辰!	思想
127_日者列传	仁义	仁义	387	词表匹配	仁义	日月星辰!之纪，差次仁义之际，列吉凶之符，语	思想
127_日者列传	吉凶	吉凶	393	词表匹配	吉凶	纪，差次仁义之际，列吉凶之符，语%数千言%，	思想
127_日者列传	人心	人心	662	词表匹配	人心	说人志，擅言祸灾以伤人心，矫言鬼神以尽人财，	思想
127_日者列传	吉凶	吉凶	768	词表匹配	吉凶	止，问之!日月!疵瑕吉凶，则不能理。由是观之	思想
127_日者列传	无为	无为	1048	词表匹配	无为	贤陈功，见伪增实，以无为有，以少为多，以求便	思想
127_日者列传	君子	君子	1268	词表匹配	君子	野，〘蒿萧〙成林，使君子退而不显众，公等是也	思想
127_日者列传	君子	君子	1293	词表匹配	君子	[7] "述而不作，君子义也。今夫卜者，必法	思想
127_日者列传	天地	天地	1305	词表匹配	天地	义也。今夫卜者，必法天地，象四时，顺於仁义，	思想
127_日者列传	仁义	仁义	1314	词表匹配	仁义	法天地，象四时，顺於仁义，分策定卦，旋式正釭	思想
127_日者列传	天地	天地	1330	词表匹配	天地	卦，旋式正釭，然後言天地之利害，事之成败。昔	思想
127_日者列传	吉凶	吉凶	1380	词表匹配	吉凶	乃後入家；产子必先占吉凶，後乃有之。自@伏羲	思想
127_日者列传	天下	天下	1414	词表匹配	天下	演%三百八十四爻%而天下治。@越王句践@放@	思想
127_日者列传	天下	天下	1439	词表匹配	天下	^八卦^以破敌国，霸天下。由是言之，^卜筮^	思想
127_日者列传	君子	君子	1663	词表匹配	君子	] "@庄子@曰：'君子内无饥寒之患，外无劫	思想
127_日者列传	君子	君子	1690	词表匹配	君子	上而敬，居下不为害，君子之道也。'↵↵[7.	思想
127_日者列传	君子	君子	2046	词表匹配	君子	亦不与不肖者同列。故君子处卑隐以辟众，自匿以	思想
127_日者列传	天地	天地	2323	词表匹配	天地	↵[10.1] 也。天地旷旷，物之熙熙，或安	思想
127_日者列传	君子	君子	2567	词表匹配	君子	衣冠*而当乡人也，有君子之风。↵见性好解妇来	思想
127_日者列传	人道	人道	2707	词表匹配	人道	之谈言，称引古明王圣人道，固非浅闻小数之能。	思想
127_日者列传	天下	天下	2793	词表匹配	天下	人也：以相*马*立名天下。↵=齐=@张仲@、	思想
127_日者列传	天下	天下	2822	词表匹配	天下	击刺学用*剑*，立名天下。↵@留长孺@以相*	思想
127_日者列传	吉凶	吉凶	3125	词表匹配	吉凶	者之名，有自来矣。↵吉凶占候，著於^墨子^。	思想
