章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
128_龟策列传	龟策列传	龟策列传	2	词表匹配	龟策列传	# 龟策列传↵↵## 卜筮决疑之	制度
128_龟策列传	卜筮	卜筮	11	词表匹配	卜筮	 龟策列传↵↵## 卜筮决疑之道↵↵[0] 	制度
128_龟策列传	百穀	百穀	109	词表匹配	百穀	*之卜顺故&殷&兴，百穀之筮吉故&周&王。王	动植物
128_龟策列传	蛮夷	蛮夷	153	词表匹配	蛮夷	之道也。↵↵[1] 蛮夷~氐羌~虽无君臣之序	族群
128_龟策列传	掌故	掌故	455	词表匹配	掌故	孝文@、@孝景@因袭掌故，未遑讲试，虽父子畴	官职
128_龟策列传	无穷	无穷	747	词表匹配	无穷	，灼^龟^观兆，变化无穷，是以择贤而用占焉，	地名
128_龟策列传	神明	神明	923	词表匹配	神明	子谓夫轻^卜筮^，无神明者，悖；背人道，信祯	神话
128_龟策列传	鬼神	鬼神	938	词表匹配	鬼神	；背人道，信祯祥者，鬼神不得其正。故^书^建	神话
128_龟策列传	褚先生	褚先生	1101	词表匹配	褚先生	岂不信哉！↵↵## 褚先生补述↵↵[5] @褚	人名
128_龟策列传	三王	三王	1189	词表匹配	三王	^太史公^之传曰："三王不同^龟^，四夷各异	朝代
128_龟策列传	四夷	四夷	1197	词表匹配	四夷	："三王不同^龟^，四夷各异卜，然各以决吉凶	族群
128_龟策列传	掌故	掌故	1254	词表匹配	掌故	，故之$大卜官$，问掌故文学长老习事者，写取	官职
128_龟策列传	文学	文学	1256	词表匹配	文学	之$大卜官$，问掌故文学长老习事者，写取^龟	官职
128_龟策列传	蓍龟	蓍龟	1283	词表匹配	蓍龟	编于下方。↵↵## 蓍龟取法↵↵[6] 闻古	制度
128_龟策列传	王道	王道	1522	词表匹配	王道	。传曰："天下和平，王道得，而^蓍^茎长%丈	制度
128_龟策列传	法度	法度	1559	词表匹配	法度	取^蓍^者，不能中古法度，不能得满%百茎%长	制度
128_龟策列传	宝器	宝器	1818	词表匹配	宝器	可宝矣。今夫*珠玉*宝器，虽有所深藏，必见其	器物
128_龟策列传	神明	神明	1835	词表匹配	神明	藏，必见其光，必出其神明，其此之谓乎！故*玉	神话
128_龟策列传	出於	出於	1883	词表匹配	出於	也。明*月*之*珠*出於=江海=，藏於*蚌*	人名
128_龟策列传	四夷	四夷	1913	词表匹配	四夷	。王得之，长有天下，四夷宾服。能得%百茎%^	族群
128_龟策列传	宾服	宾服	1915	词表匹配	宾服	得之，长有天下，四夷宾服。能得%百茎%^蓍^	制度
128_龟策列传	出於	出於	1964	词表匹配	出於	↵↵[7] 神^龟^出於=江=水中，=庐江郡	人名
128_龟策列传	岁时	岁时	1978	词表匹配	岁时	=水中，=庐江郡=常岁时生^龟^长尺%二寸%	时间
128_龟策列传	西北	西北	2100	词表匹配	西北	穿佩之，取^龟^置室西北隅悬之，以入深山大林	地名
128_龟策列传	子重	子重	2221	词表匹配	子重	上。左胁书文曰：'甲子重光，得我者匹夫为人君	人名
128_龟策列传	帝王	帝王	2243	词表匹配	帝王	，有土正，诸侯得我为帝王。'↵↵[8.1] 	官职
128_龟策列传	斋戒	斋戒	2268	词表匹配	斋戒	*白蛇*蟠杅林中者，斋戒以待，譺然，状如有人	制度
128_龟策列传	南方	南方	2337	词表匹配	南方	杀龟之辩↵↵[9] 南方老人用^龟^支*床*	地名
128_龟策列传	老人	老人	2339	词表匹配	老人	之辩↵↵[9] 南方老人用^龟^支*床*足，	天文
128_龟策列传	老人	老人	2359	词表匹配	老人	足，行%二十馀岁%，老人死，移*床*，^龟^	天文
128_龟策列传	明王	明王	2534	词表匹配	明王	。以往古故事言之，古明王圣主皆杀而用之。↵↵	官职
128_龟策列传	宋元王	宋元王	2549	词表匹配	宋元王	杀而用之。↵↵## 宋元王得龟↵↵[10] &	人名
128_龟策列传	夜半	夜半	2612	词表匹配	夜半	囚之。置之*笼*中。夜半，^龟^来见梦於&宋	时间
128_龟策列传	而乘	而乘	2736	词表匹配	而乘	衣**玄绣*之*衣*而乘*辎车*，来见梦於寡	器物
128_龟策列传	规矩	规矩	2856	词表匹配	规矩	所指，定!日!处乡。规矩为辅，副以权衡。四维	器物
128_龟策列传	壬子	壬子	2899	词表匹配	壬子	对@元王@曰："今昔壬子，宿在!牵牛!。=河	时间
128_龟策列传	鬼神	鬼神	2916	词表匹配	鬼神	牛!。=河=水大会，鬼神相谋。=汉=正南北，	神话
128_龟策列传	正南	正南	2924	词表匹配	正南	会，鬼神相谋。=汉=正南北，=江河=固期，南	天文
128_龟策列传	白云	白云	2947	词表匹配	白云	新至，=江=使先来。白云壅=汉=，万物尽留。	动植物
128_龟策列传	而乘	而乘	2975	词表匹配	而乘	日!，使者当囚。玄服而乘*辎车*，其名为^龟	器物
128_龟策列传	夜半	夜半	3143	词表匹配	夜半	得？"@豫且@曰："夜半时举网得^龟^。"使	时间
128_龟策列传	出於	出於	3236	词表匹配	出於	[12] 使者载行，出於=泉阳=之门。正昼无	人名
128_龟策列传	安平	安平	3545	词表匹配	安平	三千岁%，不出其域。安平静正，动不用力。寿蔽	地名
128_龟策列传	天地	天地	3557	词表匹配	天地	静正，动不用力。寿蔽天地，莫知其极。与物变化	天文
128_龟策列传	四时	四时	3570	词表匹配	四时	莫知其极。与物变化，四时变色。居而自匿，伏而	时间
128_龟策列传	社稷	社稷	3644	词表匹配	社稷	尽服。王勿遣也，以安社稷。"↵↵[14] @	制度
128_龟策列传	神灵	神灵	3666	词表匹配	神灵	元王@曰："^龟^甚神灵，降于上天，陷於深渊	神话
128_龟策列传	九州	九州	3828	词表匹配	九州	天!，下薄泥涂。还遍九州，未尝愧辱，无所稽留	地名
128_龟策列传	仁义	仁义	3916	词表匹配	仁义	暴生，百姓失时。王行仁义，其罚必来。此无佗故	制度
