章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
128_龟策列传	圣王	圣王	32	词表匹配	圣王	 @太史公@曰：自古圣王将建国受命，兴动事业	思想
128_龟策列传	圣王	圣王	303	词表匹配	圣王	，要其归等耳。或以为圣王遭事无不定，决疑无不	思想
128_龟策列传	圣人	圣人	379	词表匹配	圣人	。或以为昆蟲之所长，圣人不能与争。其处吉凶，	思想
128_龟策列传	吉凶	吉凶	388	词表匹配	吉凶	，圣人不能与争。其处吉凶，别然否，多中於人。	思想
128_龟策列传	天下	天下	417	词表匹配	天下	因&秦&$太卜$官。天下始定，兵革未息。及@	思想
128_龟策列传	族灭	族灭	682	词表匹配	族灭	行诛，恣意所伤，以破族灭门者，不可胜数。百僚	刑法
128_龟策列传	诛三族	诛三族	713	词表匹配	诛三族	能言。後事觉奸穷，亦诛三族。↵↵## 龟卜兆验	刑法
128_龟策列传	变化	变化	745	词表匹配	变化	定数，灼^龟^观兆，变化无穷，是以择贤而用占	思想
128_龟策列传	圣人	圣人	761	词表匹配	圣人	以择贤而用占焉，可谓圣人重事者乎！@周公@卜	思想
128_龟策列传	君子	君子	912	词表匹配	君子	外，可不谓两合者哉！君子谓夫轻^卜筮^，无神	思想
128_龟策列传	人道	人道	930	词表匹配	人道	^，无神明者，悖；背人道，信祯祥者，鬼神不得	思想
128_龟策列传	吉凶	吉凶	1207	词表匹配	吉凶	四夷各异卜，然各以决吉凶，略闚其要，故作^龟	思想
128_龟策列传	清静	清静	1380	词表匹配	清静	鸟*之形。新雨已，天清静无风，以夜捎〘兔丝〙	思想
128_龟策列传	天下	天下	1517	词表匹配	天下	有青云覆之。传曰："天下和平，王道得，而^蓍	思想
128_龟策列传	王道	王道	1522	词表匹配	王道	。传曰："天下和平，王道得，而^蓍^茎长%丈	思想
128_龟策列传	天下	天下	1910	词表匹配	天下	*伏之。王得之，长有天下，四夷宾服。能得%百	思想
128_龟策列传	吉凶	吉凶	1951	词表匹配	吉凶	%言%百%当，足以决吉凶。↵↵[7] 神^龟	思想
128_龟策列传	吉凶	吉凶	2053	词表匹配	吉凶	^龟^庙堂之上，以决吉凶。今^高庙^中有^龟	思想
128_龟策列传	吉凶	吉凶	2880	词表匹配	吉凶	，^八卦^相望。视其吉凶，介蟲先见。乃对@元	思想
128_龟策列传	天下	天下	3475	词表匹配	天下	@对曰："^龟^者是天下之宝也，先得此^龟^	思想
128_龟策列传	天地	天地	3557	词表匹配	天地	静正，动不用力。寿蔽天地，莫知其极。与物变化	思想
128_龟策列传	变化	变化	3567	词表匹配	变化	天地，莫知其极。与物变化，四时变色。居而自匿	思想
128_龟策列传	祸福	祸福	3614	词表匹配	祸福	刑德。先知利害，察於祸福，以言而当，以战而胜	思想
128_龟策列传	社稷	社稷	3644	词表匹配	社稷	尽服。王勿遣也，以安社稷。"↵↵[14] @	礼仪
128_龟策列传	天下	天下	3806	词表匹配	天下	夺之宝。今^龟^周流天下，还复其所，上至!苍	思想
128_龟策列传	仁义	仁义	3916	词表匹配	仁义	暴生，百姓失时。王行仁义，其罚必来。此无佗故	思想
128_龟策列传	仁义	仁义	4042	词表匹配	仁义	国亡。今我听子，是无仁义之名而有暴彊之道。=	思想
128_龟策列传	天地	天地	4123	词表匹配	天地	："不然，王其无患。天地之间，累*石*为山。	思想
128_龟策列传	圣人	圣人	4192	词表匹配	圣人	佳丽而为众人患。非神圣人，莫能尽言。春夏秋冬	思想
128_龟策列传	仁义	仁义	4244	词表匹配	仁义	夏长，秋收冬藏。或为仁义，或为暴彊。暴彊有乡	思想
128_龟策列传	仁义	仁义	4257	词表匹配	仁义	或为暴彊。暴彊有乡，仁义有时。万物尽然，不可	思想
128_龟策列传	善恶	善恶	4300	词表匹配	善恶	白黑。地生五穀，以知善恶。人民莫知辨也，与*	思想
128_龟策列传	天下	天下	4329	词表匹配	天下	居而穴处，不知田作。天下祸乱，^阴阳^相错。	思想
128_龟策列传	圣人	圣人	4360	词表匹配	圣人	妖鮟数见，传为单薄。圣人别其生，使无相获。*	思想
128_龟策列传	圣人	圣人	4656	词表匹配	圣人	拌*蚌*，传卖於市；圣人得之，以为大宝。大宝	思想
128_龟策列传	天地	天地	4811	词表匹配	天地	祸不妄至，福不徒来。天地合气，以生百财。^阴	思想
128_龟策列传	圣人	圣人	4847	词表匹配	圣人	月%，!日!至为期。圣人彻焉，身乃无灾。明王	思想
128_龟策列传	圣人	圣人	4899	词表匹配	圣人	祸与福同，刑与德双。圣人察之，以知吉凶。@桀	思想
128_龟策列传	吉凶	吉凶	4906	词表匹配	吉凶	德双。圣人察之，以知吉凶。@桀@@纣@之时，	思想
128_龟策列传	圣人	圣人	5114	词表匹配	圣人	之器，*象箸*而羹。圣人剖其心，壮士斩其胻。	思想
128_龟策列传	天下	天下	5305	词表匹配	天下	肠如涫汤。是人皆富有天下而贵至$天子$，然而	思想
128_龟策列传	天下	天下	5348	词表匹配	天下	忠信，听其谀臣，而为天下笑。今寡人之邦，居诸	思想
128_龟策列传	天地	天地	5515	词表匹配	天地	^化，鬼神为使；通於天地，与之为友。诸侯宾服	思想
128_龟策列传	圣人	圣人	5697	词表匹配	圣人	谏者辄死，谀者在傍。圣人伏匿，百姓莫行。天数	思想
128_龟策列传	圣人	圣人	5877	词表匹配	圣人	今^龟^，大宝也，为圣人使，传之贤。不用手足	思想
128_龟策列传	贤能	贤能	6219	词表匹配	贤能	河=，还报於=江=，贤能令人战胜攻取，不能自	思想
128_龟策列传	吉凶	吉凶	6399	词表匹配	吉凶	闻之曰："神^龟^知吉凶，而骨直空枯。!日!	思想
128_龟策列传	天下	天下	6416	词表匹配	天下	枯。!日!为德而君於天下，辱於%三%足之*乌	思想
128_龟策列传	天下	天下	6601	词表匹配	天下	*而陈之，以应之天。天下有阶，物不全乃生也。	思想
128_龟策列传	吉凶	吉凶	6699	词表匹配	吉凶	!日月!，分衡度，视吉凶，占^龟^与物色同，	思想
