章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
129_货殖列传	中国	中国	382	词表匹配	中国	釭置：此其大较也。皆中国人民所喜好，谣俗被服	地名
129_货殖列传	若水	若水	473	词表匹配	若水	，各劝其业，乐其事，若水之趋下，日夜无休时，	地名
129_货殖列传	仁义	仁义	870	词表匹配	仁义	山深而兽往之，人富而仁义附焉。富者得埶益彰，	制度
129_货殖列传	夷狄	夷狄	895	词表匹配	夷狄	客无所之，以而不乐。夷狄益甚。谚曰："*千金	族群
129_货殖列传	千乘	千乘	949	词表匹配	千乘	壤壤，皆为利往。"夫千乘之王，万家之侯，百室	地名
129_货殖列传	万家	万家	954	词表匹配	万家	利往。"夫千乘之王，万家之侯，百室之君，尚犹	时间
129_货殖列传	之侯	之侯	956	词表匹配	之侯	。"夫千乘之王，万家之侯，百室之君，尚犹患贫	官职
129_货殖列传	计然	计然	984	词表匹配	计然	户之民乎！↵↵## 计然范蠡治国↵↵[5] 	人名
129_货殖列传	范蠡	范蠡	986	词表匹配	范蠡	民乎！↵↵## 计然范蠡治国↵↵[5] 昔者	人名
129_货殖列传	财币	财币	1272	词表匹配	财币	*，贱取如*珠玉*。财币欲其行如流水。"修之	器物
129_货殖列传	中国	中国	1318	词表匹配	中国	，遂报彊&吴&，观兵中国，称号"^五霸^"。	地名
129_货殖列传	杨得意	得意	1376	词表匹配	得意	，&越&用其%五%而得意。既已施於国，吾欲用	人名
129_货殖列传	子贡	子贡	1562	词表匹配	子贡	陶硃公@。↵↵## 子贡白圭经商↵↵[7] 	人名
129_货殖列传	白圭	白圭	1564	词表匹配	白圭	公@。↵↵## 子贡白圭经商↵↵[7] @子	人名
129_货殖列传	出取	出取	1780	词表匹配	出取	*丝**漆*；*茧*出取*帛絮*，予之食。!	器物
129_货殖列传	关中	关中	2347	词表匹配	关中	=京师=。↵↵## 关中巴蜀之饶↵↵[12]	地名
129_货殖列传	巴蜀	巴蜀	2349	词表匹配	巴蜀	师=。↵↵## 关中巴蜀之饶↵↵[12] =	地名
129_货殖列传	先王	先王	2453	词表匹配	先王	治=镐=，故其民犹有先王之遗风，好稼穑，殖五	官职
129_货殖列传	五穀	五穀	2464	词表匹配	五穀	王之遗风，好稼穑，殖五穀，地重，重为邪。及&	器物
129_货殖列传	栈道	栈道	2669	词表匹配	栈道	、*旄牛*。然四塞，栈道%千里%，无所不通，	器物
129_货殖列传	三河	三河	2805	词表匹配	三河	什居其六。↵↵## 三河中原风俗↵↵[13]	地名
129_货殖列传	中原	中原	2807	词表匹配	中原	其六。↵↵## 三河中原风俗↵↵[13] 昔	地名
129_货殖列传	北夷	北夷	2983	词表匹配	北夷	奸，不事农商。然迫近北夷，师旅亟往，中国委输	族群
129_货殖列传	中国	中国	2991	词表匹配	中国	迫近北夷，师旅亟往，中国委输时有奇羡。其民羯	地名
129_货殖列传	齐鲁	齐鲁	3299	词表匹配	齐鲁	之风也。↵↵## 燕齐鲁宋之俗↵↵[15] 	地名
129_货殖列传	东北	东北	3340	词表匹配	东北	南通=齐=、=赵=，东北边胡。=上谷=至=辽	地名
129_货殖列传	先王	先王	3771	词表匹配	先王	止于=亳=。其俗犹有先王遗风，重厚多君子，好	官职
129_货殖列传	山川	山川	3788	词表匹配	山川	多君子，好稼穑，虽无山川之饶，能恶*衣*食，	地名
129_货殖列传	南方	南方	3812	词表匹配	南方	蓄藏。↵↵## 楚越南方之利↵↵[20] &	地名
129_货殖列传	先王	先王	4384	词表匹配	先王	夏&人政尚忠朴，犹有先王之遗风。=颍川=敦愿	官职
129_货殖列传	东南	东南	4430	词表匹配	东南	=武关=、=郧关=，东南受=汉=、=江=、=	地名
129_货殖列传	五穀	五穀	4671	词表匹配	五穀	=、=泗=水以北，宜五穀〘桑麻〙六畜，地小人	器物
129_货殖列传	廊庙	廊庙	4784	词表匹配	廊庙	由此观之，贤人深谋於廊庙，论议朝廷，守信死节	制度
129_货殖列传	素封	素封	5174	词表匹配	素封	而让财矣。↵↵## 素封致富之术↵↵[27]	制度
129_货殖列传	千足	千足	5405	词表匹配	千足	千足**羊*，泽中%千足**彘*，水居%千石	时间
129_货殖列传	千章	千章	5426	词表匹配	千章	石**鱼*陂，山居%千章%之材。=安邑=%千	时间
129_货殖列传	千亩	千亩	5517	词表匹配	千亩	〙；=陈=、&夏&%千亩〘漆〙；=齐=、=鲁	地名
129_货殖列传	千亩	千亩	5543	词表匹配	千亩	〘桑麻〙；=渭川=%千亩〘竹〙；及名国万家之	地名
129_货殖列传	万家	万家	5552	词表匹配	万家	%千亩〘竹〙；及名国万家之城，带郭%千亩%亩	时间
129_货殖列传	而取	而取	5628	词表匹配	而取	而待收，身有处士之义而取给焉。若至家贫亲老，	器物
129_货殖列传	岁时	岁时	5645	词表匹配	岁时	家贫亲老，妻子软弱，岁时无以祭祀进醵，饮食被	时间
129_货殖列传	祭祀	祭祀	5649	词表匹配	祭祀	，妻子软弱，岁时无以祭祀进醵，饮食被服不足以	制度
129_货殖列传	仁义	仁义	5747	词表匹配	仁义	之行，而长贫贱，好语仁义，亦足羞也。↵↵[2	制度
129_货殖列传	千皮	千皮	5865	词表匹配	千皮	屠*牛**羊**彘*千皮，贩穀粜千锺，*薪*	时间
129_货殖列传	千锺	千锺	5871	词表匹配	千锺	**彘*千皮，贩穀粜千锺，*薪*千*车*，*	时间
129_货殖列传	千乘	千乘	6169	词表匹配	千乘	之，廉贾五之，此亦比千乘之家，其大率也。佗杂	地名
129_货殖列传	文学	文学	6666	词表匹配	文学	=、=鲁=以其故多去文学而趋利者，以@曹邴氏	官职
129_货殖列传	守相	守相	6744	词表匹配	守相	利，或连*车骑*，交守相，然愈益任之。终得其	官职
129_货殖列传	韩列侯	列侯	7145	词表匹配	列侯	&兵起时，=长安=中列侯封君行从军旅，赍贷子	人名
