章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
130_太史公自序	司马迁	太史公	6	词表匹配	太史公	# 130_太史公自序↵↵## 标题↵	人名
130_太史公自序	司马迁	太史公	19	词表匹配	太史公	自序↵↵## 标题↵太史公自序↵↵## [1]	人名
130_太史公自序	司马	司马	33	词表匹配	司马	序↵↵## [1] 司马氏的家族世系↵[1.	人名
130_太史公自序	司马谈论六家要指	司马谈论六家要指	611	词表匹配	司马谈论六家要指	。↵↵## [2] 司马谈论六家要指↵[2.1] $太史	event
130_太史公自序	正名	正名	943	词表匹配	正名	使人俭而善失真；然其正名实，不可不察也。^道	制度
130_太史公自序	阴阳	阴阳	1147	词表匹配	阴阳	↵↵## [3] 论阴阳家↵[3.1] 夫^	制度
130_太史公自序	万数	万数	1308	词表匹配	万数	为法。^六经^传以千万数，累世不能通其学，当	时间
130_太史公自序	三尺	三尺	1410	词表匹配	三尺	，言其德行曰："堂高三尺，土阶三等，茅茨不翦	制度
130_太史公自序	土阶	土阶	1413	词表匹配	土阶	德行曰："堂高三尺，土阶三等，茅茨不翦，采椽	器物
130_太史公自序	茅茨	茅茨	1418	词表匹配	茅茨	堂高三尺，土阶三等，茅茨不翦，采椽不刮。食*	器物
130_太史公自序	葛衣	葛衣	1454	词表匹配	葛衣	，藜霍之羹。%夏%日葛衣，%冬%日〘鹿〙裘。	器物
130_太史公自序	百长	百长	1559	词表匹配	百长	此@墨子@之所长，虽百长弗能废也。↵↵## 	官职
130_太史公自序	法家	法家	1576	词表匹配	法家	↵↵## [6] 论法家↵[6.1] ^法家	制度
130_太史公自序	名家	名家	1671	词表匹配	名家	↵↵## [7] 论名家↵[7.1] ^名家	制度
130_太史公自序	道家	道家	1747	词表匹配	道家	↵↵## [8] 论道家↵[8.1] ^道家	朝代
130_太史公自序	司马	司马	2074	词表匹配	司马	？↵↵## [9] 司马谈与司马迁↵[9.1	人名
130_太史公自序	司马迁	司马迁	2078	词表匹配	司马迁	# [9] 司马谈与司马迁↵[9.1] $太史	人名
130_太史公自序	司马迁	司马迁	2121	词表匹配	司马迁	↵↵## [10] 司马迁的早年经历↵[10.	人名
130_太史公自序	司马	司马	2330	词表匹配	司马	↵↵## [11] 司马谈的临终嘱托↵[11	人名
130_太史公自序	千岁	千岁	2495	词表匹配	千岁	吾祖矣。今$天子$接千岁之统，封=泰山=，而	时间
130_太史公自序	王道	王道	2676	词表匹配	王道	@幽@、@厉@之後，王道缺，礼乐衰，@孔子@	制度
130_太史公自序	礼乐	礼乐	2680	词表匹配	礼乐	@厉@之後，王道缺，礼乐衰，@孔子@脩旧起废	制度
130_太史公自序	诸侯相	诸侯相	2729	词表匹配	诸侯相	来%四百有馀岁%，而诸侯相兼，史记放绝。今&汉	官职
130_太史公自序	史记	史记	2734	词表匹配	史记	馀岁%，而诸侯相兼，史记放绝。今&汉&兴，海	制度
130_太史公自序	小子	小子	2809	词表匹配	小子	@迁@俯首流涕曰："小子不敏，请悉论先人所次	人名
130_太史公自序	司马迁继任太史令	司马迁继任太史令	2839	词表匹配	司马迁继任太史令	↵↵## [12] 司马迁继任太史令↵[12.1] 卒%	event
130_太史公自序	史记	史记	2871	词表匹配	史记	@迁@为$太史令$，史记*石室金匮*之书。%	制度
130_太史公自序	孔子	孔子	2936	词表匹配	孔子	## [13] 继承孔子的使命↵[13.1]	人名
130_太史公自序	小子	小子	3035	词表匹配	小子	意在斯乎！意在斯乎！小子何敢让焉。"↵↵##	人名
130_太史公自序	与壶遂论春秋	与壶遂论春秋	3053	词表匹配	与壶遂论春秋	↵↵## [14] 与壶遂论春秋↵[14.1] $上	event
130_太史公自序	大夫	大夫	3137	词表匹配	大夫	$司寇$，诸侯害之，大夫壅之。@孔子@知言之	官职
