章节	类型	实体	说明	上下文
001_五帝本纪	cross_type	熊	同时标为 biology 和 place	
004_周本纪	unknown_bio	离	标注了〖+离〗但不在词表内	+虎〗如〖+罴〗，如〖+豺〗如〖+离〗，于〖=商郊〗，不御克饹，以役
004_周本纪	unknown_bio	兽	标注了〖+兽〗但不在词表内	女饹之。其母曰：“必致之王。夫〖+兽〗三为群，人三为众，女三为粲。王
006_秦始皇本纪	cross_type	狼	同时标为 biology 和 astronomy	
007_项羽本纪	unknown_bio	山河	标注了〖+山河〗但不在词表内	王〗曰：↵↵> "〖=关中〗阻〖+山河〗四塞，地肥饶，可都以霸。"↵↵
012_孝武本纪	unknown_bio	一角兽	标注了〖+一角兽〗但不在词表内	祗〖^郊祀〗，〚上帝〛报享，锡〖+一角兽〗，盖麟云。"↵↵[11.3] 
012_孝武本纪	unknown_bio	一角兽	标注了〖+一角兽〗但不在词表内	曰〖%元光〗，〖%三元〗以郊得〖+一角兽〗曰〖%元狩〗云。↵↵## 封禅
012_孝武本纪	unknown_bio	黄云	标注了〖+黄云〗但不在词表内	.5] 至〖=中山〗，晏温，有〖+黄云〗盖焉。↵↵[20.6] 有麃过
012_孝武本纪	unknown_bio	犀象	标注了〖+犀象〗但不在词表内	↵[32.15] 兕〖*旄牛〗〖+犀象〗之属弗用。↵↵[32.16] 
012_孝武本纪	untagged	白鹿	词表词未标注	忌〗〚泰一〛坛旁。↵↵### 白鹿与白金↵↵[10] 其後，〖#
013_三代世表	cross_type	燕	同时标为 biology 和 feudal-state	
024_乐书	unknown_bio	兽	标注了〖+兽〗但不在词表内	10] 及其调和谐合，〖+鸟〗〖+兽〗尽感，而况怀〖^五常〗，含好恶
025_律书	unknown_bio	兽	标注了〖+兽〗但不在词表内	殆。↵↵[2.2] 自含戴角之〖+兽〗见犯则校，而况於人怀好恶喜怒之
027_天官书	unknown_bio	封豕	标注了〖+封豕〗但不在词表内	兵起。↵↵[16] 〖!奎〗曰〖+封豕〗，为沟渎。〖!娄〗为聚众。〖!
027_天官书	unknown_bio	黄云	标注了〖+黄云〗但不在词表内	〗，宜蚕；风从〖=西方〗，若旦〖+黄云〗，恶。↵↵[110] 〖%冬至
027_天官书	untagged	六畜	词表词未标注	观其所属。仓府厩库，四通之路。六畜〖*禽兽〗，所产去就；鱼鳖〖=
028_封禅书	unknown_bio	桑穀	标注了〖+桑穀〗但不在词表内	〖%八世〗，至〖@帝太戊〗，有〖+桑穀〗生於廷，一暮大拱，惧。〖@伊陟
028_封禅书	unknown_bio	桑穀	标注了〖+桑穀〗但不在词表内	"妖不胜德。"〖@太戊〗修德，〖+桑穀〗死。〖@伊陟〗赞〖@巫咸〗，〖
028_封禅书	unknown_bio	黄蛇	标注了〖+黄蛇〗但不在词表内	之间，卜居之而吉。〖@文公〗梦〖+黄蛇〗自〔天下〕属地，其口止於〖=鄜
028_封禅书	unknown_bio	比目之鱼	标注了〖+比目之鱼〗但不在词表内	三脊，所以为藉也。〖=东海〗致〖+比目之鱼〗，〖=西海〗致〖+比翼之鸟〗，
028_封禅书	unknown_bio	比翼之鸟	标注了〖+比翼之鸟〗但不在词表内	致〖+比目之鱼〗，〖=西海〗致〖+比翼之鸟〗，然后物有不召而自至者十有五焉
028_封禅书	unknown_bio	麒麟	标注了〖+麒麟〗但不在词表内	而自至者十有五焉。今〖+凤皇〗〖+麒麟〗不来，〖+嘉穀〗不生，而〖+蓬
028_封禅书	unknown_bio	蓬蒿藜莠	标注了〖+蓬蒿藜莠〗但不在词表内	麒麟〗不来，〖+嘉穀〗不生，而〖+蓬蒿藜莠〗茂，〖+鸱枭〗数至，而欲〖^封
028_封禅书	unknown_bio	鸱枭	标注了〖+鸱枭〗但不在词表内	穀〗不生，而〖+蓬蒿藜莠〗茂，〖+鸱枭〗数至，而欲〖^封禅〗，毋乃不可
028_封禅书	unknown_bio	黄龙	标注了〖+黄龙〗但不在词表内	曰："〖@黄帝〗得〖^土德〗，〖+黄龙〗地螾见。〖'夏〗得〖^木德〗，
028_封禅书	unknown_bio	青龙	标注了〖+青龙〗但不在词表内	地螾见。〖'夏〗得〖^木德〗，〖+青龙〗止於郊，〖+草木〗暢茂。〖'殷
028_封禅书	unknown_bio	赤乌	标注了〖+赤乌〗但不在词表内	山溢。〖'周〗得〖^火德〗，有〖+赤乌〗之符。今〖'秦〗变〖'周〗，〖
028_封禅书	unknown_bio	黑龙	标注了〖+黑龙〗但不在词表内	〗之时。昔〖@秦文公〗出猎，获〖+黑龙〗，此其〖^水德〗之瑞。"於是〖
028_封禅书	unknown_bio	黄龙	标注了〖+黄龙〗但不在词表内	〗当〖^土德〗，〖^土德〗之应〖+黄龙〗见。宜改〖^正朔〗，易〖^服色
028_封禅书	unknown_bio	黄龙	标注了〖+黄龙〗但不在词表内	言，非也。罢之。後〖%三岁〗，〖+黄龙〗见〖=成纪〗。〖@文帝〗乃召〖
028_封禅书	unknown_bio	一角兽	标注了〖+一角兽〗但不在词表内	%明年〗，〖^郊〗〖=雍〗，获〖+一角兽〗，若麃然。〖;有司〗曰："〖#
028_封禅书	unknown_bio	一角兽	标注了〖+一角兽〗但不在词表内	祗〖^郊祀〗，〚上帝〛报享，锡〖+一角兽〗，盖〖+麟〗云。"於是以荐〖^
028_封禅书	unknown_bio	麟	标注了〖+麟〗但不在词表内	上帝〛报享，锡〖+一角兽〗，盖〖+麟〗云。"於是以荐〖^五畤〗，畤加
028_封禅书	unknown_bio	一角兽	标注了〖+一角兽〗但不在词表内	"光"，〖%三元〗以〖^郊〗得〖+一角兽〗曰"狩"云。↵↵[70] 其〖
028_封禅书	unknown_bio	黄云	标注了〖+黄云〗但不在词表内	上荐之。至〖=中山〗，曣翚，有〖+黄云〗盖焉。有〖+麃〗过，上自射之，
028_封禅书	unknown_bio	麃	标注了〖+麃〗但不在词表内	〗，曣翚，有〖+黄云〗盖焉。有〖+麃〗过，上自射之，因以祭云。至〖=
028_封禅书	unknown_bio	白雉	标注了〖+白雉〗但不在词表内	五色土益杂封。纵远方奇兽蜚禽及〖+白雉〗诸物，颇以加礼。〖+兕牛〗〖+
028_封禅书	unknown_bio	兕牛	标注了〖+兕牛〗但不在词表内	禽及〖+白雉〗诸物，颇以加礼。〖+兕牛〗〖+犀象〗之属不用。皆至〖=泰
