章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
002_夏本纪	本纪	本纪	7	词表匹配	本纪	# [0] 夏本纪↵↵## 夏禹↵↵#	制度
002_夏本纪	禹	夏禹	14	词表匹配	夏禹	] 夏本纪↵↵## 夏禹↵↵### 身世与起	人名
002_夏本纪	人臣	人臣	137	词表匹配	人臣	鲧@皆不得在帝位，为人臣。↵↵[1.1] 当	官职
002_夏本纪	襄陵	襄陵	165	词表匹配	襄陵	，鸿水滔天，浩浩怀山襄陵，下民其忧。@尧@求	地名
002_夏本纪	九年	九年	257	词表匹配	九年	岳$，用@鲧@治水。九年而水不息，功用不成。	时间
002_夏本纪	巡狩	巡狩	308	词表匹配	巡狩	，摄行$天子$之政，巡狩。行视@鲧@之治水无	制度
002_夏本纪	九州	九州	607	词表匹配	九州	。↵↵### 治水与九州↵↵[3] @禹@乃	地名
002_夏本纪	高山	高山	651	词表匹配	高山	以傅土，行山表木，定高山大川。@禹@伤先人父	神话
002_夏本纪	鬼神	鬼神	701	词表匹配	鬼神	敢入。薄衣食，致孝于鬼神。卑宫室，致费於沟淢	神话
002_夏本纪	宫室	宫室	705	词表匹配	宫室	衣食，致孝于鬼神。卑宫室，致费於沟淢。↵↵-	制度
002_夏本纪	乘车	乘车	720	词表匹配	乘车	於沟淢。↵↵- 陆行乘车，↵- 水行乘船，↵	器物
002_夏本纪	规矩	规矩	755	词表匹配	规矩	暐。↵- 左准绳，右规矩，载四时，以开九州，	器物
002_夏本纪	四时	四时	759	词表匹配	四时	 左准绳，右规矩，载四时，以开九州，通九道，	时间
002_夏本纪	九州	九州	764	词表匹配	九州	右规矩，载四时，以开九州，通九道，陂九泽，度	地名
002_夏本纪	山川	山川	844	词表匹配	山川	行相地宜所有以贡，及山川之便利。↵↵####	地名
002_夏本纪	冀州	冀州	857	词表匹配	冀州	便利。↵↵#### 冀州↵↵[4] @禹@行	地名
002_夏本纪	沇州	沇州	983	词表匹配	沇州	海=。↵↵#### 沇州↵↵[5] =济=、	地名
002_夏本纪	青州	青州	1104	词表匹配	青州	河=。↵↵#### 青州↵↵[6] =海岱=	地名
002_夏本纪	徐州	徐州	1218	词表匹配	徐州	济=。↵↵#### 徐州↵↵[7] =海岱=	地名
002_夏本纪	扬州	扬州	1366	词表匹配	扬州	河=。↵↵#### 扬州↵↵[8] =淮海=	地名
002_夏本纪	荆州	荆州	1516	词表匹配	荆州	泗=。↵↵#### 荆州↵↵[9] =荆=及	地名
002_夏本纪	豫州	豫州	1704	词表匹配	豫州	河=。↵↵#### 豫州↵↵[10] =荆河	地名
002_夏本纪	梁州	梁州	1820	词表匹配	梁州	河=。↵↵#### 梁州↵↵[11] =华阳	地名
002_夏本纪	雍州	雍州	1959	词表匹配	雍州	河=。↵↵#### 雍州↵↵[12] =黑水	地名
002_夏本纪	山川	山川	2146	词表匹配	山川	即序。↵↵#### 山川脉络↵↵[13] *	地名
002_夏本纪	东北	东北	2702	词表匹配	东北	，又东至于=荷=，又东北会于=汶=，又东北入	地名
002_夏本纪	东北	东北	2711	词表匹配	东北	又东北会于=汶=，又东北入于=海=。↵- [	地名
002_夏本纪	东北	东北	2787	词表匹配	东北	=，东会于=沣=，又东北至于=泾=，东过=漆	地名
002_夏本纪	东北	东北	2831	词表匹配	东北	道=雒=自=熊耳=，东北会于=涧=、=瀍=，	地名
002_夏本纪	东北	东北	2851	词表匹配	东北	=，又东会于=伊=，东北入于=河=。↵↵##	地名
002_夏本纪	五服	五服	2868	词表匹配	五服	。↵↵### 治绩与五服↵↵[15] 於是九	制度
002_夏本纪	九州	九州	2879	词表匹配	九州	服↵↵[15] 於是九州攸同，四奥既居，九山	地名
002_夏本纪	中国	中国	2934	词表匹配	中国	，咸则^三壤^成赋。中国赐土姓：“祗台德先，	地名
002_夏本纪	五百里	五百里	2972	词表匹配	五百里	 令$天子$之国以外五百里^甸服^：百里赋纳裛	时间
002_夏本纪	百里	百里	2980	词表匹配	百里	以外五百里^甸服^：百里赋纳裛，二百里纳铚，	人名
002_夏本纪	二百里	二百里	2986	词表匹配	二百里	甸服^：百里赋纳裛，二百里纳铚，三百里纳秸服，	时间
002_夏本纪	百里	百里	2993	词表匹配	百里	纳裛，二百里纳铚，三百里纳秸服，四百里粟，五	人名
002_夏本纪	四百里	四百里	2999	词表匹配	四百里	纳铚，三百里纳秸服，四百里粟，五百里米。↵- 	时间
002_夏本纪	五百里	五百里	3004	词表匹配	五百里	里纳秸服，四百里粟，五百里米。↵- [15.2	时间
002_夏本纪	五百里	五百里	3024	词表匹配	五百里	5.2] ^甸服^外五百里^侯服^：百里采，二	时间
002_夏本纪	百里	百里	3032	词表匹配	百里	^外五百里^侯服^：百里采，二百里任国，三百	人名
002_夏本纪	二百里	二百里	3036	词表匹配	二百里	里^侯服^：百里采，二百里任国，三百里诸侯。↵	时间
002_夏本纪	百里	百里	3043	词表匹配	百里	里采，二百里任国，三百里诸侯。↵- [15.	人名
002_夏本纪	五百里	五百里	3063	词表匹配	五百里	5.3] ^侯服^外五百里^绥服^：三百里揆文	时间
002_夏本纪	百里	百里	3072	词表匹配	百里	外五百里^绥服^：三百里揆文教，二百里奋武卫	人名
002_夏本纪	二百里	二百里	3078	词表匹配	二百里	服^：三百里揆文教，二百里奋武卫。↵- [15	时间
002_夏本纪	五百里	五百里	3100	词表匹配	五百里	5.4] ^绥服^外五百里^要服^：三百里夷，	时间
002_夏本纪	百里	百里	3109	词表匹配	百里	外五百里^要服^：三百里夷，二百里蔡。↵- 	人名
002_夏本纪	二百里	二百里	3113	词表匹配	二百里	^要服^：三百里夷，二百里蔡。↵- [15.5	时间
002_夏本纪	五百里	五百里	3133	词表匹配	五百里	5.5] ^要服^外五百里^荒服^：三百里蛮，	时间
002_夏本纪	百里	百里	3142	词表匹配	百里	外五百里^荒服^：三百里蛮，二百里流。↵↵[	人名
002_夏本纪	二百里	二百里	3146	词表匹配	二百里	^荒服^：三百里蛮，二百里流。↵↵[16] 东	时间
002_夏本纪	皋陶	皋陶	3219	词表匹配	皋陶	太平治。↵↵### 皋陶与帝舜对话↵↵[17	人名
002_夏本纪	舜	帝舜	3222	词表匹配	帝舜	。↵↵### 皋陶与帝舜对话↵↵[17] @	人名
