章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
004_周本纪	本纪	本纪	7	词表匹配	本纪	# [0] 周本纪↵↵## 后稷起源↵	制度
004_周本纪	后稷	后稷	14	词表匹配	后稷	] 周本纪↵↵## 后稷起源↵↵### 后稷	人名
004_周本纪	后稷	后稷	24	词表匹配	后稷	后稷起源↵↵### 后稷诞生与成长↵↵[1]	人名
004_周本纪	百穀	百穀	338	词表匹配	百穀	始饥，尔$后稷$播时百穀。”↵↵[2.3] 	动植物
004_周本纪	戎狄	戎狄	460	词表匹配	戎狄	@不窋@以失其官而饹戎狄之间。↵↵- @不窋	族群
004_周本纪	戎狄	戎狄	510	词表匹配	戎狄	.1] @公刘@虽在戎狄之间，复脩$后稷$之	族群
004_周本纪	周太王	古公亶父	625	词表匹配	古公亶父	↵↵---↵↵## 古公亶父迁岐↵↵[4] @庆	人名
004_周本纪	戎狄	戎狄	788	词表匹配	戎狄	义，国人皆戴之。薰育戎狄攻之，欲得财物，予之	族群
004_周本纪	戎狄	戎狄	848	词表匹配	戎狄	民立君，将以利之。今戎狄所为攻战，以吾地与民	族群
004_周本纪	戎狄	戎狄	983	词表匹配	戎狄	之。於是@古公@乃贬戎狄之俗，而营筑城郭室屋	族群
004_周本纪	吴太伯	太伯	1026	词表匹配	太伯	颂其德。↵↵### 太伯让位↵↵[5] @古	人名
004_周本纪	卫长子	长子	1041	词表匹配	长子	↵[5] @古公@有长子曰@太伯@，次曰@虞	人名
004_周本纪	卫长子	长子	1132	词表匹配	长子	？”↵↵[5.2] 长子@太伯@、@虞仲@知	人名
004_周本纪	二人	二人	1161	词表匹配	二人	季历@以传@昌@，乃二人亡如荆蛮，文身断发，	时间
004_周本纪	荆蛮	荆蛮	1165	词表匹配	荆蛮	传@昌@，乃二人亡如荆蛮，文身断发，以让@季	族群
004_周本纪	周文王	文王	1190	词表匹配	文王	↵↵---↵↵## 文王兴周↵↵[6] @古	人名
004_周本纪	日中	日中	1316	词表匹配	日中	老，慈少。礼下贤者，日中不暇食以待士，士以此	时间
004_周本纪	大夫	大夫	1393	词表匹配	大夫	、@鬻子@、@辛甲@大夫之徒皆往归之。↵↵#	官职
004_周本纪	羑里之囚	羑里之囚	1408	词表匹配	羑里之囚	往归之。↵↵### 羑里之囚↵↵[8] @崇侯虎	event
004_周本纪	文马	文马	1500	词表匹配	文马	氏&美女，&骊戎&之文马，&有熊&九驷，他奇	器物
