章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
004_周本纪	天下	天下	297	词表匹配	天下	举@弃@为$农师$，天下得其利，有功。↵- 	思想
004_周本纪	德行	德行	776	词表匹配	德行	$、@公刘@之业，积德行义，国人皆戴之。薰育	思想
004_周本纪	天命	天命	1849	词表匹配	天命	- @纣@曰：“不有天命乎？是何能为！”↵↵	思想
004_周本纪	八卦	八卦	1954	词表匹配	八卦	羑里=，盖益*易*之八卦为六十四卦。诗人道$	思想
004_周本纪	人道	人道	1963	词表匹配	人道	之八卦为六十四卦。诗人道$西伯$，盖受命之年	思想
004_周本纪	天命	天命	2402	词表匹配	天命	@武王@曰：“女未知天命，未可也。”↵↵乃还	思想
004_周本纪	圣王	圣王	3911	词表匹配	圣王	物*。@武王@追思先圣王，乃襃封&神农&之後	思想
004_周本纪	天下	天下	4393	词表匹配	天下	偃干戈，振兵释旅：示天下不复用也。↵↵[19	思想
004_周本纪	天道	天道	4464	词表匹配	天道	@武王@亦丑，故问以天道。↵↵[20] @武	思想
004_周本纪	天下	天下	4480	词表匹配	天下	20] @武王@病。天下未集，群公惧，穆卜，	思想
004_周本纪	天下	天下	4570	词表匹配	天下	成王@少，&周&初定天下，@周公@恐诸侯畔&	思想
004_周本纪	天下	天下	4923	词表匹配	天下	，居九鼎焉。曰：“此天下之中，四方入贡道里均	思想
004_周本纪	天下	天下	5292	词表匹配	天下	@成@、@康@之际，天下安宁，刑错%四十馀年	思想
004_周本纪	王道	王道	5377	词表匹配	王道	@立。@昭王@之时，王道微缺。@昭王@南巡狩	思想
004_周本纪	巡狩	巡狩	5387	词表匹配	巡狩	王道微缺。@昭王@南巡狩不返，卒於=江=上。	礼仪
004_周本纪	春秋	春秋	5433	词表匹配	春秋	王@。@穆王@即位，春秋已%五十%矣。王道衰	典籍
004_周本纪	王道	王道	5442	词表匹配	王道	，春秋已%五十%矣。王道衰微，@穆王@闵@文	思想
004_周本纪	天地	天地	7006	词表匹配	天地	夫利，百物之所生也，天地之所载也，而有专之，	思想
004_周本纪	天地	天地	7023	词表匹配	天地	而有专之，其害多矣。天地百物皆将取焉，何可专	思想
004_周本纪	大雅	大雅	7121	词表匹配	大雅	我蒸民，莫匪尔极'。大雅曰'陈锡载周'。是不	典籍
004_周本纪	天地	天地	8065	词表匹配	天地	：“&周&将亡矣。夫天地之气，不失其序；若过	思想
004_周本纪	赎罪	赎罪	8749	词表匹配	赎罪	童妾所弃女子者於王以赎罪。弃女子出於=襃=，	刑法
004_周本纪	春秋	春秋	9914	词表匹配	春秋	之二守国、高在。若节春秋来承王命，何以礼焉。	典籍
004_周本纪	纵横	纵横	11888	词表匹配	纵横	### 西周与东周的纵横↵↵[66] 西&周	思想
004_周本纪	天命	天命	13157	词表匹配	天命	@也。是善用兵，又有天命。今又将兵出塞攻&梁	思想
004_周本纪	天下	天下	13875	词表匹配	天下	&，实不足以利，声畏天下。天下以声畏&秦&，	思想
004_周本纪	天下	天下	13878	词表匹配	天下	不足以利，声畏天下。天下以声畏&秦&，必东合	思想
004_周本纪	天下	天下	13903	词表匹配	天下	&。兵弊於&周&。合天下於&齐&，则&秦&不	思想
004_周本纪	天下	天下	13918	词表匹配	天下	&，则&秦&不王矣。天下欲弊&秦&，劝王攻&	思想
004_周本纪	天下	天下	13937	词表匹配	天下	王攻&周&。&秦&与天下弊，则令不行矣。”↵	思想
004_周本纪	天下	天下	14215	词表匹配	天下	秦&，与诸侯约从，将天下锐师出=伊阙=攻&秦	思想
004_周本纪	巡狩	巡狩	14557	词表匹配	巡狩	子$将封=泰山=，东巡狩至=河南=，求&周&	礼仪
004_周本纪	祭祀	祭祀	14602	词表匹配	祭祀	比$列侯$，以奉其先祭祀。↵↵### 赞↵↵	礼仪
