章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
006_秦始皇本纪	始皇本纪	始皇本纪	7	词表匹配	始皇本纪	# [0] 秦始皇本纪↵↵## 秦王政时期	制度
006_秦始皇本纪	秦王政	秦王政	16	词表匹配	秦王政	秦始皇本纪↵↵## 秦王政时期↵↵### 秦始	人名
006_秦始皇本纪	始皇出生	始皇出生	28	词表匹配	始皇出生	政时期↵↵### 秦始皇出生与即位↵↵[1] @	event
006_秦始皇本纪	而取	而取	83	词表匹配	而取	，见@吕不韦@姬，悦而取之，生@始皇@。↵↵	器物
006_秦始皇本纪	秦国	秦国	176	词表匹配	秦国	秦&王。↵↵### 秦国疆域与大臣↵↵[2.	地名
006_秦始皇本纪	十万户	十万户	312	词表匹配	十万户	吕不韦@为$相$，封十万户，号曰$文信侯$。招	时间
006_秦始皇本纪	舍人	舍人	350	词表匹配	舍人	3.2] @李斯@为舍人。@蒙骜@、@王齮@	人名
006_秦始皇本纪	秦王政	秦王政	402	词表匹配	秦王政	事大臣。↵↵### 秦王政早期征伐↵↵[4.1	人名
006_秦始皇本纪	十三城	十三城	492	词表匹配	十三城	@蒙骜@攻&韩&，取十三城。@王齮@死。↵↵[	时间
006_秦始皇本纪	东方	东方	620	词表匹配	东方	月庚寅%，〘蝗虫〙从东方来，蔽天。天下疫。↵	地名
006_秦始皇本纪	千石	千石	645	词表匹配	千石	.4] 百姓内*粟*千石，拜爵一级。↵↵[6	官职
006_秦始皇本纪	二十城	二十城	713	词表匹配	二十城	山阳城=，皆拔之，取二十城。初置=东郡=。↵↵	时间
006_秦始皇本纪	东方	东方	860	词表匹配	东方	七年%，!彗星!先出东方，见北方，%五月%见	地名
006_秦始皇本纪	北方	北方	864	词表匹配	北方	!彗星!先出东方，见北方，%五月%见西方。↵	地名
006_秦始皇本纪	西方	西方	872	词表匹配	西方	，见北方，%五月%见西方。↵↵[8.2] $	地名
006_秦始皇本纪	西方	西方	928	词表匹配	西方	.3] !彗星!复见西方%十六日%。↵↵[8	地名
006_秦始皇本纪	军吏	军吏	994	词表匹配	军吏	&，反，死=屯留=，军吏皆斩死，迁其民於=临	官职
006_秦始皇本纪	嫪毐之乱	嫪毐之乱	1074	词表匹配	嫪毐之乱	〙东就食。↵↵## 嫪毐之乱↵↵### 嫪毐之乱	event
006_秦始皇本纪	嫪毐之乱	嫪毐之乱	1084	词表匹配	嫪毐之乱	嫪毐之乱↵↵### 嫪毐之乱↵↵[10.1] @	event
006_秦始皇本纪	宫室	宫室	1133	词表匹配	宫室	。↵↵[10.2] 宫室车〘马〙衣服苑囿驰猎	制度
006_秦始皇本纪	苑囿	苑囿	1141	词表匹配	苑囿	] 宫室车〘马〙衣服苑囿驰猎恣@毐@。事无小	制度
006_秦始皇本纪	卫卒	卫卒	1300	词表匹配	卫卒	后@*玺*以发县卒及卫卒、官骑、~戎翟~君公	官职
006_秦始皇本纪	舍人	舍人	1313	词表匹配	舍人	官骑、~戎翟~君公、舍人，将欲攻=蕲年宫=为	人名
006_秦始皇本纪	数百	数百	1380	词表匹配	数百	] 战=咸阳=，斩首数百，皆拜爵，及宦者皆在	时间
006_秦始皇本纪	宦者	宦者	1388	词表匹配	宦者	斩首数百，皆拜爵，及宦者皆在战中，亦拜爵一级	官职
006_秦始皇本纪	十人	十人	1494	词表匹配	十人	中大夫$令@齐@等二十人皆枭首。↵↵[13.	时间
006_秦始皇本纪	舍人	舍人	1520	词表匹配	舍人	裂以徇，灭其宗。及其舍人，轻者为鬼薪。↵↵[	人名
006_秦始皇本纪	千馀家	千馀家	1546	词表匹配	千馀家	] 及夺爵迁=蜀=四千馀家，家=房陵=。月寒冻	时间
006_秦始皇本纪	西方	西方	1598	词表匹配	西方	3.6] !彗星!见西方，又见北方，从!斗!	地名
006_秦始皇本纪	北方	北方	1603	词表匹配	北方	!彗星!见西方，又见北方，从!斗!以南%八十	地名
006_秦始皇本纪	韩非	韩非	1791	词表匹配	韩非	=。↵↵## 逐客与韩非之死↵↵### 逐客	人名
006_秦始皇本纪	韩非	韩非	1804	词表匹配	韩非	死↵↵### 逐客与韩非之死↵↵[15.1]	人名
006_秦始皇本纪	合从	合从	1959	词表匹配	合从	郡县之君，臣但恐诸侯合从，翕而出不意，此乃@	制度
006_秦始皇本纪	二人	二人	2306	词表匹配	二人	，军归斗食以下，什推二人从军取=鄴=、=安阳	时间
006_秦始皇本纪	舍人	舍人	2365	词表匹配	舍人	↵↵[19.2] 其舍人临者，&晋&人也逐出	人名
006_秦始皇本纪	六百石	六百石	2383	词表匹配	六百石	人也逐出之；&秦&人六百石以上夺爵，迁；五百石	制度
006_秦始皇本纪	百石	百石	2394	词表匹配	百石	百石以上夺爵，迁；五百石以下不临，迁，勿夺爵	官职
006_秦始皇本纪	舍人	舍人	2462	词表匹配	舍人	 %秋%，复@嫪毐@舍人迁=蜀=者。↵↵[1	人名
006_秦始皇本纪	天下大旱	天下大旱	2484	词表匹配	天下大旱	9.5] 当是之时，天下大旱，%六月%至%八月%	event
006_秦始皇本纪	东方	东方	2581	词表匹配	东方	%正月%，!彗星!见东方。↵↵[20.4] 	地名
006_秦始皇本纪	六国	六国	2749	词表匹配	六国	天下↵↵### 攻伐六国↵↵[22.1] %	制度
006_秦始皇本纪	假守	假守	2833	词表匹配	假守	卒受地&韩&=南阳=假守@腾@。↵↵[23.	官职
006_秦始皇本纪	王生	王生	3126	词表匹配	王生	王之=邯郸=，诸尝与王生&赵&时母家有仇怨，	人名
006_秦始皇本纪	数百人	数百人	3210	词表匹配	数百人	赵&公子@嘉@率其宗数百人之=代=，自立为&代	时间
006_秦始皇本纪	二尺	二尺	3507	词表匹配	二尺	8.5] 大雨雪，深二尺五寸。↵↵[29] 	时间
006_秦始皇本纪	五寸	五寸	3509	词表匹配	五寸	5] 大雨雪，深二尺五寸。↵↵[29] %二	时间
006_秦始皇本纪	兵守	兵守	3897	词表匹配	兵守	与其$相$$后胜$发兵守其西界，不通&秦&。	官职
006_秦始皇本纪	合从	合从	4026	词表匹配	合从	约，与&赵&、&魏&合从畔&秦&，故兴兵诛之	制度
006_秦始皇本纪	宗庙	宗庙	4345	词表匹配	宗庙	之身，兴兵诛暴乱，赖宗庙之灵，六王咸伏其辜，	制度
006_秦始皇本纪	五帝	五帝	4429	词表匹配	五帝	皆曰：↵↵> "昔者五帝地方千里，其外侯服夷	朝代
006_秦始皇本纪	千里	千里	4433	词表匹配	千里	↵> "昔者五帝地方千里，其外侯服夷服诸侯或	时间
006_秦始皇本纪	侯服	侯服	4438	词表匹配	侯服	者五帝地方千里，其外侯服夷服诸侯或朝或否，天	制度
006_秦始皇本纪	天子	天子	4449	词表匹配	天子	服夷服诸侯或朝或否，天子不能制。今陛下兴义兵	官职
006_秦始皇本纪	五帝	五帝	4494	词表匹配	五帝	，自上古以来未尝有，五帝所不及。"↵↵[35	朝代
006_秦始皇本纪	天子	天子	4581	词表匹配	天子	'制'，令为'诏'，天子自称曰'朕'。"↵↵	官职
006_秦始皇本纪	皇帝	皇帝	4630	词表匹配	皇帝	古'帝'位号，号曰'皇帝'。他如议。"↵↵[	官职
006_秦始皇本纪	而以	而以	4712	词表匹配	而以	^谥^，中古有号，死而以行为^谧^。如此，则	人名
006_秦始皇本纪	胡亥	二世	4777	词表匹配	二世	皇帝@。后世以计数，二世三世至于万世，传之无	人名
006_秦始皇本纪	三世	三世	4779	词表匹配	三世	@。后世以计数，二世三世至于万世，传之无穷。	时间
006_秦始皇本纪	万世	万世	4783	词表匹配	万世	以计数，二世三世至于万世，传之无穷。↵↵[3	时间
006_秦始皇本纪	无穷	无穷	4788	词表匹配	无穷	世三世至于万世，传之无穷。↵↵[37.1] 	地名
006_秦始皇本纪	火德	火德	4820	词表匹配	火德	^之传，以为&周&得火德，&秦&代&周&德，	制度
006_秦始皇本纪	水德	水德	4848	词表匹配	水德	↵[37.2] 方今水德之始，改年始，朝贺皆	制度
006_秦始皇本纪	法冠	法冠	4894	词表匹配	法冠	] 数以六为纪，符、法冠皆六寸，而舆六尺，六	器物
006_秦始皇本纪	六尺	六尺	4902	词表匹配	六尺	符、法冠皆六寸，而舆六尺，六尺为步，乘六〘马	时间
006_秦始皇本纪	六尺	六尺	4905	词表匹配	六尺	冠皆六寸，而舆六尺，六尺为步，乘六〘马〙。↵	时间
006_秦始皇本纪	水德	水德	4938	词表匹配	水德	河=曰=德水=，以为水德之始。↵↵[37.5	制度
006_秦始皇本纪	下其议	下其议	5095	词表匹配	下其议	38.2] @始皇@下其议於群臣，群臣皆以为便	官职
006_秦始皇本纪	神灵	神灵	5203	词表匹配	神灵	.4] 今海内赖陛下神灵一统，皆为郡县，诸子	神话
006_秦始皇本纪	功臣	功臣	5215	词表匹配	功臣	一统，皆为郡县，诸子功臣以公赋税重赏赐之，甚	官职
006_秦始皇本纪	宗庙	宗庙	5285	词表匹配	宗庙	斗不休，以有侯王。赖宗庙，天下初定，又复立国	制度
006_秦始皇本纪	千石	千石	5423	词表匹配	千石	，*金人*十二，重各千石，置廷宫中。↵↵[4	官职
006_秦始皇本纪	万户	万户	5541	词表匹配	万户	下豪富於=咸阳=十二万户。↵↵[41.1] 	时间
006_秦始皇本纪	宫室	宫室	5592	词表匹配	宫室	秦&每破诸侯，写放其宫室，作之=咸阳北阪=上	制度
006_秦始皇本纪	衤复道	衤复道	5629	词表匹配	衤复道	=泾=、=渭=，殿屋衤复道周阁相属。↵↵[41	器物
006_秦始皇本纪	美人	美人	5650	词表匹配	美人	41.3] 所得诸侯美人*钟鼓*，以充入之。	官职
006_秦始皇本纪	封禅	封禅	5669	词表匹配	封禅	入之。↵↵## 巡游封禅↵↵### 二十七年	制度
006_秦始皇本纪	二十七年	二十七年	5677	词表匹配	二十七年	巡游封禅↵↵### 二十七年巡游↵↵[42.1]	时间
006_秦始皇本纪	泰山封禅	泰山封禅	5836	词表匹配	泰山封禅	驰道*。↵↵### 泰山封禅↵↵[43.1] %	event
006_秦始皇本纪	山川	山川	5908	词表匹配	山川	&德，议^封禅^望祭山川之事。↵↵[43.3	地名
006_秦始皇本纪	琅邪台	琅邪台	6341	词表匹配	琅邪台	焉而去。↵↵### 琅邪台↵↵[46.1] 南	地名
006_秦始皇本纪	万户	万户	6384	词表匹配	万户	6.2] 乃徙黔首三万户=琅邪台=下，复%十	时间
006_秦始皇本纪	杨得意	得意	6427	词表匹配	得意	石刻，颂&秦&德，明得意。曰：↵↵> **维	人名
006_秦始皇本纪	皇帝	皇帝	7090	词表匹配	皇帝	&王兼有天下，立名为皇帝，乃抚东土，至于=琅	官职
006_秦始皇本纪	千里	千里	7269	词表匹配	千里	 "古之帝者，地不过千里，诸侯各守其封域，或	时间
006_秦始皇本纪	金石	金石	7297	词表匹配	金石	暴乱，残伐不止，犹刻金石，以自为纪。"↵↵[	器物
006_秦始皇本纪	五帝	五帝	7317	词表匹配	五帝	↵[47.3] 古之五帝三王，知教不同，^法	朝代
006_秦始皇本纪	三王	三王	7319	词表匹配	三王	47.3] 古之五帝三王，知教不同，^法度^	朝代
006_秦始皇本纪	皇帝	皇帝	7379	词表匹配	皇帝	^不行。↵↵> "今皇帝并一海内，以为郡县，	官职
006_秦始皇本纪	昭明	昭明	7396	词表匹配	昭明	以为郡县，天下和平。昭明宗庙，体道行德，尊号	人名
006_秦始皇本纪	宗庙	宗庙	7398	词表匹配	宗庙	郡县，天下和平。昭明宗庙，体道行德，尊号大成	制度
006_秦始皇本纪	皇帝	皇帝	7416	词表匹配	皇帝	尊号大成。群臣相与诵皇帝功德，刻于金石，以为	官职
006_秦始皇本纪	金石	金石	7423	词表匹配	金石	相与诵皇帝功德，刻于金石，以为表经。"↵↵#	器物
006_秦始皇本纪	徐市	徐市	7448	词表匹配	徐市	仙与巡游↵↵### 徐市求仙↵↵[48] 既	人名
006_秦始皇本纪	仙人	仙人	7501	词表匹配	仙人	〚方丈〛、〚瀛洲〛，仙人居之。请得斋戒，与童	神话
006_秦始皇本纪	斋戒	斋戒	7508	词表匹配	斋戒	洲〛，仙人居之。请得斋戒，与童男女求之。於是	制度
006_秦始皇本纪	数千人	数千人	7529	词表匹配	数千人	是遣@徐市@发童男女数千人，入海求仙人。↵↵[	时间
006_秦始皇本纪	仙人	仙人	7536	词表匹配	仙人	童男女数千人，入海求仙人。↵↵[49.1] 	神话
006_秦始皇本纪	斋戒	斋戒	7560	词表匹配	斋戒	皇@还，过=彭城=，斋戒祷祠，欲出*周鼎*=	制度
006_秦始皇本纪	千人	千人	7586	词表匹配	千人	↵↵[49.2] 使千人没水求之，弗得。↵↵	时间
006_秦始皇本纪	西南	西南	7606	词表匹配	西南	↵↵[49.3] 乃西南渡=淮水=，之=衡山	地名
006_秦始皇本纪	三千人	三千人	7745	词表匹配	三千人	@始皇@大怒，使刑徒三千人皆伐=湘山=〘树〙，	时间
006_秦始皇本纪	二十九年	二十九年	7790	词表匹配	二十九年	关=归。↵↵### 二十九年巡游↵↵[51.1]	时间
006_秦始皇本纪	三十年	三十年	8463	词表匹配	三十年	党=入。↵↵### 三十年至三十二年↵↵[54	时间
006_秦始皇本纪	三十二年	三十二年	8467	词表匹配	三十二年	↵↵### 三十年至三十二年↵↵[54] %三十	时间
006_秦始皇本纪	仙人	仙人	8911	词表匹配	仙人	@侯公@、@石生@求仙人不死之药。↵↵[57	神话
006_秦始皇本纪	北边	北边	8932	词表匹配	北边	7.2] @始皇@巡北边，从=上郡=入。↵↵	地名
006_秦始皇本纪	图书	图书	8974	词表匹配	图书	以〚鬼神〛事，因奏录图书，曰"亡&秦&者~胡	器物
006_秦始皇本纪	万人	万人	9017	词表匹配	万人	军$@蒙恬@发兵三十万人北击~胡~，略取=河	时间
006_秦始皇本纪	三十四年	三十四年	9052	词表匹配	三十四年	↵↵### 三十三至三十四年↵↵[59.1] %	时间
006_秦始皇本纪	西北	西北	9122	词表匹配	西北	。↵↵[59.2] 西北斥逐~匈奴~。自=榆	地名
006_秦始皇本纪	亭障	亭障	9200	词表匹配	亭障	山=、=北假=中，筑亭障以逐~戎~人。徙谪，	制度
006_秦始皇本纪	西方	西方	9245	词表匹配	西方	9.5] !明星!出西方。↵↵[60] %三	地名
006_秦始皇本纪	十人	十人	9316	词表匹配	十人	咸阳宫=，$博士$七十人前为寿。↵↵[61.	时间
006_秦始皇本纪	千里	千里	9357	词表匹配	千里	 "他时&秦&地不过千里，赖陛下神灵明圣，平	时间
006_秦始皇本纪	神灵	神灵	9363	词表匹配	神灵	&地不过千里，赖陛下神灵明圣，平定海内，放逐	神话
006_秦始皇本纪	日月	日月	9380	词表匹配	日月	海内，放逐~蛮夷~，日月所照，莫不宾服。以诸	制度
006_秦始皇本纪	宾服	宾服	9387	词表匹配	宾服	夷~，日月所照，莫不宾服。以诸侯为郡县，人人	制度
006_秦始皇本纪	万世	万世	9411	词表匹配	万世	乐，无战争之患，传之万世。自上古不及陛下威德	时间
006_秦始皇本纪	千馀岁	千馀岁	9481	词表匹配	千馀岁	闻&殷&、&周&之王千馀岁，封子弟功臣，自为枝	时间
006_秦始皇本纪	功臣	功臣	9488	词表匹配	功臣	&之王千馀岁，封子弟功臣，自为枝辅。今陛下有	官职
006_秦始皇本纪	六卿	六卿	9517	词表匹配	六卿	匹夫，卒有@田常@、六卿之臣，无辅拂，何以相	官职
006_秦始皇本纪	下其议	下其议	9580	词表匹配	下其议	62.2] @始皇@下其议。↵↵[63.1] 	官职
006_秦始皇本纪	五帝	五帝	9608	词表匹配	五帝	李斯@曰：↵↵> "五帝不相复，三代不相袭，	朝代
006_秦始皇本纪	三代	三代	9614	词表匹配	三代	↵> "五帝不相复，三代不相袭，各以治，非其	时间
006_秦始皇本纪	大业	大业	9648	词表匹配	大业	63.2] 今陛下创大业，建万世之功，固非愚	人名
006_秦始皇本纪	万世	万世	9652	词表匹配	万世	] 今陛下创大业，建万世之功，固非愚儒所知。	时间
006_秦始皇本纪	三代	三代	9670	词表匹配	三代	儒所知。且@越@言乃三代之事，何足法也？↵↵	时间
006_秦始皇本纪	皇帝	皇帝	9846	词表匹配	皇帝	↵↵[64.2] 今皇帝并有天下，别黑白而定	官职
006_秦始皇本纪	弃市	弃市	10027	词表匹配	弃市	偶语^诗^、^书^者弃市。以古非今者族。↵↵	制度
006_秦始皇本纪	见知	见知	10047	词表匹配	见知	↵↵[64.5] 吏见知不举者与同罪。令下%	制度
006_秦始皇本纪	城旦	城旦	10068	词表匹配	城旦	%三十日%不烧，黥为城旦。↵↵[64.6] 	制度
006_秦始皇本纪	卜筮	卜筮	10087	词表匹配	卜筮	6] 所不去者，医药卜筮种〘树〙之书。若欲有	制度
006_秦始皇本纪	阿房宫	阿房宫	10131	词表匹配	阿房宫	："可。"↵↵## 阿房宫与驰道↵↵### 阿	地名
006_秦始皇本纪	驰道	驰道	10135	词表匹配	驰道	"↵↵## 阿房宫与驰道↵↵### 阿房宫与	制度
006_秦始皇本纪	阿房宫	阿房宫	10143	词表匹配	阿房宫	宫与驰道↵↵### 阿房宫与驰道↵↵[65.1	地名
006_秦始皇本纪	驰道	驰道	10147	词表匹配	驰道	↵↵### 阿房宫与驰道↵↵[65.1] %	制度
006_秦始皇本纪	先王	先王	10212	词表匹配	先王	@以为=咸阳=人多，先王之宫廷小，吾闻&周&	官职
006_秦始皇本纪	帝王	帝王	10249	词表匹配	帝王	镐=，=丰镐=之间，帝王之都也。↵↵[66.	官职
006_秦始皇本纪	前殿	前殿	10291	词表匹配	前殿	↵[66.2] 先作前殿=阿房=，东西五百步	器物
006_秦始皇本纪	万人	万人	10314	词表匹配	万人	南北五十丈，上可以坐万人，下可以建五丈旗。↵	时间
006_秦始皇本纪	十馀万人	十馀万人	10474	词表匹配	十馀万人	.1] 隐宫徒刑者七十馀万人，乃分作=阿房宫=，	时间
006_秦始皇本纪	四百馀	四百馀	10550	词表匹配	四百馀	=计宫三百，=关外=四百馀。↵↵[67.4] 	时间
006_秦始皇本纪	东门	东门	10583	词表匹配	东门	朐界=中，以为&秦&东门。↵↵[67.5] 	地名
006_秦始皇本纪	万家	万家	10598	词表匹配	万家	[67.5] 因徙三万家=丽邑=，五万家=云	时间
006_秦始皇本纪	万家	万家	10606	词表匹配	万家	徙三万家=丽邑=，五万家=云阳=，皆复不事%	时间
006_秦始皇本纪	方士	方士	10627	词表匹配	方士	%十岁%。↵↵## 方士与坑儒↵↵### 方	制度
006_秦始皇本纪	方士	方士	10638	词表匹配	方士	士与坑儒↵↵### 方士与坑儒↵↵[68.1	制度
006_秦始皇本纪	仙者	仙者	10674	词表匹配	仙者	↵> "臣等求芝奇药仙者常弗遇，类物有害之者	神话
006_秦始皇本纪	方中	方中	10687	词表匹配	方中	弗遇，类物有害之者。方中，人主时为微行以辟恶	制度
006_秦始皇本纪	真人	真人	10709	词表匹配	真人	〚鬼〛，恶〚鬼〛辟，真人至。"↵↵[68.2	神话
006_秦始皇本纪	人臣	人臣	10728	词表匹配	人臣	8.2] 人主所居而人臣知之，则害於神。真人	官职
006_秦始皇本纪	真人	真人	10738	词表匹配	真人	人臣知之，则害於神。真人者，入水不濡，入火不	神话
006_秦始皇本纪	云气	云气	10753	词表匹配	云气	水不濡，入火不爇，陵云气，与天地久长。↵↵>	天文
006_秦始皇本纪	天地	天地	10757	词表匹配	天地	入火不爇，陵云气，与天地久长。↵↵> "今上	天文
006_秦始皇本纪	汉武帝	今上	10767	词表匹配	今上	天地久长。↵↵> "今上治天下，未能恬倓。愿	人名
006_秦始皇本纪	真人	真人	10824	词表匹配	真人	@曰：↵↵> "吾慕真人，自谓'真人'，不称	神话
006_秦始皇本纪	真人	真人	10830	词表匹配	真人	 "吾慕真人，自谓'真人'，不称'朕'。"↵	神话
006_秦始皇本纪	二百里	二百里	10858	词表匹配	二百里	] 乃令=咸阳=之旁二百里内宫观二百七十*复道	时间
006_秦始皇本纪	美人	美人	10886	词表匹配	美人	*相连，帷帐*钟鼓*美人充之，各案署不移徙。	官职
006_秦始皇本纪	车骑	车骑	10940	词表匹配	车骑	=，从山上见$丞相$车骑众，弗善也。↵↵[6	官职
006_秦始皇本纪	中人	中人	10957	词表匹配	中人	。↵↵[69.2] 中人或告$丞相$，$丞相	地名
006_秦始皇本纪	车骑	车骑	10972	词表匹配	车骑	丞相$，$丞相$后损车骑。↵↵[69.3] 	官职
006_秦始皇本纪	中人	中人	10997	词表匹配	中人	@怒曰：↵↵> "此中人泄吾语。"↵↵[69	地名
006_秦始皇本纪	十人	十人	11159	词表匹配	十人	得亲幸。$博士$虽七十人，特备员弗用。$丞相	时间
006_秦始皇本纪	刑杀	刑杀	11193	词表匹配	刑杀	上。↵↵> "上乐以刑杀为威，天下畏罪持禄，	制度
006_秦始皇本纪	三百人	三百人	11262	词表匹配	三百人	死。然候!星气!者至三百人，皆良士，畏忌讳谀，	时间
006_秦始皇本纪	文学	文学	11395	词表匹配	文学	不中用者尽去之。悉召文学方术士甚众，欲以兴太	官职
