章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
006_秦始皇本纪	天下	天下	334	词表匹配	天下	招致宾客游士，欲以并天下。↵↵[3.2] @	思想
006_秦始皇本纪	斩首	斩首	464	词表匹配	斩首	麃公@将卒攻=卷=，斩首三万。↵↵[4.3]	刑法
006_秦始皇本纪	天下	天下	627	词表匹配	天下	虫〙从东方来，蔽天。天下疫。↵↵[5.4] 	思想
006_秦始皇本纪	斩首	斩首	1378	词表匹配	斩首	.3] 战=咸阳=，斩首数百，皆拜爵，及宦者	刑法
006_秦始皇本纪	枭首	枭首	1497	词表匹配	枭首	$令@齐@等二十人皆枭首。↵↵[13.3] 	刑法
006_秦始皇本纪	车裂	车裂	1509	词表匹配	车裂	。↵↵[13.3] 车裂以徇，灭其宗。及其舍	刑法
006_秦始皇本纪	夺爵	夺爵	1539	词表匹配	夺爵	↵↵[13.4] 及夺爵迁=蜀=四千馀家，家	刑法
006_秦始皇本纪	天下	天下	1712	词表匹配	天下	↵↵> "&秦&方以天下为事，而大王有迁母@	思想
006_秦始皇本纪	韩非	韩非	1791	词表匹配	韩非	=。↵↵## 逐客与韩非之死↵↵### 逐客	典籍
006_秦始皇本纪	韩非	韩非	1804	词表匹配	韩非	死↵↵### 逐客与韩非之死↵↵[15.1]	典籍
006_秦始皇本纪	天下	天下	2146	词表匹配	天下	。诚使&秦&王得志於天下，天下皆为虏矣。不可	思想
006_秦始皇本纪	天下	天下	2149	词表匹配	天下	&秦&王得志於天下，天下皆为虏矣。不可与久游	思想
006_秦始皇本纪	夺爵	夺爵	2388	词表匹配	夺爵	；&秦&人六百石以上夺爵，迁；五百石以下不临	刑法
006_秦始皇本纪	夺爵	夺爵	2404	词表匹配	夺爵	百石以下不临，迁，勿夺爵。↵↵[19.3] 	刑法
006_秦始皇本纪	天下	天下	2484	词表匹配	天下	9.5] 当是之时，天下大旱，%六月%至%八	思想
006_秦始皇本纪	斩首	斩首	2541	词表匹配	斩首	赵&$将$@扈辄@，斩首十万。↵↵[20.2	刑法
006_秦始皇本纪	天下	天下	2739	词表匹配	天下	为臣。↵↵## 统一天下↵↵### 攻伐六国	思想
006_秦始皇本纪	天下	天下	3861	词表匹配	天下	2.4] %五月%，天下大酺。↵↵[33] 	思想
006_秦始皇本纪	天下	天下	3975	词表匹配	天下	4.1] &秦&初并天下，令$丞相$、$御史	思想
006_秦始皇本纪	宗庙	宗庙	4345	词表匹配	宗庙	之身，兴兵诛暴乱，赖宗庙之灵，六王咸伏其辜，	礼仪
006_秦始皇本纪	天下	天下	4357	词表匹配	天下	之灵，六王咸伏其辜，天下大定。今名号不更，无	思想
006_秦始皇本纪	天下	天下	4468	词表匹配	天下	兴义兵，诛残贼，平定天下，海内为郡县，^法令	思想
006_秦始皇本纪	诸子	诸子	5073	词表匹配	诸子	置王，毋以镇之。请立诸子，唯上幸许。"↵↵[	思想
006_秦始皇本纪	诸子	诸子	5213	词表匹配	诸子	神灵一统，皆为郡县，诸子功臣以公赋税重赏赐之	思想
006_秦始皇本纪	天下	天下	5231	词表匹配	天下	重赏赐之，甚足易制。天下无异意，则安宁之术也	思想
006_秦始皇本纪	天下	天下	5270	词表匹配	天下	始皇@曰：↵↵> "天下共苦战斗不休，以有侯	思想
006_秦始皇本纪	宗庙	宗庙	5285	词表匹配	宗庙	斗不休，以有侯王。赖宗庙，天下初定，又复立国	礼仪
006_秦始皇本纪	天下	天下	5288	词表匹配	天下	，以有侯王。赖宗庙，天下初定，又复立国，是树	思想
006_秦始皇本纪	天下	天下	5332	词表匹配	天下	↵↵[39.1] 分天下以为三十六郡，郡置$	思想
006_秦始皇本纪	天下	天下	5395	词表匹配	天下	↵↵[40.1] 收天下兵，聚之=咸阳=，销	思想
006_秦始皇本纪	天下	天下	5530	词表匹配	天下	↵↵[40.4] 徙天下豪富於=咸阳=十二万	思想
006_秦始皇本纪	封禅	封禅	5669	词表匹配	封禅	入之。↵↵## 巡游封禅↵↵### 二十七年	礼仪
006_秦始皇本纪	赐爵	赐爵	5819	词表匹配	赐爵	[42.4] 是岁，赐爵一级。治*驰道*。↵	礼仪
006_秦始皇本纪	封禅	封禅	5838	词表匹配	封禅	*。↵↵### 泰山封禅↵↵[43.1] %	礼仪
006_秦始皇本纪	望祭	望祭	5906	词表匹配	望祭	&秦&德，议^封禅^望祭山川之事。↵↵[43	礼仪
006_秦始皇本纪	天下	天下	7084	词表匹配	天下	7] 维&秦&王兼有天下，立名为皇帝，乃抚东	思想
006_秦始皇本纪	天下	天下	7391	词表匹配	天下	并一海内，以为郡县，天下和平。昭明宗庙，体道	思想
006_秦始皇本纪	宗庙	宗庙	7398	词表匹配	宗庙	郡县，天下和平。昭明宗庙，体道行德，尊号大成	礼仪
006_秦始皇本纪	天下	天下	7843	词表匹配	天下	盗所惊。求弗得，乃令天下大索%十日%。↵↵[	思想
006_秦始皇本纪	天下	天下	9698	词表匹配	天下	侯并争，厚招游学。今天下已定，^法令^出一，	思想
006_秦始皇本纪	天下	天下	9788	词表匹配	天下	死言：↵↵> "古者天下散乱，莫之能一，是以	思想
006_秦始皇本纪	天下	天下	9850	词表匹配	天下	4.2] 今皇帝并有天下，别黑白而定一尊。私	思想
006_秦始皇本纪	天下	天下	9975	词表匹配	天下	。非$博士官$所职，天下敢有藏^诗^、^书^	思想
006_秦始皇本纪	百家	百家	9988	词表匹配	百家	有藏^诗^、^书^、百家语者，悉诣$守$、$	思想
006_秦始皇本纪	弃市	弃市	10027	词表匹配	弃市	偶语^诗^、^书^者弃市。以古非今者族。↵↵	刑法
006_秦始皇本纪	天下	天下	10449	词表匹配	天下	之。作宫=阿房=，故天下谓之=阿房宫=。↵↵	思想
006_秦始皇本纪	天地	天地	10757	词表匹配	天地	入火不爇，陵云气，与天地久长。↵↵> "今上	思想
006_秦始皇本纪	天下	天下	10770	词表匹配	天下	长。↵↵> "今上治天下，未能恬倓。愿上所居	思想
006_秦始皇本纪	天下	天下	11116	词表匹配	天下	刚戾自用，起诸侯，并天下，意得欲从，以为自古	思想
006_秦始皇本纪	天下	天下	11198	词表匹配	天下	 "上乐以刑杀为威，天下畏罪持禄，莫敢尽忠。	思想
006_秦始皇本纪	天下	天下	11287	词表匹配	天下	端言其过。↵↵> "天下之事无小大皆决於上，	思想
006_秦始皇本纪	天下	天下	11382	词表匹配	天下	曰：↵↵> "吾前收天下书不中用者尽去之。悉	思想
006_秦始皇本纪	天下	天下	11568	词表匹配	天下	，皆阬之=咸阳=，使天下知之，以惩后。↵↵[	思想
006_秦始皇本纪	天下	天下	11619	词表匹配	天下	苏@谏曰：↵↵> "天下初定，远方黔首未集，	思想
006_秦始皇本纪	天下	天下	11655	词表匹配	天下	皆重^法^绳之，臣恐天下不安。唯上察之。"↵	思想
006_秦始皇本纪	天下	天下	11852	词表匹配	天下	为仙真人诗，及行所游天下，传令乐人歌弦之。↵	思想
006_秦始皇本纪	天下	天下	13396	词表匹配	天下	上崩在外，恐诸公子及天下有变，乃秘之，不发丧	思想
006_秦始皇本纪	天下	天下	13823	词表匹配	天下	，穿治=郦山=，及并天下，天下徒送诣七十馀万	思想
006_秦始皇本纪	天下	天下	13826	词表匹配	天下	=郦山=，及并天下，天下徒送诣七十馀万人，穿	思想
006_秦始皇本纪	天下	天下	14457	词表匹配	天下	行，即见弱，毋以臣畜天下。"↵↵[91.2]	思想
006_秦始皇本纪	天下	天下	14836	词表匹配	天下	敢也。先帝之大臣，皆天下累世名贵人也，积功劳	思想
006_秦始皇本纪	天下	天下	14938	词表匹配	天下	有罪者诛之，上以振威天下，下以除去上生平所不	思想
006_秦始皇本纪	当死	当死	15155	词表匹配	当死	↵> "公子不臣，罪当死，吏致^法^焉。"↵	刑法
006_秦始皇本纪	大赦	大赦	16114	词表匹配	大赦	0.4] @二世@乃大赦天下，使@章邯@将，	刑法
006_秦始皇本纪	天下	天下	16116	词表匹配	天下	4] @二世@乃大赦天下，使@章邯@将，击破	思想
006_秦始皇本纪	天下	天下	16311	词表匹配	天下	：↵↵> "先帝临制天下久，故群臣不敢为非，	思想
006_秦始皇本纪	春秋	春秋	16332	词表匹配	春秋	，进邪说。今陛下富於春秋，初即位，奈何与$公	典籍
006_秦始皇本纪	朝见	朝见	16419	词表匹配	朝见	] 其后$公卿$希得朝见，盗贼益多，而=关中	礼仪
