章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
007_项羽本纪	项羽	项羽	6	词表匹配	项羽	# [0] 项羽本纪↵↵## 项羽早	人名
007_项羽本纪	本纪	本纪	8	词表匹配	本纪	# [0] 项羽本纪↵↵## 项羽早年↵	制度
007_项羽本纪	项羽	项羽	15	词表匹配	项羽	 项羽本纪↵↵## 项羽早年↵↵### 项氏	人名
007_项羽本纪	项氏	项氏	25	词表匹配	项氏	项羽早年↵↵### 项氏家世↵↵[1.1] 	人名
007_项羽本纪	项羽	项籍	165	词表匹配	项籍	&。↵↵### 少年项籍↵↵[3.1] @项	人名
007_项羽本纪	万人	万人	243	词表匹配	万人	*一人敌，不足学，学万人敌。"↵↵[3.3]	时间
007_项羽本纪	兵法	兵法	267	词表匹配	兵法	是@项梁@乃教@籍@兵法，@籍@大喜，略知其	制度
007_项羽本纪	士大夫	士大夫	380	词表匹配	士大夫	4.3] =吴中=贤士大夫皆出@项梁@下。每=	官职
007_项羽本纪	兵法	兵法	414	词表匹配	兵法	项梁@常为主办，阴以兵法部勒宾客及子弟，以是	制度
007_项羽本纪	会稽守	会稽守	599	词表匹配	会稽守	兵反秦↵↵### 斩会稽守↵↵[7.1] &秦	官职
007_项羽本纪	数十百	数十百	952	词表匹配	数十百	，扰乱，@籍@所击杀数十百人。一府中皆慴伏，莫	时间
007_项羽本纪	千人	千人	1023	词表匹配	千人	使人收下县，得精兵八千人。↵↵[11.1] 	时间
007_项羽本纪	公主	公主	1099	词表匹配	公主	↵↵> "前时某丧使公主某事，不能办，以此不	人名
007_项羽本纪	项梁	项梁	1168	词表匹配	项梁	徇下县。↵↵### 项梁渡江↵↵[13.1]	人名
007_项羽本纪	千人	千人	1307	词表匹配	千人	1] @项梁@乃以八千人渡=江=而西。↵↵[	时间
007_项羽本纪	项梁	项梁	1351	词表匹配	项梁	连和俱西。↵↵## 项梁扩军↵↵### 陈婴	人名
007_项羽本纪	陈婴	陈婴	1361	词表匹配	陈婴	项梁扩军↵↵### 陈婴归附↵↵[15.1]	人名
007_项羽本纪	令史	令史	1385	词表匹配	令史	陈婴@者，故=东阳=令史，居县中，素信谨，称	官职
