章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
007_项羽本纪	社稷	社稷	4436	词表匹配	社稷	不恤士卒而徇其私，非社稷之臣。"↵↵[38.	礼仪
007_项羽本纪	天下	天下	8676	词表匹配	天下	能举，刑人如恐不胜，天下皆叛之。"↵↵[78	思想
007_项羽本纪	天下	天下	9581	词表匹配	天下	不足与谋。夺@项王@天下者，必@沛公@也，吾	思想
007_项羽本纪	富贵	富贵	9785	词表匹配	富贵	东归，曰：↵↵> "富贵不归故乡，如衣绣夜行	思想
007_项羽本纪	天下	天下	9963	词表匹配	天下	相。谓曰：↵↵> "天下初发难时，假立诸侯後	思想
007_项羽本纪	天下	天下	10004	词表匹配	天下	%三年%，灭&秦&定天下者，皆$将$相诸君与	思想
007_项羽本纪	天下	天下	10083	词表匹配	天下	↵[92.1] 乃分天下，立诸$将$为侯王。	思想
007_项羽本纪	天下	天下	10120	词表匹配	天下	范增@疑@沛公@之有天下，业已讲解，又恶负约	思想
007_项羽本纪	天下	天下	11783	词表匹配	天下	↵↵> "@项羽@为天下宰，不平。今尽王故王	思想
007_项羽本纪	王道	王道	13005	词表匹配	王道	121.1] &汉&王道逢得@孝惠@、@鲁元	思想
007_项羽本纪	天下	天下	13854	词表匹配	天下	大怒，曰：↵↵> "天下事大定矣，君王自为之	思想
007_项羽本纪	天下	天下	15117	词表匹配	天下	项伯@曰：↵↵> "天下事未可知，且为天下者	思想
007_项羽本纪	天下	天下	15126	词表匹配	天下	"天下事未可知，且为天下者不顾家，虽杀之无益	思想
007_项羽本纪	天下	天下	15234	词表匹配	天下	汉&王曰：↵↵> "天下匈匈数岁者，徒以吾两	思想
007_项羽本纪	天下	天下	15264	词表匹配	天下	王挑战决雌雄，毋徒苦天下之民父子为也。"↵↵	思想
007_项羽本纪	天下	天下	16519	词表匹配	天下	@乃与&汉&约，中分天下，割=鸿沟=以西者为	思想
007_项羽本纪	天下	天下	16622	词表匹配	天下	见。曰：↵↵> "此天下辩士，所居倾国，故号	思想
007_项羽本纪	天下	天下	16724	词表匹配	天下	：↵↵> "&汉&有天下太半，而诸侯皆附之。	思想
007_项羽本纪	天下	天下	17020	词表匹配	天下	至固宜。君王能与共分天下，今可立致也。即不能	思想
007_项羽本纪	天下	天下	17930	词表匹配	天下	服，未尝败北，遂霸有天下。"↵↵[173.2	思想
007_项羽本纪	天下	天下	19076	词表匹配	天下	5.2] &汉&乃引天下兵欲屠之，为其守^礼	思想
007_项羽本纪	天下	天下	19454	词表匹配	天下	五诸侯灭&秦&，分裂天下，而封王侯，政由@羽	思想
007_项羽本纪	天下	天下	19563	词表匹配	天下	$之业，欲以力征经营天下，%五年%卒亡其国，	思想
