章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
008_高祖本纪	汉高祖	高祖	6	词表匹配	高祖	# [0] 高祖本纪↵↵## 刘邦早	人名
008_高祖本纪	本纪	本纪	8	词表匹配	本纪	# [0] 高祖本纪↵↵## 刘邦早年↵	制度
008_高祖本纪	任泗水亭长	任泗水亭长	251	词表匹配	任泗水亭长	产作业。↵↵### 任泗水亭长↵↵[3.1] 及壮	event
008_高祖本纪	娶吕后	娶吕后	449	词表匹配	娶吕后	此也！"↵↵### 娶吕后↵↵[5.1] =单	event
008_高祖本纪	大夫	大夫	534	词表匹配	大夫	@为主吏，主进，令诸大夫曰：↵↵> "进不满	官职
008_高祖本纪	贵人	贵人	853	词表匹配	贵人	"公始常欲奇此女，与贵人。=沛=令善公，求之	官职
008_高祖本纪	夫人	夫人	1062	词表匹配	夫人	吕后@曰：↵↵> "夫人天下贵人。"↵↵[6	人名
008_高祖本纪	贵人	贵人	1066	词表匹配	贵人	：↵↵> "夫人天下贵人。"↵↵[6.4] 	官职
008_高祖本纪	夫人	夫人	1096	词表匹配	夫人	惠$，曰：↵↵> "夫人所以贵者，乃此男也。	人名
008_高祖本纪	有过	有过	1157	词表匹配	有过	舍来，@吕后@具言客有过，相我子母皆大贵。↵	朝代
008_高祖本纪	夫人	夫人	1228	词表匹配	夫人	父曰：↵↵> "乡者夫人婴兒皆似君，君相贵不	人名
008_高祖本纪	刘氏	刘氏	1306	词表匹配	刘氏	老父处。↵↵### 刘氏冠↵↵[7] $高祖	人名
008_高祖本纪	斩蛇起义	斩蛇起义	1376	词表匹配	斩蛇起义	"乃是也。↵↵## 斩蛇起义↵↵### 斩蛇起义	event
008_高祖本纪	斩蛇起义	斩蛇起义	1386	词表匹配	斩蛇起义	斩蛇起义↵↵### 斩蛇起义↵↵[8.1] $高	event
008_高祖本纪	十馀人	十馀人	1491	词表匹配	十馀人	3] 徒中壮士原从者十馀人。↵↵[8.4] $	时间
008_高祖本纪	隐匿芒砀	隐匿芒砀	1850	词表匹配	隐匿芒砀	益畏之。↵↵### 隐匿芒砀↵↵[9.1] &秦	event
008_高祖本纪	天子	天子	1878	词表匹配	天子	帝$常曰"=东南=有天子气"，於是因东游以厌	官职
008_高祖本纪	云气	云气	1991	词表匹配	云气	 "@季@所居上常有云气，故从往常得@季@。	天文
008_高祖本纪	中子	中子	2030	词表匹配	中子	↵[9.7] =沛=中子弟或闻之，多欲附者矣	官职
008_高祖本纪	陈胜起义	陈胜起义	2058	词表匹配	陈胜起义	起兵反秦↵↵### 陈胜起义↵↵[10.1] &	event
008_高祖本纪	长吏	长吏	2124	词表匹配	长吏	2] 诸郡县皆多杀其长吏以应@陈涉@。↵↵[	官职
008_高祖本纪	数百人	数百人	2224	词表匹配	数百人	君召诸亡在外者，可得数百人，因劫众，众不敢不听	时间
008_高祖本纪	数十百	数十百	2276	词表匹配	数十百	6] @刘季@之众已数十百人矣。↵↵### 起	时间
008_高祖本纪	起兵沛县	起兵沛县	2288	词表匹配	起兵沛县	百人矣。↵↵### 起兵沛县↵↵[11.1] 於	event
008_高祖本纪	城门	城门	2506	词表匹配	城门	子弟共杀=沛=令，开城门迎@刘季@，欲以为=	器物
008_高祖本纪	卜筮	卜筮	2675	词表匹配	卜筮	季@诸珍怪，当贵，且卜筮之，莫如@刘季@最吉	制度
008_高祖本纪	三千人	三千人	2834	词表匹配	三千人	等皆为收=沛=子弟二三千人，攻=胡陵=、=方与	时间
008_高祖本纪	二日	二日	2987	词表匹配	二日	@平@将兵围=丰=，二日，出与战，破之。↵↵	时间
008_高祖本纪	数十城	数十城	3174	词表匹配	数十城	也。今&魏&地已定者数十城。@齿@今下&魏&，	时间
008_高祖本纪	别将	别将	3396	词表匹配	别将	将@章邯@从=陈=，别将$司马枿$将兵北定&	人名
008_高祖本纪	三日	三日	3484	词表匹配	三日	留=，引兵攻=砀=，三日乃取=砀=。↵↵[1	时间
008_高祖本纪	千人	千人	3512	词表匹配	千人	因收=砀=兵，得五六千人。↵↵[12.18]	时间
008_高祖本纪	百馀	百馀	3562	词表匹配	百馀	项梁@在=薛=，从骑百馀往见之。↵↵[12.	时间
008_高祖本纪	五千人	五千人	3588	词表匹配	五千人	@项梁@益$沛公$卒五千人，五$大夫$将十人。	时间
008_高祖本纪	十人	十人	3598	词表匹配	十人	五千人，五$大夫$将十人。↵↵[12.21]	时间
008_高祖本纪	项梁	项梁	3630	词表匹配	项梁	=丰=。↵↵## 随项梁征战↵↵### 随项	人名
008_高祖本纪	项梁	项梁	3641	词表匹配	项梁	梁征战↵↵### 随项梁征战↵↵[13.1]	人名
008_高祖本纪	月馀	月馀	3659	词表匹配	月馀	3.1] 从@项梁@月馀，@项羽@已拔=襄城	时间
008_高祖本纪	别将	别将	3689	词表匹配	别将	.2] @项梁@尽召别将居=薛=。↵↵[13	人名
008_高祖本纪	数月	数月	3769	词表匹配	数月	↵↵[13.5] 居数月，北攻=亢父=，救=	时间
008_高祖本纪	怀王遣将入关	怀王遣将入关	4249	词表匹配	怀王遣将入关	=之军也。↵↵## 怀王遣将入关↵↵### 怀王遣将	event
008_高祖本纪	怀王遣将入关	怀王遣将入关	4261	词表匹配	怀王遣将入关	遣将入关↵↵### 怀王遣将入关↵↵[17.1] &	event
008_高祖本纪	二军	二军	4831	词表匹配	二军	里=&秦&军夹壁，破二军。↵↵[19.6] 	制度
008_高祖本纪	千馀人	千馀人	4946	词表匹配	千馀人	武侯$，夺其军，可四千馀人，并之。↵↵[20.	时间
008_高祖本纪	大人	大人	5050	词表匹配	大人	此者多，吾视$沛公$大人长者。"↵↵[20.	官职
008_高祖本纪	南阳	南阳	5377	词表匹配	南阳	=轘辕=。↵↵## 南阳之战↵↵### 南阳	地名
008_高祖本纪	南阳	南阳	5387	词表匹配	南阳	南阳之战↵↵### 南阳之战↵↵[21.1]	地名
008_高祖本纪	别将	别将	5407	词表匹配	别将	1] 当是时，&赵&别将$司马卬$方欲渡河入	人名
008_高祖本纪	河津	河津	5434	词表匹配	河津	$乃北攻=平阴=，绝河津。↵↵[21.2] 	地名
008_高祖本纪	舍人	舍人	5681	词表匹配	舍人	↵↵[21.8] 其舍人@陈恢@曰：↵↵> 	人名
008_高祖本纪	数十	数十	5762	词表匹配	数十	=，大郡之都也，连城数十，人民众，积蓄多，吏	时间
008_高祖本纪	千户	千户	5943	词表匹配	千户	$殷侯$，封@陈恢@千户。↵↵[21.12]	时间
008_高祖本纪	别将	别将	6026	词表匹配	别将	=胡阳=，遇$番君$别将@梅鋗@，与皆，降=	人名
008_高祖本纪	武关	武关	6110	词表匹配	武关	赵&矣。↵↵## 破武关入咸阳↵↵### 破	地名
008_高祖本纪	东郭咸阳	咸阳	6113	词表匹配	咸阳	。↵↵## 破武关入咸阳↵↵### 破武关入	人名
008_高祖本纪	武关	武关	6122	词表匹配	武关	入咸阳↵↵### 破武关入咸阳↵↵[22.1	地名
008_高祖本纪	东郭咸阳	咸阳	6125	词表匹配	咸阳	↵↵### 破武关入咸阳↵↵[22.1] 初	人名
008_高祖本纪	约法三章	约法三章	6607	词表匹配	约法三章	霸上=。↵↵### 约法三章↵↵[23.7] 召	event
008_高祖本纪	诽谤	诽谤	6647	词表匹配	诽谤	&秦&^苛法^久矣，诽谤者族，偶语者弃巿。吾	制度
008_高祖本纪	鸿门之会	鸿门之会	6895	词表匹配	鸿门之会	&秦&王。↵↵## 鸿门之会↵↵### 项羽西来	event
008_高祖本纪	项羽	项羽	6905	词表匹配	项羽	鸿门之会↵↵### 项羽西来↵↵[24.1]	人名
008_高祖本纪	兵守	兵守	6991	词表匹配	兵守	$恐不得有此。可急使兵守=函谷关=，无内诸侯	官职
008_高祖本纪	项伯	项伯	7328	词表匹配	项伯	力不敌。↵↵### 项伯救张良↵↵[24.1	人名
008_高祖本纪	张良	张良	7331	词表匹配	张良	。↵↵### 项伯救张良↵↵[24.12] 	人名
008_高祖本纪	百馀	百馀	7393	词表匹配	百馀	.13] $沛公$从百馀骑，驱之=鸿门=，见	时间
008_高祖本纪	项羽屠咸阳	项羽屠咸阳	7518	词表匹配	项羽屠咸阳	无伤@。↵↵### 项羽屠咸阳↵↵[25.1] @	event
008_高祖本纪	宫室	宫室	7548	词表匹配	宫室	，屠烧=咸阳=&秦&宫室，所过无不残破。↵↵	制度
008_高祖本纪	项羽	项羽	7589	词表匹配	项羽	敢不服耳。↵↵## 项羽分封与入汉中↵↵##	人名
008_高祖本纪	分封	分封	7591	词表匹配	分封	服耳。↵↵## 项羽分封与入汉中↵↵### 	制度
008_高祖本纪	汉中	汉中	7595	词表匹配	汉中	↵## 项羽分封与入汉中↵↵### 项羽分封	地名
008_高祖本纪	项羽	项羽	7603	词表匹配	项羽	与入汉中↵↵### 项羽分封↵↵[26.1]	人名
008_高祖本纪	分封	分封	7605	词表匹配	分封	汉中↵↵### 项羽分封↵↵[26.1] @	制度
008_高祖本纪	十万户	十万户	8278	词表匹配	十万户	.15] 封@梅鋗@十万户。↵↵### 入汉中	时间
008_高祖本纪	汉中	汉中	8289	词表匹配	汉中	万户。↵↵### 入汉中↵↵[28.1] %	地名
008_高祖本纪	三万人	三万人	8340	词表匹配	三万人	$之国，@项王@使卒三万人从，&楚&与诸侯之慕	时间
008_高祖本纪	数万人	数万人	8355	词表匹配	数万人	&楚&与诸侯之慕从者数万人，从=杜=南入=蚀中	时间
008_高祖本纪	军吏	军吏	8490	词表匹配	军吏	居=南郑=，是迁也。军吏士卒皆=山东=之人也	官职
