章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
011_孝景本纪	孝景	孝景	6	词表匹配	孝景	# [0] 孝景本纪↵↵## 即位↵	人名
011_孝景本纪	本纪	本纪	8	词表匹配	本纪	# [0] 孝景本纪↵↵## 即位↵↵#	制度
011_孝景本纪	孝景	孝景	23	词表匹配	孝景	# 即位↵↵### 孝景身世↵↵[1.1] 	人名
011_孝景本纪	中子	中子	48	词表匹配	中子	皇帝@者，$孝文$之中子也。母@窦太后@。↵	官职
011_孝景本纪	元年	元年	115	词表匹配	元年	景@得立。↵↵## 元年至三年↵↵### 元	官职
011_孝景本纪	三年	三年	118	词表匹配	三年	立。↵↵## 元年至三年↵↵### 元年↵↵	时间
011_孝景本纪	元年	元年	126	词表匹配	元年	年至三年↵↵### 元年↵↵[2.1] %元	官职
011_孝景本纪	和亲	和亲	218	词表匹配	和亲	匈奴~入&代&，与约和亲。↵↵### 二年↵	制度
011_孝景本纪	二年	二年	227	词表匹配	二年	约和亲。↵↵### 二年↵↵[3.1] %二	时间
011_孝景本纪	丞相	丞相	377	词表匹配	丞相	=开封=$陶青@为$丞相$。↵↵[3.7] 	官职
011_孝景本纪	东北	东北	394	词表匹配	东北	3.7] !彗星!出东北。↵↵[4.1] %	地名
011_孝景本纪	三年	三年	521	词表匹配	三年	=为县。↵↵### 三年↵↵[5.1] %三	时间
011_孝景本纪	西方	西方	557	词表匹配	西方	5.2] !长星!出西方。↵↵[5.3] 天	地名
011_孝景本纪	东宫	东宫	575	词表匹配	东宫	3] 天火燔=雒阳=东宫大殿城室。↵↵## 	地名
011_孝景本纪	七国之乱	七国之乱	587	词表匹配	七国之乱	大殿城室。↵↵## 七国之乱↵↵### 七王反叛	event
011_孝景本纪	天子	天子	685	词表匹配	天子	乡。↵↵[6.2] 天子为诛@晁错@，遣@袁	官职
011_孝景本纪	皇子	皇子	851	词表匹配	皇子	。↵↵[8.1] 立皇子@端@为$胶西王$，	官职
011_孝景本纪	四年	四年	959	词表匹配	四年	嘉@皆薨。↵↵## 四年至六年↵↵### 四	时间
011_孝景本纪	六年	六年	962	词表匹配	六年	薨。↵↵## 四年至六年↵↵### 四年↵↵	时间
011_孝景本纪	四年	四年	970	词表匹配	四年	年至六年↵↵### 四年↵↵[9.1] %四	时间
011_孝景本纪	皇子	皇子	1001	词表匹配	皇子	。↵↵[9.2] 立皇子@彻@为$胶东王$。	官职
011_孝景本纪	五年	五年	1109	词表匹配	五年	郸郡=。↵↵### 五年↵↵[10.1] %	时间
011_孝景本纪	西方	西方	1182	词表匹配	西方	] =江都=大暴风从西方来，坏城%十二丈%。	地名
011_孝景本纪	六年	六年	1252	词表匹配	六年	赵王$。↵↵### 六年↵↵[11.1] %	时间
011_孝景本纪	七年	七年	1408	词表匹配	七年	=兰池=。↵↵## 七年↵↵### 废太子↵	时间
011_孝景本纪	元年	元年	1622	词表匹配	元年	@彻@。↵↵## 中元年至中三年↵↵### 	官职
011_孝景本纪	三年	三年	1626	词表匹配	三年	↵↵## 中元年至中三年↵↵### 中元年↵	时间
011_孝景本纪	元年	元年	1635	词表匹配	元年	中三年↵↵### 中元年↵↵[14.1] 封	官职
011_孝景本纪	二年	二年	1758	词表匹配	二年	寸%。↵↵### 中二年↵↵[15.1] %	时间
011_孝景本纪	和亲	和亲	1788	词表匹配	和亲	匈奴~入&燕&，遂不和亲。↵↵[15.2] 	制度
011_孝景本纪	皇子	皇子	1836	词表匹配	皇子	5.3] %夏%，立皇子@越@为$广川王$，	官职
011_孝景本纪	三年	三年	1891	词表匹配	三年	食!。↵↵### 中三年↵↵[16.1] %	时间
