章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
011_孝景本纪	天下	天下	146	词表匹配	天下	%元年四月乙卯%，赦天下。%乙巳%，赐民爵一	思想
011_孝景本纪	天下	天下	541	词表匹配	天下	%三年正月乙巳%，赦天下。↵↵[5.2] !	思想
011_孝景本纪	天下	天下	1029	词表匹配	天下	] %六月甲戌%，赦天下。↵↵[9.4] 後	思想
011_孝景本纪	天下	天下	1705	词表匹配	天下	] %四月乙巳%，赦天下，赐爵一级。除^禁锢	思想
011_孝景本纪	赐爵	赐爵	1708	词表匹配	赐爵	四月乙巳%，赦天下，赐爵一级。除^禁锢^。↵	礼仪
011_孝景本纪	天下	天下	2226	词表匹配	天下	] %六月丁巳%，赦天下，赐爵一级。↵↵[1	思想
011_孝景本纪	赐爵	赐爵	2229	词表匹配	赐爵	六月丁巳%，赦天下，赐爵一级。↵↵[18.3	礼仪
011_孝景本纪	天下	天下	2243	词表匹配	天下	。↵↵[18.3] 天下大潦。↵↵[18.4	思想
011_孝景本纪	天下	天下	2737	词表匹配	天下	] %三月丁酉%，赦天下，赐爵一级，$中二千	思想
011_孝景本纪	赐爵	赐爵	2740	词表匹配	赐爵	三月丁酉%，赦天下，赐爵一级，$中二千石$、	礼仪
011_孝景本纪	没入	没入	2995	词表匹配	没入	不得食〘马〙*粟*，没入县官。↵↵[23.4	刑法
011_孝景本纪	天下	天下	3039	词表匹配	天下	.1] 为岁不登，禁天下食不造岁。↵↵[24	思想
011_孝景本纪	天下	天下	3333	词表匹配	天下	下至民为父後爵一级，天下户百钱。↵↵[27.	思想
011_孝景本纪	天下	天下	3486	词表匹配	天下	兴，$孝文$施大德，天下怀安，至@孝景@，不	思想
011_孝景本纪	下狱	下狱	3716	词表匹配	下狱	↵如何$太尉$，後卒下狱。↵惜哉明君，斯功不	刑法
011_孝景本纪	明君	明君	3722	词表匹配	明君	$，後卒下狱。↵惜哉明君，斯功不录！↵	思想
