章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
012_孝武本纪	天下	天下	229	词表匹配	天下	汉&兴已六十馀岁矣，天下乂安，荐绅之属皆望$	思想
012_孝武本纪	黄老	黄老	346	词表匹配	黄老	4] 会@窦太后@治黄老言，不好儒术，使人微	思想
012_孝武本纪	祭祀	祭祀	448	词表匹配	祭祀	等。↵↵## 求仙与祭祀↵↵### 神君与五	礼仪
012_孝武本纪	郊祀	郊祀	1825	词表匹配	郊祀	：↵↵> "陛下肃祗郊祀，上帝报享，锡一角兽	礼仪
012_孝武本纪	天地	天地	1889	词表匹配	天地	侯白金，以风符应合于天地。↵↵### 五岳在	思想
012_孝武本纪	五岳	五岳	1898	词表匹配	五岳	于天地。↵↵### 五岳在郡↵↵[12.1]	礼仪
012_孝武本纪	大赦	大赦	2655	词表匹配	大赦	。↵↵[15.7] 大赦天下，置*=寿宫=*	刑法
012_孝武本纪	天下	天下	2657	词表匹配	天下	↵[15.7] 大赦天下，置*=寿宫=*神君	思想
012_孝武本纪	封禅	封禅	3041	词表匹配	封禅	元狩%云。↵↵## 封禅与巡幸↵↵### 立	礼仪
012_孝武本纪	天地	天地	3141	词表匹配	天地	舒$等议：↵↵> "天地牲角茧栗。今陛下亲祀	思想
012_孝武本纪	天下	天下	4110	词表匹配	天下	皋陆，隄繇不息。朕临天下%二十有八年%，天若	思想
012_孝武本纪	天道	天道	4409	词表匹配	天道	19.11] 而佩"天道"者，且为$天子$道	思想
012_孝武本纪	天下	天下	4527	词表匹配	天下	见数月，佩六印，贵振天下，而=海=上=燕==	思想
012_孝武本纪	天地	天地	4906	词表匹配	天地	*鼎*一，一者一统，天地万物所系终也。〚黄帝	思想
012_孝武本纪	天地	天地	4927	词表匹配	天地	帝〛作宝*鼎*三，象天地人也。〚禹〛收^九牧	思想
012_孝武本纪	封禅	封禅	5219	词表匹配	封禅	↵↵### 公孙卿说封禅↵↵[22.1] 其	礼仪
012_孝武本纪	天下	天下	5812	词表匹配	天下	，而神灵之封居七千。天下名山八，而三在蛮夷，	思想
012_孝武本纪	郊祀	郊祀	6536	词表匹配	郊祀	赤，月白。↵↵## 郊祀泰一↵↵### 始郊	礼仪
012_孝武本纪	封禅	封禅	7277	词表匹配	封禅	幸矣。↵↵## 北巡封禅↵↵### 灭南越兴	礼仪
012_孝武本纪	乐舞	乐舞	7289	词表匹配	乐舞	↵↵### 灭南越兴乐舞↵↵[27.1] 其	礼仪
012_孝武本纪	天地	天地	7392	词表匹配	天地	曰：↵↵> "古者祀天地皆有乐，而神祇可得而	思想
012_孝武本纪	乐舞	乐舞	7492	词表匹配	乐舞	〚泰一〛、后土，始用乐舞，益召歌兒，作*二十	礼仪
012_孝武本纪	封禅	封禅	7717	词表匹配	封禅	泰一〛。↵↵### 封禅仪礼之争↵↵[29.	礼仪
012_孝武本纪	仪礼	仪礼	7719	词表匹配	仪礼	〛。↵↵### 封禅仪礼之争↵↵[29.1]	典籍
012_孝武本纪	仪礼	仪礼	7772	词表匹配	仪礼	禅^用希旷绝，莫知其仪礼，而群儒采^封禅^^	典籍
012_孝武本纪	封禅	封禅	8546	词表匹配	封禅	以千数。↵↵### 封禅礼↵↵[32.1] 	礼仪
012_孝武本纪	封禅	封禅	8992	词表匹配	封禅	云起封中。↵↵## 封禅后巡行↵↵### 封	礼仪
012_孝武本纪	封禅	封禅	9003	词表匹配	封禅	禅后巡行↵↵### 封禅后诏令↵↵[33.1	礼仪
012_孝武本纪	礼乐	礼乐	9088	词表匹配	礼乐	任。维德菲薄，不明于礼乐。脩祀〚泰一〛，若有	礼仪
012_孝武本纪	天下	天下	9205	词表匹配	天下	，毋出今年租税。其赦天下，如%乙卯%赦令。行	思想
012_孝武本纪	赦令	赦令	9213	词表匹配	赦令	其赦天下，如%乙卯%赦令。行所过毋有复作。事	刑法
012_孝武本纪	封禅	封禅	9305	词表匹配	封禅	=下。"↵↵### 封禅后东至海上↵↵[34	礼仪
012_孝武本纪	大人	大人	9834	词表匹配	大人	留之数日，毋所见，见大人迹。↵↵[37.4]	典籍
012_孝武本纪	天下	天下	10378	词表匹配	天下	甘泉=防生芝九茎，赦天下，毋有复作。"↵↵#	思想
012_孝武本纪	天下	天下	10498	词表匹配	天下	天旱，意乾封乎？其令天下尊祠!灵星!焉。"↵	思想
012_孝武本纪	明堂	明堂	10517	词表匹配	明堂	。"↵↵## 巡祭与明堂↵↵### 巡南郡登	礼仪
012_孝武本纪	明堂	明堂	10732	词表匹配	明堂	脩封焉。↵↵### 明堂图与修封↵↵[43.	礼仪
012_孝武本纪	大人	大人	12873	词表匹配	大人	孙卿@之候神者，犹以大人迹为解，无其效。↵↵	典籍
012_孝武本纪	祭天	祭天	12979	词表匹配	祭天	$太史公$曰：余从巡祭天地诸神名山川而^封禅	礼仪
012_孝武本纪	君子	君子	13060	词表匹配	君子	↵[53.3] 後有君子，得以览焉。↵↵[5	思想
012_孝武本纪	封禅	封禅	13135	词表匹配	封禅	赞语，评价汉武帝求仙封禅之事↵[54] $孝	礼仪
