章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
014_十二诸侯年表	司马迁	太史公	17	词表匹配	太史公	二诸侯年表↵↵## 太史公读史↵↵[1.1] 	人名
014_十二诸侯年表	仁义	仁义	145	词表匹配	仁义	作。↵↵[1.5] 仁义陵迟，*鹿鸣*刺焉。	制度
014_十二诸侯年表	天子	天子	238	词表匹配	天子	政，彊乘弱，兴师不请天子。↵↵[2.3] 然	官职
014_十二诸侯年表	盟主	盟主	261	词表匹配	盟主	王室之义，以讨伐为会盟主，政由五伯，诸侯恣行	官职
014_十二诸侯年表	五伯	五伯	266	词表匹配	五伯	以讨伐为会盟主，政由五伯，诸侯恣行，淫侈不轨	制度
014_十二诸侯年表	明王	明王	417	词表匹配	明王	.1] 是以@孔子@明王道，干%七十馀君%，	官职
014_十二诸侯年表	史记	史记	442	词表匹配	史记	，故西观&周&室，论史记旧闻，兴於&鲁&而次	制度
014_十二诸侯年表	王道	王道	489	词表匹配	王道	去其烦重，以制义法，王道备，人事浃。↵↵[4	制度
014_十二诸侯年表	史记	史记	578	词表匹配	史记	失其真，故因@孔子@史记具论其语，成*左氏春	制度
014_十二诸侯年表	六国	六国	739	词表匹配	六国	古，删拾*春秋*，集六国时事，以为*八览*、	制度
014_十二诸侯年表	司马迁	太史公	875	词表匹配	太史公	颇著文焉。↵↵## 太史公曰↵↵[6.1] $	人名
014_十二诸侯年表	儒者	儒者	894	词表匹配	儒者	1] $太史公$曰：儒者断其义，驰说者骋其辞	制度
014_十二诸侯年表	庚申	庚申	1225	词表匹配	庚申	] 841  |  庚申  |  共和元年厉	时间
014_十二诸侯年表	共和	共和	1232	词表匹配	共和	|  庚申  |  共和元年厉王子居召公宫，	地名
014_十二诸侯年表	元年	元年	1234	词表匹配	元年	 庚申  |  共和元年厉王子居召公宫，是为	官职
014_十二诸侯年表	周厉王	厉王	1236	词表匹配	厉王	申  |  共和元年厉王子居召公宫，是为宣王	人名
014_十二诸侯年表	召公奭	召公	1240	词表匹配	召公	  共和元年厉王子居召公宫，是为宣王。王少，	人名
014_十二诸侯年表	周宣王	宣王	1246	词表匹配	宣王	厉王子居召公宫，是为宣王。王少，大臣共和行政	人名
014_十二诸侯年表	共和行政	共和行政	1254	词表匹配	共和行政	是为宣王。王少，大臣共和行政。  |  真公濞十	event
014_十二诸侯年表	真公	真公	1264	词表匹配	真公	共和行政。  |  真公濞十五年，一云十四年	人名
014_十二诸侯年表	十五年	十五年	1267	词表匹配	十五年	政。  |  真公濞十五年，一云十四年  | 	时间
014_十二诸侯年表	十四年	十四年	1273	词表匹配	十四年	 真公濞十五年，一云十四年  |  武公寿十年	时间
014_十二诸侯年表	武公寿	武公寿	1281	词表匹配	武公寿	一云十四年  |  武公寿十年  |  靖侯宜	人名
014_十二诸侯年表	十年	十年	1284	词表匹配	十年	四年  |  武公寿十年  |  靖侯宜臼十	时间
014_十二诸侯年表	靖侯	靖侯	1291	词表匹配	靖侯	武公寿十年  |  靖侯宜臼十八年  |  	人名
014_十二诸侯年表	宜臼	宜臼	1293	词表匹配	宜臼	寿十年  |  靖侯宜臼十八年  |  秦仲	人名
014_十二诸侯年表	十八年	十八年	1295	词表匹配	十八年	年  |  靖侯宜臼十八年  |  秦仲四年 	时间
014_十二诸侯年表	秦仲	秦仲	1303	词表匹配	秦仲	宜臼十八年  |  秦仲四年  |  熊勇七	人名
014_十二诸侯年表	四年	四年	1305	词表匹配	四年	十八年  |  秦仲四年  |  熊勇七年 	时间
014_十二诸侯年表	熊勇	熊勇	1312	词表匹配	熊勇	 秦仲四年  |  熊勇七年  |  厘公十	人名
014_十二诸侯年表	七年	七年	1314	词表匹配	七年	仲四年  |  熊勇七年  |  厘公十八年	时间
014_十二诸侯年表	十八年	十八年	1323	词表匹配	十八年	勇七年  |  厘公十八年  |  厘侯十四年	时间
014_十二诸侯年表	十四年	十四年	1333	词表匹配	十四年	十八年  |  厘侯十四年  |  幽公宁十四	时间
014_十二诸侯年表	幽公宁	幽公宁	1341	词表匹配	幽公宁	厘侯十四年  |  幽公宁十四年  |  武侯	人名
014_十二诸侯年表	十四年	十四年	1344	词表匹配	十四年	四年  |  幽公宁十四年  |  武侯二十三	时间
014_十二诸侯年表	蔡武侯	武侯	1352	词表匹配	武侯	公宁十四年  |  武侯二十三年  |  夷	人名
014_十二诸侯年表	二十三年	二十三年	1354	词表匹配	二十三年	十四年  |  武侯二十三年  |  夷伯二十四	时间
014_十二诸侯年表	夷伯	夷伯	1363	词表匹配	夷伯	侯二十三年  |  夷伯二十四年  |   	人名
014_十二诸侯年表	二十四年	二十四年	1365	词表匹配	二十四年	十三年  |  夷伯二十四年  |    |  	时间
014_十二诸侯年表	燕惠侯	惠侯	1379	词表匹配	惠侯	  |    |  惠侯二十四年  |   	人名
014_十二诸侯年表	二十四年	二十四年	1381	词表匹配	二十四年	|    |  惠侯二十四年  |    |↵|	时间
014_十二诸侯年表	司徒	司徒	1438	词表匹配	司徒	十一  |  晋厘侯司徒元年  |  五  	人名
014_十二诸侯年表	元年	元年	1440	词表匹配	元年	  |  晋厘侯司徒元年  |  五  | 	官职
