章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
014_十二诸侯年表	仁义	仁义	145	词表匹配	仁义	作。↵↵[1.5] 仁义陵迟，*鹿鸣*刺焉。	思想
014_十二诸侯年表	会盟	会盟	260	词表匹配	会盟	挟王室之义，以讨伐为会盟主，政由五伯，诸侯恣	礼仪
014_十二诸侯年表	王道	王道	418	词表匹配	王道	1] 是以@孔子@明王道，干%七十馀君%，莫	思想
014_十二诸侯年表	王道	王道	489	词表匹配	王道	去其烦重，以制义法，王道备，人事浃。↵↵[4	思想
014_十二诸侯年表	君子	君子	548	词表匹配	君子	↵[4.3] &鲁&君子@左丘明@惧弟子人人	思想
014_十二诸侯年表	君子	君子	5888	词表匹配	君子	仇弟成师。二子名反，君子讥之。后乱。  | 	思想
014_十二诸侯年表	君子	君子	12892	词表匹配	君子	于曲沃，曲沃大于国，君子讥曰：「晋人乱自曲沃	思想
014_十二诸侯年表	君子	君子	16371	词表匹配	君子	|  五公观鱼于棠，君子讥之。  |  十三	思想
014_十二诸侯年表	君子	君子	16810	词表匹配	君子	  |  八易许田，君子讥之。  |  十六	思想
014_十二诸侯年表	太庙	太庙	17485	词表匹配	太庙	  二宋赂以鼎，入于太庙，君子讥之。  | 	礼仪
014_十二诸侯年表	君子	君子	17488	词表匹配	君子	宋赂以鼎，入于太庙，君子讥之。  |  二十	思想
014_十二诸侯年表	君子	君子	17653	词表匹配	君子	三翚迎女，齐侯送女，君子讥之。  |  二十	思想
014_十二诸侯年表	人心	人心	20264	词表匹配	人心	 五十一王伐，随告夫人心动，王卒军中。  |	思想
014_十二诸侯年表	君子	君子	24320	词表匹配	君子	 十七申生$将军$，君子知其废。  |  四	思想
014_十二诸侯年表	君子	君子	30279	词表匹配	君子	人，从死者百七十人，君子讥之，故不言卒。  	思想
014_十二诸侯年表	民心	民心	31712	词表匹配	民心	十六  |  二不得民心。  |  十  |	思想
014_十二诸侯年表	晏子	晏子	41068	词表匹配	晏子	 |  五畏晋通楚，晏子谋。  |  九  	典籍
014_十二诸侯年表	晏子	晏子	45336	词表匹配	晏子	 |  二十齐景公与晏子狩，入鲁问礼。  |	典籍
014_十二诸侯年表	晏子	晏子	46268	词表匹配	晏子	|  三十二彗星见。晏子曰：「田氏有德于齐，	典籍
014_十二诸侯年表	君子	君子	48970	词表匹配	君子	 |  三国人有梦众君子立社宫，谋亡曹，振铎	思想
