章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
017_汉兴以来诸侯王年表	司马迁	太史公	20	词表匹配	太史公	诸侯王年表↵↵## 太史公曰↵↵### 古代封	人名
017_汉兴以来诸侯王年表	封建	封建	32	词表匹配	封建	公曰↵↵### 古代封建↵↵[1.1] $太	制度
017_汉兴以来诸侯王年表	数百	数百	181	词表匹配	数百	、@成@、@康@所封数百，而同姓%五十五%，	时间
017_汉兴以来诸侯王年表	侯伯	侯伯	271	词表匹配	侯伯	$幽$之後，王室缺，侯伯彊国兴焉，天子微，弗	官职
017_汉兴以来诸侯王年表	天子	天子	278	词表匹配	天子	室缺，侯伯彊国兴焉，天子微，弗能正。非德不纯	官职
017_汉兴以来诸侯王年表	分封	分封	304	词表匹配	分封	也。↵↵### 汉初分封↵↵[2.1] &汉	制度
017_汉兴以来诸侯王年表	功臣	功臣	396	词表匹配	功臣	虽独&长沙&异姓，而功臣侯者%百有馀人%。↵	官职
017_汉兴以来诸侯王年表	天子	天子	602	词表匹配	天子	%，置百官宫观，僭於天子。↵↵[2.6] &	官职
017_汉兴以来诸侯王年表	内史	内史	663	词表匹配	内史	云中=至=陇西=，与内史凡%十五郡%，而$公	地名
017_汉兴以来诸侯王年表	天子	天子	724	词表匹配	天子	，以镇抚四海，用承卫天子也。↵↵↵## 推恩	官职
017_汉兴以来诸侯王年表	推恩	推恩	734	词表匹配	推恩	天子也。↵↵↵## 推恩削藩↵↵### 推恩	制度
017_汉兴以来诸侯王年表	推恩	推恩	744	词表匹配	推恩	推恩削藩↵↵### 推恩分封↵↵[3.1] 	制度
017_汉兴以来诸侯王年表	分封	分封	746	词表匹配	分封	削藩↵↵### 推恩分封↵↵[3.1] &汉	制度
017_汉兴以来诸侯王年表	天子	天子	819	词表匹配	天子	国。↵↵[3.2] 天子观於上古，然後加惠，	官职
017_汉兴以来诸侯王年表	推恩	推恩	835	词表匹配	推恩	，然後加惠，使诸侯得推恩分子弟国邑，故&齐&	制度
017_汉兴以来诸侯王年表	天子	天子	873	词表匹配	天子	五，&淮南&分三，及天子支庶子为王，王子支庶	官职
017_汉兴以来诸侯王年表	王子	王子	881	词表匹配	王子	，及天子支庶子为王，王子支庶为侯，%百有馀%	人名
017_汉兴以来诸侯王年表	北边	北边	931	词表匹配	北边	是以&燕&、&代&无北边郡，&吴&、&淮南&	地名
017_汉兴以来诸侯王年表	南边	南边	949	词表匹配	南边	&淮南&、&长沙&无南边郡，&齐&、&赵&、	地名
017_汉兴以来诸侯王年表	祭祀	祭祀	1026	词表匹配	祭祀	以奉贡职，下足以供养祭祀，以蕃辅=京师=。↵	制度
017_汉兴以来诸侯王年表	仁义	仁义	1162	词表匹配	仁义	] 形势虽彊，要之以仁义为本。↵↵## 表↵	制度
017_汉兴以来诸侯王年表	汉高祖	高祖	1483	词表匹配	高祖	] 206  |  高祖元年  |  楚  	人名
017_汉兴以来诸侯王年表	元年	元年	1485	词表匹配	元年	206  |  高祖元年  |  楚  | 	官职
017_汉兴以来诸侯王年表	临菑	临菑	1684	词表匹配	临菑	 |    |  都临菑。  |    | 	地名
017_汉兴以来诸侯王年表	十一月	十一月	1819	词表匹配	十一月	  都陈。  |  十一月，初王@韩信@元年。	时间
017_汉兴以来诸侯王年表	元年	元年	1829	词表匹配	元年	十一月，初王@韩信@元年。都=马邑=。  |	官职
017_汉兴以来诸侯王年表	元年	元年	2039	词表匹配	元年	    |  初王信元年。故$相国$。  |	官职
017_汉兴以来诸侯王年表	十月	十月	2088	词表匹配	十月	  |    |  十月乙丑，初王@英布@元	时间
017_汉兴以来诸侯王年表	乙丑	乙丑	2090	词表匹配	乙丑	|    |  十月乙丑，初王@英布@元年。	时间
017_汉兴以来诸侯王年表	元年	元年	2099	词表匹配	元年	月乙丑，初王@英布@元年。  |    | 	官职
017_汉兴以来诸侯王年表	张耳	张耳	2114	词表匹配	张耳	|    |  初王张耳元年。薨。  |  	人名
017_汉兴以来诸侯王年表	元年	元年	2116	词表匹配	元年	   |  初王张耳元年。薨。  |    	官职
017_汉兴以来诸侯王年表	齐王信	齐王信	2208	词表匹配	齐王信	 |  五  |  齐王信徙为楚王元年。反，废	人名
017_汉兴以来诸侯王年表	楚王	楚王	2213	词表匹配	楚王	  |  齐王信徙为楚王元年。反，废。  |	人名
017_汉兴以来诸侯王年表	元年	元年	2215	词表匹配	元年	|  齐王信徙为楚王元年。反，废。  |  	官职
017_汉兴以来诸侯王年表	九月	九月	2289	词表匹配	九月	|  二  |  后九月壬子，初王@卢绾@元	时间
017_汉兴以来诸侯王年表	壬子	壬子	2291	词表匹配	壬子	 二  |  后九月壬子，初王@卢绾@元年。	时间
017_汉兴以来诸侯王年表	元年	元年	2300	词表匹配	元年	月壬子，初王@卢绾@元年。  |  王敖元年	官职
017_汉兴以来诸侯王年表	元年	元年	2310	词表匹配	元年	元年。  |  王敖元年。敖，耳子。  | 	官职
017_汉兴以来诸侯王年表	元年	元年	2354	词表匹配	元年	 |  初王@彭越@元年  |    |  	官职
017_汉兴以来诸侯王年表	二月	二月	2399	词表匹配	二月	国除为郡。  |  二月乙未，初王文王吴芮元	时间
017_汉兴以来诸侯王年表	乙未	乙未	2401	词表匹配	乙未	为郡。  |  二月乙未，初王文王吴芮元年。	时间
017_汉兴以来诸侯王年表	周文王	文王	2406	词表匹配	文王	|  二月乙未，初王文王吴芮元年。薨。  |	人名
017_汉兴以来诸侯王年表	吴芮	吴芮	2408	词表匹配	吴芮	 二月乙未，初王文王吴芮元年。薨。  |↵|	人名
017_汉兴以来诸侯王年表	元年	元年	2410	词表匹配	元年	月乙未，初王文王吴芮元年。薨。  |↵|  	官职
017_汉兴以来诸侯王年表	正月丙午	正月丙午	2441	词表匹配	正月丙午	 |  六  |  正月丙午，初王交元年。交，高	时间
017_汉兴以来诸侯王年表	元年	元年	2449	词表匹配	元年	  正月丙午，初王交元年。交，高祖弟。  |	官职
017_汉兴以来诸侯王年表	汉高祖	高祖	2454	词表匹配	高祖	午，初王交元年。交，高祖弟。  |    |	人名
017_汉兴以来诸侯王年表	正月甲子	正月甲子	2473	词表匹配	正月甲子	  |    |  正月甲子，初王悼惠王肥元年。	时间
017_汉兴以来诸侯王年表	悼惠王	悼惠王	2480	词表匹配	悼惠王	|  正月甲子，初王悼惠王肥元年。肥，高祖子。	人名
017_汉兴以来诸侯王年表	元年	元年	2484	词表匹配	元年	月甲子，初王悼惠王肥元年。肥，高祖子。  |	官职
017_汉兴以来诸侯王年表	汉高祖	高祖	2489	词表匹配	高祖	王悼惠王肥元年。肥，高祖子。  |    |	人名
