章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
019_惠景间侯者年表	司马迁	太史公	18	词表匹配	太史公	间侯者年表↵↵## 太史公读列封至便侯↵↵[1	人名
019_惠景间侯者年表	便侯	便侯	25	词表匹配	便侯	## 太史公读列封至便侯↵↵[1.1] $太	官职
019_惠景间侯者年表	功臣	功臣	98	词表匹配	功臣	 昔$高祖$定天下，功臣非同姓疆土而王者八国	官职
019_惠景间侯者年表	功臣	功臣	216	词表匹配	功臣	%，追修$高祖$时遗功臣，及从&代&来，&吴	官职
019_惠景间侯者年表	归义	归义	244	词表匹配	归义	，诸侯子若肺腑，外国归义，封者%九十有余%。	人名
019_惠景间侯者年表	仁义	仁义	271	词表匹配	仁义	2] 咸表始终，当世仁义成功之著者也。↵↵#	制度
019_惠景间侯者年表	孝惠帝	孝惠	300	词表匹配	孝惠	国名 | 侯功 | 孝惠七 | 高后八 | 	人名
019_惠景间侯者年表	高后	高后	306	词表匹配	高后	功 | 孝惠七 | 高后八 | 孝文二十三 	人名
019_惠景间侯者年表	汉文帝	孝文	312	词表匹配	孝文	七 | 高后八 | 孝文二十三 | 孝景十六	人名
019_惠景间侯者年表	孝景	孝景	320	词表匹配	孝景	| 孝文二十三 | 孝景十六 | 建元至元封	人名
019_惠景间侯者年表	建元	建元	327	词表匹配	建元	 | 孝景十六 | 建元至元封六年三十六 |	时间
019_惠景间侯者年表	元封六年	元封六年	330	词表匹配	元封六年	孝景十六 | 建元至元封六年三十六 | 太初已后	时间
019_惠景间侯者年表	太初	太初	340	词表匹配	太初	元封六年三十六 | 太初已后 |↵| ---	时间
019_惠景间侯者年表	王子	王子	415	词表匹配	王子	便  |  &长沙&王子，侯，二千户。  |	人名
019_惠景间侯者年表	千户	千户	421	词表匹配	千户	&长沙&王子，侯，二千户。  |  七。元年	时间
019_惠景间侯者年表	元年	元年	431	词表匹配	元年	千户。  |  七。元年九月，顷侯吴浅元年。	官职
019_惠景间侯者年表	九月	九月	433	词表匹配	九月	。  |  七。元年九月，顷侯吴浅元年。  	时间
019_惠景间侯者年表	燕顷侯	顷侯	436	词表匹配	顷侯	|  七。元年九月，顷侯吴浅元年。  |  	人名
019_惠景间侯者年表	元年	元年	440	词表匹配	元年	。元年九月，顷侯吴浅元年。  |  八  |	官职
019_惠景间侯者年表	七年	七年	461	词表匹配	七年	|  二十二。一。后七年，恭侯信元年。  |	时间
019_惠景间侯者年表	元年	元年	467	词表匹配	元年	。一。后七年，恭侯信元年。  |  五。十一	官职
019_惠景间侯者年表	六年	六年	481	词表匹配	六年	 |  五。十一。前六年，侯广志元年。  |	时间
019_惠景间侯者年表	元年	元年	487	词表匹配	元年	十一。前六年，侯广志元年。  |  二十八。	官职
019_惠景间侯者年表	元鼎五年	元鼎五年	499	词表匹配	元鼎五年	。  |  二十八。元鼎五年，侯千秋坐酎金，国除	时间
019_惠景间侯者年表	韩千秋	千秋	505	词表匹配	千秋	二十八。元鼎五年，侯千秋坐酎金，国除。  |	人名
019_惠景间侯者年表	酎金	酎金	508	词表匹配	酎金	。元鼎五年，侯千秋坐酎金，国除。  |   	制度
019_惠景间侯者年表	二年	二年	556	词表匹配	二年	百户。  |  六。二年四月庚子，侯利仓元年	时间
019_惠景间侯者年表	四月	四月	558	词表匹配	四月	。  |  六。二年四月庚子，侯利仓元年。 	时间
019_惠景间侯者年表	元年	元年	566	词表匹配	元年	二年四月庚子，侯利仓元年。  |  二。六。	官职
019_惠景间侯者年表	三年	三年	578	词表匹配	三年	。  |  二。六。三年，侯豨元年。  | 	时间
019_惠景间侯者年表	元年	元年	583	词表匹配	元年	 二。六。三年，侯豨元年。  |  十五。八	官职
019_惠景间侯者年表	十六年	十六年	596	词表匹配	十六年	  |  十五。八。十六年，侯彭祖元年。  |	时间
019_惠景间侯者年表	彭祖	彭祖	601	词表匹配	彭祖	十五。八。十六年，侯彭祖元年。  |  十六	人名
019_惠景间侯者年表	元年	元年	603	词表匹配	元年	。八。十六年，侯彭祖元年。  |  十六  	官职
019_惠景间侯者年表	元封元年	元封元年	621	词表匹配	元封元年	十六  |  三十。元封元年，侯秩为东海$太守$	时间
019_惠景间侯者年表	东海	东海	629	词表匹配	东海	十。元封元年，侯秩为东海$太守$，行过不请，	地名
019_惠景间侯者年表	平都	平都	674	词表匹配	平都	|↵|  [r3] 平都  |  以齐将，高	人名
019_惠景间侯者年表	汉高祖	高祖	685	词表匹配	高祖	都  |  以齐将，高祖三年降，定齐，侯，千	人名
019_惠景间侯者年表	三年	三年	687	词表匹配	三年	 |  以齐将，高祖三年降，定齐，侯，千户。	时间
019_惠景间侯者年表	千户	千户	696	词表匹配	千户	祖三年降，定齐，侯，千户。  |  三。五年	时间
019_惠景间侯者年表	五年	五年	706	词表匹配	五年	千户。  |  三。五年六月乙亥，孝侯刘到元	时间
019_惠景间侯者年表	六月乙亥	六月乙亥	708	词表匹配	六月乙亥	。  |  三。五年六月乙亥，孝侯刘到元年。  	时间
019_惠景间侯者年表	孝侯	孝侯	713	词表匹配	孝侯	 三。五年六月乙亥，孝侯刘到元年。  |  	人名
019_惠景间侯者年表	元年	元年	717	词表匹配	元年	年六月乙亥，孝侯刘到元年。  |  八  |	官职
019_惠景间侯者年表	三年	三年	737	词表匹配	三年	 |  二。二十一。三年，侯成元年。  | 	时间
019_惠景间侯者年表	元年	元年	742	词表匹配	元年	。二十一。三年，侯成元年。  |  十四。后	官职
019_惠景间侯者年表	二年	二年	754	词表匹配	二年	。  |  十四。后二年，侯成有罪，国除。 	时间
019_惠景间侯者年表	高后	高后	794	词表匹配	高后	4] 扶柳  |  高后姊长姁子，侯。  |	人名
019_惠景间侯者年表	元年四月	元年四月	815	词表匹配	元年四月	|    |  七。元年四月庚寅，侯吕平元年。八	时间
019_惠景间侯者年表	庚寅	庚寅	819	词表匹配	庚寅	 |  七。元年四月庚寅，侯吕平元年。八年，	时间
019_惠景间侯者年表	吕平	吕平	823	词表匹配	吕平	七。元年四月庚寅，侯吕平元年。八年，侯平坐吕	人名
