章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
019_惠景间侯者年表	天下	天下	95	词表匹配	天下	.1] 昔$高祖$定天下，功臣非同姓疆土而王	思想
019_惠景间侯者年表	仁义	仁义	271	词表匹配	仁义	2] 咸表始终，当世仁义成功之著者也。↵↵#	思想
019_惠景间侯者年表	当斩	当斩	648	词表匹配	当斩	不请，擅发卒兵为卫，当斩，会赦，国除。  |	刑法
019_惠景间侯者年表	天下	天下	891	词表匹配	天下	后兄悼武王身佐高祖定天下，吕氏佐高祖治天下，	思想
019_惠景间侯者年表	天下	天下	900	词表匹配	天下	定天下，吕氏佐高祖治天下，天下大安，封武王少	思想
019_惠景间侯者年表	天下	天下	903	词表匹配	天下	，吕氏佐高祖治天下，天下大安，封武王少子产为	思想
019_惠景间侯者年表	弃市	弃市	1264	词表匹配	弃市	年，侯戎奴坐谋杀季父弃市，国除。  |   	刑法
019_惠景间侯者年表	上林	上林	2839	词表匹配	上林	元年，侯当坐与奴阑入上林苑，国除。  |  	典籍
019_惠景间侯者年表	夺爵	夺爵	5880	词表匹配	夺爵	元年。孝文时坐后父故夺爵级，关内侯。  | 	刑法
019_惠景间侯者年表	君子	君子	7083	词表匹配	君子	|  以孝文后兄窦长君子侯，六千四百六十户。	思想
019_惠景间侯者年表	弃市	弃市	7877	词表匹配	弃市	称为先帝诏，矫制害，弃市，国除。  |   	刑法
019_惠景间侯者年表	当死	当死	10183	词表匹配	当死	未除服，奸，禽兽行，当死，自杀，国除。  |	刑法
019_惠景间侯者年表	天下	天下	10866	词表匹配	天下	 $惠$$景$之际，天下已平。↵诸&吕&构祸	思想
