章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
020_建元以来侯者年表	建元	建元	6	词表匹配	建元	# [0] 建元以来侯者年表↵↵##	时间
020_建元以来侯者年表	司马迁	太史公	19	词表匹配	太史公	来侯者年表↵↵## 太史公曰↵↵[1.1] $	人名
020_建元以来侯者年表	和亲	和亲	43	词表匹配	和亲	史公$曰：~匈奴~绝和亲，攻当路塞；~闽越~	制度
020_建元以来侯者年表	功臣	功臣	91	词表匹配	功臣	盛&汉&之隆，以此知功臣受封侔於祖考矣。↵↵	官职
020_建元以来侯者年表	西戎	西戎	186	词表匹配	西戎	&@缪@用@百里@霸西戎，&吴&&楚&之君以	地名
020_建元以来侯者年表	中国	中国	217	词表匹配	中国	↵[2.2] 况乃以中国一统，明天子在上，兼	地名
020_建元以来侯者年表	天子	天子	223	词表匹配	天子	 况乃以中国一统，明天子在上，兼文武，席卷四	官职
020_建元以来侯者年表	文武	文武	229	词表匹配	文武	一统，明天子在上，兼文武，席卷四海，内辑亿万	人名
020_建元以来侯者年表	元光	元光	312	词表匹配	元光	国名 | 侯功 | 元光 | 元朔 | 元狩	时间
020_建元以来侯者年表	元朔	元朔	317	词表匹配	元朔	侯功 | 元光 | 元朔 | 元狩 | 元鼎	时间
020_建元以来侯者年表	元狩	元狩	322	词表匹配	元狩	元光 | 元朔 | 元狩 | 元鼎 | 元封	时间
020_建元以来侯者年表	元鼎	元鼎	327	词表匹配	元鼎	元朔 | 元狩 | 元鼎 | 元封 | 太初	时间
020_建元以来侯者年表	元封	元封	332	词表匹配	元封	元狩 | 元鼎 | 元封 | 太初已后 |↵	时间
020_建元以来侯者年表	太初	太初	337	词表匹配	太初	元鼎 | 元封 | 太初已后 |↵| ---	时间
020_建元以来侯者年表	元朔二年	元朔二年	418	词表匹配	元朔二年	 &匈奴&相降，侯。元朔二年，属$车骑将军$，击	时间
020_建元以来侯者年表	四年七月	四年七月	449	词表匹配	四年七月	益封。  |  三。四年七月壬午，侯赵信元年。 	时间
020_建元以来侯者年表	壬午	壬午	453	词表匹配	壬午	 |  三。四年七月壬午，侯赵信元年。  |	时间
020_建元以来侯者年表	赵信	赵信	457	词表匹配	赵信	三。四年七月壬午，侯赵信元年。  |  五。	人名
020_建元以来侯者年表	元年	元年	459	词表匹配	元年	四年七月壬午，侯赵信元年。  |  五。六年	官职
020_建元以来侯者年表	六年	六年	469	词表匹配	六年	元年。  |  五。六年，侯信为$前将军$击	时间
020_建元以来侯者年表	单于	单于	487	词表匹配	单于	将军$击&匈奴&，遇单于兵，败，信降&匈奴&	官职
020_建元以来侯者年表	六年	六年	560	词表匹配	六年	$降，侯。  |  六年后九月丙寅，侯乐。元	时间
020_建元以来侯者年表	九月	九月	563	词表匹配	九月	侯。  |  六年后九月丙寅，侯乐。元年。 	时间
020_建元以来侯者年表	丙寅	丙寅	565	词表匹配	丙寅	  |  六年后九月丙寅，侯乐。元年。  |	时间
020_建元以来侯者年表	元年	元年	571	词表匹配	元年	年后九月丙寅，侯乐。元年。  |  六  |	官职
020_建元以来侯者年表	元年	元年	591	词表匹配	元年	 |  六  |  元年，侯乐死，无后，国除	官职
020_建元以来侯者年表	二年十月	二年十月	655	词表匹配	二年十月	|    |  三。二年十月癸巳，侯月氏元年。五	时间
020_建元以来侯者年表	癸巳	癸巳	659	词表匹配	癸巳	 |  三。二年十月癸巳，侯月氏元年。五年，	时间
