章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
020_建元以来侯者年表	贤王	贤王	851	词表匹配	贤王	军$击&匈奴&，破右贤王，益封三千户。  |	思想
020_建元以来侯者年表	当斩	当斩	1047	词表匹配	当斩	信俱败，独身脱来归，当斩，赎，国除。  | 	刑法
020_建元以来侯者年表	贤王	贤王	1435	词表匹配	贤王	侯从$骠骑将军$击左贤王功，益封。  |  	思想
020_建元以来侯者年表	贤王	贤王	1827	词表匹配	贤王	军$击&匈奴&，至右贤王庭，得王功侯。元朔六	思想
020_建元以来侯者年表	当斩	当斩	1903	词表匹配	当斩	将军$期，后，畏懦，当斩，赎为庶人，国除。 	刑法
020_建元以来侯者年表	赎为	赎为	1906	词表匹配	赎为	期，后，畏懦，当斩，赎为庶人，国除。  | 	刑法
020_建元以来侯者年表	贤王	贤王	2396	词表匹配	贤王	$青击&匈奴&，至右贤王庭，数为鴈行上石山先	思想
020_建元以来侯者年表	贤王	贤王	2532	词表匹配	贤王	军$击&匈奴&，至右贤王庭，得王，虏阏氏功侯	思想
020_建元以来侯者年表	贤王	贤王	2632	词表匹配	贤王	以父$大将军$青破右贤王功侯。  |    	思想
020_建元以来侯者年表	贤王	贤王	2727	词表匹配	贤王	以父$大将军$青破右贤王功侯。  |    	思想
020_建元以来侯者年表	贤王	贤王	2825	词表匹配	贤王	以父$大将军$青破右贤王功侯。  |    	思想
020_建元以来侯者年表	当斩	当斩	2995	词表匹配	当斩	军$击&匈奴&畏懦，当斩，赎，国除。  | 	刑法
020_建元以来侯者年表	贤王	贤王	3108	词表匹配	贤王	浑邪王，益封；击左右贤王，益封。  |   	思想
020_建元以来侯者年表	当斩	当斩	3515	词表匹配	当斩	，战军功增首不以实，当斩，赎罪，国除。  |	刑法
020_建元以来侯者年表	赎罪	赎罪	3518	词表匹配	赎罪	功增首不以实，当斩，赎罪，国除。  |   	刑法
020_建元以来侯者年表	当死	当死	7783	词表匹配	当死	侯恢坐使酒泉矫制害，当死，赎，国除。封凡三月	刑法
