章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
021_建元已来王子侯者年表	建元	建元	6	词表匹配	建元	# [0] 建元已来王子侯者年表↵↵	时间
021_建元已来王子侯者年表	王子	王子	10	词表匹配	王子	# [0] 建元已来王子侯者年表↵↵## 制	人名
021_建元已来王子侯者年表	司马迁	太史公	74	词表匹配	太史公	其号名。"↵↵## 太史公曰↵↵[2] $太史	人名
021_建元已来王子侯者年表	天子	天子	94	词表匹配	天子	$太史公$曰：盛哉，天子之德！一人有庆，天下	官职
021_建元已来王子侯者年表	王子	王子	124	词表匹配	王子	表↵↵| 国名 | 王子号 | 元光 | 元	人名
021_建元已来王子侯者年表	元光	元光	130	词表匹配	元光	名 | 王子号 | 元光 | 元朔 | 元狩	时间
021_建元已来王子侯者年表	元朔	元朔	135	词表匹配	元朔	子号 | 元光 | 元朔 | 元狩 | 元鼎	时间
021_建元已来王子侯者年表	元狩	元狩	140	词表匹配	元狩	元光 | 元朔 | 元狩 | 元鼎 | 元封	时间
021_建元已来王子侯者年表	元鼎	元鼎	145	词表匹配	元鼎	元朔 | 元狩 | 元鼎 | 元封 | 太初	时间
021_建元已来王子侯者年表	元封	元封	150	词表匹配	元封	元狩 | 元鼎 | 元封 | 太初 |↵| 	时间
021_建元已来王子侯者年表	太初	太初	155	词表匹配	太初	元鼎 | 元封 | 太初 |↵| --- |	时间
021_建元已来王子侯者年表	王子	王子	227	词表匹配	王子	 兹  |  河闲献王子。  |  二。五年	人名
021_建元已来王子侯者年表	五年正月	五年正月	237	词表匹配	五年正月	王子。  |  二。五年正月壬子，侯刘明元年。 	时间
021_建元已来王子侯者年表	壬子	壬子	241	词表匹配	壬子	 |  二。五年正月壬子，侯刘明元年。  |	时间
021_建元已来王子侯者年表	元年	元年	247	词表匹配	元年	五年正月壬子，侯刘明元年。  |  二。三年	官职
021_建元已来王子侯者年表	三年	三年	257	词表匹配	三年	元年。  |  二。三年，侯明坐谋反杀人，弃	时间
021_建元已来王子侯者年表	弃市	弃市	268	词表匹配	弃市	年，侯明坐谋反杀人，弃市，国除。  |   	制度
021_建元已来王子侯者年表	安成	安成	306	词表匹配	安成	|↵|  [r2] 安成  |  &长沙&定	地名
021_建元已来王子侯者年表	周定王	定王	317	词表匹配	定王	成  |  &长沙&定王子。  |  一。六	人名
021_建元已来王子侯者年表	六年	六年	328	词表匹配	六年	王子。  |  一。六年七月乙巳，思侯刘苍元	时间
021_建元已来王子侯者年表	七月乙巳	七月乙巳	330	词表匹配	七月乙巳	。  |  一。六年七月乙巳，思侯刘苍元年。  	时间
021_建元已来王子侯者年表	元年	元年	339	词表匹配	元年	年七月乙巳，思侯刘苍元年。  |  六  |	官职
021_建元已来王子侯者年表	元年	元年	361	词表匹配	元年	  六  |  六。元年，今侯自当元年。  	官职
021_建元已来王子侯者年表	元年	元年	368	词表匹配	元年	 六。元年，今侯自当元年。  |  六  |	官职
021_建元已来王子侯者年表	宜春	宜春	395	词表匹配	宜春	|↵|  [r3] 宜春  |  &长沙&定	地名
021_建元已来王子侯者年表	周定王	定王	406	词表匹配	定王	春  |  &长沙&定王子。  |  一。六	人名
021_建元已来王子侯者年表	六年	六年	417	词表匹配	六年	王子。  |  一。六年七月乙巳，侯刘成元年	时间
021_建元已来王子侯者年表	七月乙巳	七月乙巳	419	词表匹配	七月乙巳	。  |  一。六年七月乙巳，侯刘成元年。  |	时间
021_建元已来王子侯者年表	元年	元年	427	词表匹配	元年	六年七月乙巳，侯刘成元年。  |  六  |	官职
021_建元已来王子侯者年表	五年	五年	449	词表匹配	五年	  六  |  四。五年，侯成坐酎金，国除。	时间
021_建元已来王子侯者年表	酎金	酎金	455	词表匹配	酎金	  四。五年，侯成坐酎金，国除。  |   	制度
021_建元已来王子侯者年表	周定王	定王	494	词表匹配	定王	容  |  &长沙&定王子。  |  一。六	人名
021_建元已来王子侯者年表	六年	六年	505	词表匹配	六年	王子。  |  一。六年七月乙巳，哀侯刘党元	时间
021_建元已来王子侯者年表	七月乙巳	七月乙巳	507	词表匹配	七月乙巳	。  |  一。六年七月乙巳，哀侯刘党元年。  	时间
021_建元已来王子侯者年表	燕哀侯	哀侯	512	词表匹配	哀侯	 一。六年七月乙巳，哀侯刘党元年。  |  	人名
021_建元已来王子侯者年表	元年	元年	516	词表匹配	元年	年七月乙巳，哀侯刘党元年。  |  元年，哀	官职
021_建元已来王子侯者年表	元年	元年	524	词表匹配	元年	刘党元年。  |  元年，哀侯党薨，无后，国	官职
021_建元已来王子侯者年表	燕哀侯	哀侯	527	词表匹配	哀侯	年。  |  元年，哀侯党薨，无后，国除。 	人名
021_建元已来王子侯者年表	周定王	定王	581	词表匹配	定王	陵  |  &长沙&定王子。  |  一。六	人名
021_建元已来王子侯者年表	六年	六年	592	词表匹配	六年	王子。  |  一。六年七月乙巳，侯刘福元年	时间
021_建元已来王子侯者年表	七月乙巳	七月乙巳	594	词表匹配	七月乙巳	。  |  一。六年七月乙巳，侯刘福元年。  |	时间
021_建元已来王子侯者年表	元年	元年	602	词表匹配	元年	六年七月乙巳，侯刘福元年。  |  六  |	官职
021_建元已来王子侯者年表	五年	五年	624	词表匹配	五年	  六  |  四。五年，侯福坐酎金，国除。	时间
021_建元已来王子侯者年表	酎金	酎金	630	词表匹配	酎金	  四。五年，侯福坐酎金，国除。  |   	制度
021_建元已来王子侯者年表	周安王	安王	666	词表匹配	安王	] 杏山  |  楚安王子。  |  一。六	人名
021_建元已来王子侯者年表	六年	六年	677	词表匹配	六年	王子。  |  一。六年后九月壬戌，侯刘成元	时间
021_建元已来王子侯者年表	九月壬戌	九月壬戌	680	词表匹配	九月壬戌	  |  一。六年后九月壬戌，侯刘成元年。  |	时间
021_建元已来王子侯者年表	元年	元年	688	词表匹配	元年	年后九月壬戌，侯刘成元年。  |  六  |	官职
