章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
024_乐书	君子	君子	118	词表匹配	君子	哉？↵↵[1.3] 君子不为约则修德，满则弃	思想
024_乐书	人道	人道	201	词表匹配	人道	↵↵[1.5] 海内人道益深，其德益至，所乐	思想
024_乐书	君子	君子	253	词表匹配	君子	^。↵↵[1.6] 君子以谦退为^礼^，以损	思想
024_乐书	自然	自然	439	词表匹配	自然	怀^五常^，含好恶，自然之势也？↵↵## 礼	思想
024_乐书	礼乐	礼乐	450	词表匹配	礼乐	然之势也？↵↵## 礼乐衰微↵↵[2.1] 	礼仪
024_乐书	祭祀	祭祀	1022	词表匹配	祭祀	*之文。↵↵### 祭祀之歌↵↵[6.1] 	礼仪
024_乐书	人心	人心	1487	词表匹配	人心	.1] 凡音之起，由人心生也。人心之动，物使	思想
024_乐书	人心	人心	1492	词表匹配	人心	音之起，由人心生也。人心之动，物使之然也。↵	思想
024_乐书	人心	人心	1584	词表匹配	人心	音之所由生也，其本在人心感於物也。↵↵###	思想
024_乐书	民心	民心	1772	词表匹配	民心	^，其极一也，所以同民心而出治道也。↵↵##	思想
024_乐书	治乱	治乱	1786	词表匹配	治乱	治道也。↵↵### 治乱之音↵↵[10.1]	思想
024_乐书	人心	人心	1804	词表匹配	人心	0.1] 凡音者，生人心者也。情动於中，故形	思想
024_乐书	礼乐	礼乐	2117	词表匹配	礼乐	而不可止。↵↵## 礼乐之道↵↵[12] （	礼仪
024_乐书	礼乐	礼乐	2133	词表匹配	礼乐	[12] （略，包含礼乐理论、制度、天地之道	礼仪
024_乐书	天地	天地	2141	词表匹配	天地	包含礼乐理论、制度、天地之道等内容）↵↵##	思想
024_乐书	治乱	治乱	2310	词表匹配	治乱	始奏以文，止乱以武，治乱以相，讯疾以雅。君子	思想
024_乐书	君子	君子	2320	词表匹配	君子	治乱以相，讯疾以雅。君子於是语，於是道古，修	思想
024_乐书	天下	天下	2338	词表匹配	天下	道古，修身及家，平均天下：此*古乐*之发也。	思想
024_乐书	正义	正义	3176	词表匹配	正义	正圣，*商*动肺而和正义，*角*动肝而和正仁	思想
024_乐书	变化	变化	3247	词表匹配	变化	上以事^宗庙^，下以变化黎庶也。↵↵### 	思想
024_乐书	礼乐	礼乐	3428	词表匹配	礼乐	^礼^。↵↵### 礼乐之功↵↵[21.1]	礼仪
024_乐书	君子	君子	3466	词表匹配	君子	↵↵[21.2] 故君子不可须臾离^礼^，须	思想
024_乐书	君子	君子	3530	词表匹配	君子	3] 故^乐^音者，君子之所养义也。↵↵[2	思想
