章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
026_历书	历书	历书	6	词表匹配	历书	# [0] 历书↵↵## [1] 历	制度
026_历书	四时	四时	113	词表匹配	四时	乃岁具，生於东，次顺四时，卒于%冬%分。↵↵	时间
026_历书	正朔	正朔	310	词表匹配	正朔	## [1.2] 改正朔的重要性↵↵[1.2	制度
026_历书	服色	服色	345	词表匹配	服色	始初，改^正朔^，易服色，推本天元，顺承厥意	制度
026_历书	黄帝	黄帝	390	词表匹配	黄帝	1] 上古历法传统（黄帝至尧舜）↵↵####	人名
026_历书	黄帝	黄帝	403	词表匹配	黄帝	尧舜）↵↵#### 黄帝建历↵↵[2.1.1	人名
026_历书	天地	天地	475	词表匹配	天地	，正^闰馀^，於是有天地神祇物类之官，是谓^	天文
026_历书	神祇	神祇	477	词表匹配	神祇	^闰馀^，於是有天地神祇物类之官，是谓^五官	神话
026_历书	帝颛顼高阳	颛顼	585	词表匹配	颛顼	不匮。↵↵#### 颛顼复古↵↵[2.1.6	人名
026_历书	摄提	摄提	738	词表匹配	摄提	乖次，%孟陬%殄灭，摄提无纪，历数失序。↵↵	天文
026_历书	文祖	文祖	859	词表匹配	文祖	 年耆禅@舜@，申戒文祖，云"天之历数在尔躬	地名
026_历书	三代	三代	921	词表匹配	三代	者所重也。↵↵## 三代至秦汉正朔沿革↵↵#	时间
026_历书	正朔	正朔	926	词表匹配	正朔	↵↵## 三代至秦汉正朔沿革↵↵### [2	制度
026_历书	三代	三代	942	词表匹配	三代	### [2.2] 三代正朔↵↵[2.2.1	时间
026_历书	正朔	正朔	944	词表匹配	正朔	# [2.2] 三代正朔↵↵[2.2.1] 	制度
026_历书	三王	三王	999	词表匹配	三王	↵[2.2.2] 盖三王之正若循环，穷则反本	朝代
026_历书	周室	周室	1059	词表匹配	周室	### [2.3] 周室衰微与历法失序↵↵[	人名
026_历书	陪臣	陪臣	1096	词表匹配	陪臣	@之後，&周&室微，陪臣执政，史不记时，君不	官职
026_历书	执政	执政	1098	词表匹配	执政	後，&周&室微，陪臣执政，史不记时，君不告朔	官职
026_历书	春秋	春秋	1172	词表匹配	春秋	年%%闰三月%，而《春秋》非之。↵↵[2.3	时间
026_历书	先王	先王	1188	词表匹配	先王	↵↵[2.3.3] 先王之正时也，履端於始，	官职
026_历书	於中	於中	1202	词表匹配	於中	时也，履端於始，举正於中，归邪於终。↵↵[2	地名
026_历书	归邪	归邪	1205	词表匹配	归邪	履端於始，举正於中，归邪於终。↵↵[2.3.	天文
026_历书	於中	於中	1232	词表匹配	於中	於始，序则不愆；举正於中，民则不惑；归邪於终	地名
026_历书	归邪	归邪	1240	词表匹配	归邪	举正於中，民则不惑；归邪於终，事则不悖。↵↵	天文
026_历书	战国	战国	1262	词表匹配	战国	### [2.4] 战国秦汉的历法调整↵↵#	朝代
026_历书	战国	战国	1278	词表匹配	战国	法调整↵↵#### 战国时期↵↵[2.4.1	朝代
026_历书	六国	六国	1389	词表匹配	六国	3] 而亦因&秦&灭六国，兵戎极烦，又升至尊	制度
026_历书	水德	水德	1434	词表匹配	水德	^五胜^，而自以为获水德之瑞，更名河曰"德水	制度
026_历书	德水	德水	1444	词表匹配	德水	水德之瑞，更名河曰"德水"，而正以%十月%，	地名
026_历书	北畤	北畤	1539	词表匹配	北畤	汉&兴，@高祖@曰"北畤待我而起"，亦自以为	地名
026_历书	水德	水德	1552	词表匹配	水德	我而起"，亦自以为获水德之瑞。↵↵[3.1.	制度
026_历书	服色	服色	1626	词表匹配	服色	，故袭&秦&^正朔^服色。↵↵### [3.	制度
026_历书	公孙臣	公孙臣	1641	词表匹配	公孙臣	### [3.2] 公孙臣建议与黄龙之瑞↵↵[	人名
026_历书	黄龙	黄龙	1647	词表匹配	黄龙	.2] 公孙臣建议与黄龙之瑞↵↵[3.2.1	器物
026_历书	土德	土德	1694	词表匹配	土德	^上书，言"&汉&得土德，宜更元，改^正朔^	制度
026_历书	服色	服色	1708	词表匹配	服色	更元，改^正朔^，易服色。当有瑞，瑞黄龙见"	制度
026_历书	黄龙	黄龙	1716	词表匹配	黄龙	，易服色。当有瑞，瑞黄龙见"。↵↵[3.2.	器物
026_历书	黄龙	黄龙	1773	词表匹配	黄龙	[3.2.3] 其後黄龙见=成纪=，@张苍@	器物
026_历书	望气	望气	1812	词表匹配	望气	4] 而@新垣平@以望气见，颇言正历服色事，	制度
