章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
027_天官书	天官	天官	2	词表匹配	天官	# 天官书↵↵[0] **天	制度
027_天官书	中宫	中宫	23	词表匹配	中宫	天官书**↵↵## 中宫紫微垣↵↵[1] !	天文
027_天官书	三星	三星	58	词表匹配	三星	，!太一!常居也；旁三星三公，或曰子属。後句	天文
027_天官书	三公	三公	60	词表匹配	三公	太一!常居也；旁三星三公，或曰子属。後句四星	制度
027_天官书	三星	三星	80	词表匹配	三星	四星，末大星正妃，馀三星後宫之属也。环之匡卫	天文
027_天官书	三星	三星	119	词表匹配	三星	2] 前列直!斗!口三星，随北端兑，若见若不	天文
027_天官书	三星	三星	150	词表匹配	三星	!天一!。!紫宫!左三星曰!天枪!，右五星曰	天文
027_天官书	五星	五星	159	词表匹配	五星	左三星曰!天枪!，右五星曰!天棓!，後六星绝	天文
027_天官书	七星	七星	196	词表匹配	七星	↵↵[3] !北斗!七星，所谓"旋、玑、玉衡	天文
027_天官书	玉衡	玉衡	206	词表匹配	玉衡	七星，所谓"旋、玑、玉衡以齐^七政^"。杓携	器物
027_天官书	西南	西南	250	词表匹配	西南	者杓；杓，自=华=以西南。夜半建者衡；衡，殷	地名
027_天官书	夜半	夜半	253	词表匹配	夜半	杓，自=华=以西南。夜半建者衡；衡，殷中州=	时间
027_天官书	殷中	殷中	261	词表匹配	殷中	南。夜半建者衡；衡，殷中州=河=、=济=之间	人名
027_天官书	东北	东北	287	词表匹配	东北	者魁；魁，=海岱=以东北也。!斗!为帝车，运	地名
027_天官书	四时	四时	315	词表匹配	四时	四乡。分^阴阳^，建四时，均^五行^，移节度	时间
027_天官书	贵人	贵人	409	词表匹配	贵人	禄$。在!斗!魁中，贵人之牢。魁下六星，两两	官职
027_天官书	五星	五星	502	词表匹配	五星	，!天锋!。有句圜十五星，属杓，曰贱人之牢。	天文
027_天官书	东宫	东宫	564	词表匹配	东宫	大，兵起。↵↵## 东宫苍龙七宿↵↵[7] 	地名
027_天官书	苍龙	苍龙	566	词表匹配	苍龙	兵起。↵↵## 东宫苍龙七宿↵↵[7] 东宫	神话
027_天官书	东宫	东宫	576	词表匹配	东宫	苍龙七宿↵↵[7] 东宫苍龙，!房!、!心!	地名
027_天官书	苍龙	苍龙	578	词表匹配	苍龙	七宿↵↵[7] 东宫苍龙，!房!、!心!。!	神话
027_天官书	明堂	明堂	593	词表匹配	明堂	!、!心!。!心!为明堂，大星天王，前後星子	地名
027_天官书	天王	天王	598	词表匹配	天王	。!心!为明堂，大星天王，前後星子属。不欲直	官职
027_天官书	天王	天王	613	词表匹配	天王	星子属。不欲直，直则天王失计。!房!为府，曰	官职
027_天官书	东北	东北	649	词表匹配	东北	星曰衿；北一星曰辖。东北曲十二星曰旗。旗中四	地名
027_天官书	天王	天王	724	词表匹配	天王	!，将。大!角!者，天王帝廷。其两旁各有三星	官职
027_天官书	三星	三星	734	词表匹配	三星	天王帝廷。其两旁各有三星，鼎足句之，曰!摄提	天文
027_天官书	三光	三光	910	词表匹配	三光	、衡。衡，!太微!，三光之廷。匡卫十二星，籓	天文
027_天官书	五星	五星	961	词表匹配	五星	门内六星，诸侯。其内五星，五帝坐。後聚一十五	天文
