章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
027_天官书	明堂	明堂	593	词表匹配	明堂	!、!心!。!心!为明堂，大星天王，前後星子	礼仪
027_天官书	天下	天下	2334	词表匹配	天下	舍，其下之国可以义致天下。↵↵[26] 以!	思想
027_天官书	天下	天下	3810	词表匹配	天下	一舍，其下国可以礼致天下。↵↵[43] 法，	思想
027_天官书	明堂	明堂	4012	词表匹配	明堂	，主命恶之。!心!为明堂，!荧惑!庙也。谨候	礼仪
027_天官书	天下	天下	4242	词表匹配	天下	舍，其下之国，可重致天下。礼、德、义、杀、刑	思想
027_天官书	君子	君子	4583	词表匹配	君子	。四星合，兵丧并起，君子忧，小人流。五星合，	思想
027_天官书	大人	大人	4608	词表匹配	大人	行，有德，受庆，改立大人，掩有四方，子孙蕃昌	典籍
027_天官书	天下	天下	4797	词表匹配	天下	兵之所终。五星同色，天下偃兵，百姓宁昌。%春	思想
027_天官书	天下	天下	5419	词表匹配	天下	出不出，未当入而入，天下偃兵，兵在外，入。未	思想
027_天官书	天下	天下	5532	词表匹配	天下	。其出不经天；经天，天下革政。↵↵[57] 	思想
027_天官书	天下	天下	5954	词表匹配	天下	舍，其下之国可以兵从天下。居实，有得也；居虚	思想
027_天官书	天下	天下	6795	词表匹配	天下	其时不和；四时不出，天下大饥。其当效而出也，	思想
027_天官书	天下	天下	6967	词表匹配	天下	，其所舍之国可以法致天下。!辰星!不出，!太	思想
027_天官书	天下	天下	7325	词表匹配	天下	色黄而小，出而易处，天下之文变而不善矣。兔五	思想
027_天官书	天下	天下	10737	词表匹配	天下	为其环千里内占，则为天下候，竟%正月%。月所	思想
027_天官书	圣人	圣人	11039	词表匹配	圣人	^之精，气本在地，而圣人统理之。↵↵[112	思想
027_天官书	天道	天道	11109	词表匹配	天道	经，纪异而说不书。至天道命，不传；传其人，不	思想
027_天官书	天人	天人	11336	词表匹配	天人	五。上下各千岁，然后天人之际续备。↵↵## 	思想
027_天官书	春秋	春秋	11348	词表匹配	春秋	之际续备。↵↵## 春秋以来天变↵↵[115	典籍
027_天官书	大赦	大赦	12923	词表匹配	大赦	。一%秋%中，五至，大赦；三至，小赦。@白帝	刑法
027_天官书	大赦	大赦	12958	词表匹配	大赦	二十一日，月晕围，常大赦载，谓有太阳也。一曰	刑法
