章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
028_封禅书	封禅	封禅	2	词表匹配	封禅	# 封禅书↵↵[0] 封禅书	制度
028_封禅书	封禅	封禅	11	词表匹配	封禅	 封禅书↵↵[0] 封禅书↵↵## 封禅礼仪	制度
028_封禅书	封禅	封禅	19	词表匹配	封禅	] 封禅书↵↵## 封禅礼仪源流↵↵[1] 	制度
028_封禅书	礼仪	礼仪	21	词表匹配	礼仪	封禅书↵↵## 封禅礼仪源流↵↵[1] 自古	制度
028_封禅书	帝王	帝王	35	词表匹配	帝王	↵↵[1] 自古受命帝王，曷尝不^封禅^？盖	官职
028_封禅书	三年	三年	113	词表匹配	三年	以即事用希。传曰："三年不为礼，礼必废；三年	时间
028_封禅书	三年	三年	123	词表匹配	三年	三年不为礼，礼必废；三年不为乐，乐必坏。"每	时间
028_封禅书	千有馀载	千有馀载	156	词表匹配	千有馀载	，及衰而息。厥旷远者千有馀载，近者数百载，故其仪	时间
028_封禅书	数百	数百	163	词表匹配	数百	旷远者千有馀载，近者数百载，故其仪阙然堙灭，	时间
028_封禅书	尚书	尚书	191	词表匹配	尚书	记闻云。↵↵[2] 尚书曰，@舜@在*璇玑玉	官职
028_封禅书	七政	七政	208	词表匹配	七政	在*璇玑玉衡*，以齐七政。遂类于上帝，禋于^	制度
028_封禅书	上帝	上帝	214	词表匹配	上帝	*，以齐七政。遂类于上帝，禋于^六宗^，望山	神话
028_封禅书	山川	山川	225	词表匹配	山川	帝，禋于^六宗^，望山川，遍群神。辑五瑞，择	地名
028_封禅书	五瑞	五瑞	233	词表匹配	五瑞	，望山川，遍群神。辑五瑞，择吉月日，见四岳诸	器物
028_封禅书	四岳	四岳	242	词表匹配	四岳	辑五瑞，择吉月日，见四岳诸牧，还瑞。岁二月，	官职
028_封禅书	岁二月	岁二月	250	词表匹配	岁二月	，见四岳诸牧，还瑞。岁二月，东巡狩，至于=岱宗	时间
028_封禅书	巡狩	巡狩	255	词表匹配	巡狩	牧，还瑞。岁二月，东巡狩，至于=岱宗=。=岱	制度
028_封禅书	山川	山川	281	词表匹配	山川	泰山=也。柴，望秩于山川。遂觐东后。东后者，	地名
028_封禅书	五月	五月	325	词表匹配	五月	五玉三帛二生一死贽。五月，巡狩至南岳。南岳，	时间
028_封禅书	巡狩	巡狩	328	词表匹配	巡狩	帛二生一死贽。五月，巡狩至南岳。南岳，=衡山	制度
028_封禅书	南岳	南岳	331	词表匹配	南岳	一死贽。五月，巡狩至南岳。南岳，=衡山=也。	制度
028_封禅书	南岳	南岳	334	词表匹配	南岳	。五月，巡狩至南岳。南岳，=衡山=也。八月，	制度
028_封禅书	八月	八月	343	词表匹配	八月	。南岳，=衡山=也。八月，巡狩至西岳。西岳，	时间
028_封禅书	巡狩	巡狩	346	词表匹配	巡狩	，=衡山=也。八月，巡狩至西岳。西岳，=华山	制度
028_封禅书	十一月	十一月	361	词表匹配	十一月	。西岳，=华山=也。十一月，巡狩至北岳。北岳，	时间
028_封禅书	巡狩	巡狩	365	词表匹配	巡狩	=华山=也。十一月，巡狩至北岳。北岳，=恆山	制度
028_封禅书	中岳	中岳	389	词表匹配	中岳	。皆如=岱宗=之礼。中岳，=嵩高=也。五载一	地名
028_封禅书	五载	五载	398	词表匹配	五载	。中岳，=嵩高=也。五载一巡狩。↵↵[3] 	时间
028_封禅书	巡狩	巡狩	401	词表匹配	巡狩	，=嵩高=也。五载一巡狩。↵↵[3] @禹@	制度
028_封禅书	三世	三世	443	词表匹配	三世	神渎，二龙去之。其後三世，@汤@伐@桀@，欲	时间
028_封禅书	夏社	夏社	456	词表匹配	夏社	@汤@伐@桀@，欲迁夏社，不可，作夏社。後八	器物
028_封禅书	夏社	夏社	463	词表匹配	夏社	，欲迁夏社，不可，作夏社。後八世，至@帝太戊	器物
028_封禅书	八世	八世	467	词表匹配	八世	社，不可，作夏社。後八世，至@帝太戊@，有〘	时间
028_封禅书	高宗	高宗	565	词表匹配	高宗	相，&殷&复兴焉，称高宗。有〘雉〙登*鼎*耳	人名
028_封禅书	五世	五世	609	词表匹配	五世	@从之，位以永宁。後五世，@帝武乙@慢神而震	时间
028_封禅书	三世	三世	624	词表匹配	三世	武乙@慢神而震死。後三世，@帝纣@淫乱，@武	时间
028_封禅书	周官	周官	665	词表匹配	周官	怠慢也。↵↵[4] 周官曰，冬日至，祀天於=	制度
028_封禅书	天子	天子	709	词表匹配	天子	，而神乃可得而礼也。天子祭天下名山大川，^五	官职
028_封禅书	天子	天子	771	词表匹配	天子	、=淮=、=济=也。天子曰^明堂^、^辟雍^	官职
028_封禅书	上帝	上帝	832	词表匹配	上帝	文王@於^明堂^以配上帝。自@禹@兴而修社祀	神话
028_封禅书	秦国	秦国	872	词表匹配	秦国	从来尚矣。↵↵## 秦国祭祀制度↵↵[6] 	地名
028_封禅书	祭祀	祭祀	874	词表匹配	祭祀	尚矣。↵↵## 秦国祭祀制度↵↵[6] 自&	制度
028_封禅书	制度	制度	876	词表匹配	制度	。↵↵## 秦国祭祀制度↵↵[6] 自&周&	制度
028_封禅书	礼乐	礼乐	901	词表匹配	礼乐	&後十四世，世益衰，礼乐废，诸侯恣行，而@幽	制度
028_封禅书	犬戎	犬戎	916	词表匹配	犬戎	侯恣行，而@幽王@为犬戎所败，&周&东徙=雒	族群
028_封禅书	白帝	白帝	979	词表匹配	白帝	之神，作=西畤=，祠白帝，其牲用↵↵[7] 	人名
028_封禅书	黄牛	黄牛	994	词表匹配	黄牛	用↵↵[7] 〘驹〙黄牛羝羊各一云。其後十六	器物
028_封禅书	羝羊	羝羊	996	词表匹配	羝羊	↵[7] 〘驹〙黄牛羝羊各一云。其後十六年，	器物
028_封禅书	十六年	十六年	1004	词表匹配	十六年	黄牛羝羊各一云。其後十六年，@秦文公@东猎=汧	时间
028_封禅书	上帝	上帝	1069	词表匹配	上帝	敦$，@敦@曰："此上帝之徵，君其祠之。"於	神话
028_封禅书	白帝	白帝	1095	词表匹配	白帝	畤=，用三牲^郊祭^白帝焉。↵↵[8] 自未	人名
028_封禅书	神明	神明	1157	词表匹配	神明	自古以=雍州=积高，神明之隩，故立畤^郊^上	神话
028_封禅书	上帝	上帝	1168	词表匹配	上帝	明之隩，故立畤^郊^上帝，诸神祠皆聚云。盖@	神话
028_封禅书	九年	九年	1224	词表匹配	九年	[9] 作=鄜畤=後九年，@文公@获若石云，	时间
028_封禅书	流星	流星	1268	词表匹配	流星	，来也常以夜，光辉若流星，从东南来集于祠城，	天文
028_封禅书	东南	东南	1272	词表匹配	东南	以夜，光辉若流星，从东南来集于祠城，则若雄鸡	地名
028_封禅书	陈宝	陈宝	1302	词表匹配	陈宝	夜雊。以一牢祠，命曰陈宝。↵↵[10] 作=	器物
028_封禅书	十八年	十八年	1319	词表匹配	十八年	0] 作=鄜畤=後七十八年，@秦德公@既立，卜	时间
028_封禅书	二年	二年	1404	词表匹配	二年	[11] @德公@立二年卒。其後年，@秦宣公	时间
028_封禅书	十四年	十四年	1441	词表匹配	十四年	。↵↵[12] 其後十四年，@秦缪公@立，病卧	时间
028_封禅书	五日	五日	1454	词表匹配	五日	，@秦缪公@立，病卧五日不寤；寤，乃言梦见上	时间
028_封禅书	上帝	上帝	1465	词表匹配	上帝	日不寤；寤，乃言梦见上帝，上帝命@缪公平@晋	神话
028_封禅书	上帝	上帝	1468	词表匹配	上帝	；寤，乃言梦见上帝，上帝命@缪公平@晋@乱。	神话
028_封禅书	缪公	秦缪公	1496	词表匹配	秦缪公	藏之府。而後世皆曰@秦缪公@上天。↵↵[13]	人名
028_封禅书	九年	九年	1517	词表匹配	九年	3] @秦缪公@即位九年，@齐桓公@既霸，会	时间
028_封禅书	夷吾	夷吾	1570	词表匹配	夷吾	梁父=者七十二家，而夷吾所记者十有二焉。昔@	人名
028_封禅书	山戎	山戎	1776	词表匹配	山戎	桓公@曰："寡人北伐山戎，过=孤竹=；西伐=	族群
028_封禅书	兵车	兵车	1832	词表匹配	兵车	耳山=以望=江汉=。兵车之会三，而乘车之会六	器物
028_封禅书	乘车	乘车	1839	词表匹配	乘车	汉=。兵车之会三，而乘车之会六，九合诸侯，一	器物
028_封禅书	三代	三代	1862	词表匹配	三代	天下，诸侯莫违我。昔三代受命，亦何以异乎？"	时间
028_封禅书	北里	北里	1912	词表匹配	北里	^封禅^，鄗上之黍，北里之禾，所以为盛；=江	地名
028_封禅书	嘉穀	嘉穀	1991	词表匹配	嘉穀	凤皇〙〘麒麟〙不来，嘉穀不生，而〘蓬蒿藜莠〙	动植物
028_封禅书	三十九年	三十九年	2071	词表匹配	三十九年	，平其乱。@缪公@立三十九年而卒。↵↵[14] 	时间
028_封禅书	百有馀年	百有馀年	2087	词表匹配	百有馀年	。↵↵[14] 其後百有馀年，而@孔子@论述六，	时间
028_封禅书	七十馀	七十馀	2121	词表匹配	七十馀	泰山=禅乎=梁父=者七十馀王矣，其俎豆之礼不章	时间
028_封禅书	俎豆	俎豆	2128	词表匹配	俎豆	父=者七十馀王矣，其俎豆之礼不章，盖难言之。	器物
028_封禅书	二年	二年	2202	词表匹配	二年	=。@武王@克&殷&二年，天下未宁而崩。爰&	时间
028_封禅书	陪臣	陪臣	2241	词表匹配	陪臣	封禅^则近之矣。及後陪臣执政，@季氏@旅於=	官职
028_封禅书	执政	执政	2243	词表匹配	执政	^则近之矣。及後陪臣执政，@季氏@旅於=泰山	官职
028_封禅书	鬼神	鬼神	2306	词表匹配	鬼神	&力少，@苌弘@乃明鬼神事，设射貍首。貍首者	神话
028_封禅书	百馀年	百馀年	2376	词表匹配	百馀年	。↵↵[16] 其後百馀年，@秦灵公@作=吴阳	时间
028_封禅书	四十八年	四十八年	2417	词表匹配	四十八年	@。↵↵[17] 後四十八年，$周太史$@儋@见	时间
028_封禅书	五百岁	五百岁	2453	词表匹配	五百岁	与&周&合，合而离，五百岁当复合，合十七年而霸	时间
028_封禅书	十七年	十七年	2461	词表匹配	十七年	离，五百岁当复合，合十七年而霸王出焉。"=栎阳	时间
028_封禅书	霸王	霸王	2465	词表匹配	霸王	岁当复合，合十七年而霸王出焉。"=栎阳=雨金	官职
028_封禅书	白帝	白帝	2500	词表匹配	白帝	故作=畦畤栎阳=而祀白帝。↵↵[18] 其後	人名
028_封禅书	二十岁	二十岁	2513	词表匹配	二十岁	↵↵[18] 其後百二十岁而&秦&灭&周&，&	时间
028_封禅书	秦始皇帝	秦始皇	2568	词表匹配	秦始皇	彭城=下。↵↵## 秦始皇封禅与祭祀↵↵[19	人名
