章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
032_齐太公世家	圣人	圣人	273	词表匹配	圣人	先君@太公@曰'当有圣人適=周=，=周=以兴	思想
032_齐太公世家	天下	天下	633	词表匹配	天下	夷=，大作=丰邑=。天下三分，其二归&周&者	思想
032_齐太公世家	天下	天下	1057	词表匹配	天下	鼎*，脩&周&政，与天下更始。$师尚父$谋居	思想
032_齐太公世家	天下	天下	1099	词表匹配	天下	武王@已平&商&而王天下，封$师尚父$於=齐	思想
032_齐太公世家	贤能	贤能	3691	词表匹配	贤能	之利^，以赡贫穷，禄贤能，~齐人~皆说。↵↵	思想
032_齐太公世家	天下	天下	3920	词表匹配	天下	耳，而弃信於诸侯，失天下之援，不可。"於是遂	思想
032_齐太公世家	纳贡	纳贡	4197	词表匹配	纳贡	@复修^召公之政^，纳贡于&周&，如^成康之	礼仪
032_齐太公世家	会盟	会盟	5129	词表匹配	会盟	穆公@辟远，不与中国会盟。@楚成王@初收~荆	礼仪
032_齐太公世家	会盟	会盟	5161	词表匹配	会盟	置。唯独=齐=为中国会盟，而@桓公@能宣其德	礼仪
032_齐太公世家	天下	天下	5291	词表匹配	天下	会六，九合诸侯，一匡天下。昔&三代&受命，有	思想
032_齐太公世家	诸子	诸子	10688	词表匹配	诸子	$恐其为嗣，乃言原择诸子长贤者为$太子$。@	思想
032_齐太公世家	天下	天下	12651	词表匹配	天下	，为@齐威王@，彊於天下。↵↵## 太史公曰	思想
032_齐太公世家	会盟	会盟	12750	词表匹配	会盟	盛，修善政，以为诸侯会盟，称伯，不亦宜乎？洋	礼仪
