章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
033_鲁周公世家	周公	周公	7	词表匹配	周公	# 033 鲁周公世家↵↵## 标题↵	人名
033_鲁周公世家	世家	世家	9	词表匹配	世家	# 033 鲁周公世家↵↵## 标题↵@鲁	器物
033_鲁周公世家	世家	世家	28	词表匹配	世家	↵@鲁@&周&@公@世家↵↵## [1] 周	器物
033_鲁周公世家	周公	周公	39	词表匹配	周公	家↵↵## [1] 周公的身世与辅佐武王↵↵	人名
033_鲁周公世家	周武王	武王	47	词表匹配	武王	] 周公的身世与辅佐武王↵↵[1.1] &周	人名
033_鲁周公世家	功臣	功臣	302	词表匹配	功臣	,以续&殷&祀。遍封功臣同姓戚者。封@周公旦	官职
033_鲁周公世家	周公代武王请命	周公代武王请命	360	词表匹配	周公代武王请命	。↵↵## [2] 周公代武王请命↵↵[2.1] $@	event
033_鲁周公世家	周公	周公	879	词表匹配	周公	。↵↵## [3] 周公摄政辅佐成王↵↵[3	人名
033_鲁周公世家	周成王	成王	885	词表匹配	成王	[3] 周公摄政辅佐成王↵↵[3.1] 其後	人名
033_鲁周公世家	崩而	崩而	934	词表匹配	崩而	恐天下闻$@武王@$崩而畔,@周公@乃践阼代	人名
