章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
034_燕召公世家	召公奭	召公	7	词表匹配	召公	# 034 燕召公世家↵↵## 标题↵	人名
034_燕召公世家	世家	世家	9	词表匹配	世家	# 034 燕召公世家↵↵## 标题↵&燕	器物
034_燕召公世家	世家	世家	26	词表匹配	世家	标题↵&燕&@召公@世家↵↵## [1] 召	器物
034_燕召公世家	召公封燕	召公封燕	37	词表匹配	召公封燕	家↵↵## [1] 召公封燕↵↵[1.1] @召	event
034_燕召公世家	召公奭	召公	102	词表匹配	召公	。↵↵## [2] 召公辅政↵↵[2.1] 	人名
034_燕召公世家	召公奭	召公	338	词表匹配	召公	。↵↵## [3] 召公德政与甘棠之思↵↵[	人名
034_燕召公世家	甘棠	甘棠	343	词表匹配	甘棠	 [3] 召公德政与甘棠之思↵↵[3.1] 	制度
034_燕召公世家	西方	西方	361	词表匹配	西方	.1] @召公@之治西方,甚得兆民和。@召公	地名
034_燕召公世家	燕惠侯	惠侯	460	词表匹配	惠侯	。↵↵## [4] 惠侯时期↵↵[4.1] 	人名
034_燕召公世家	燕釐侯	釐侯	531	词表匹配	釐侯	。↵↵## [5] 釐侯至顷侯↵↵[5.1]	人名
034_燕召公世家	燕顷侯	顷侯	534	词表匹配	顷侯	## [5] 釐侯至顷侯↵↵[5.1] $@	人名
034_燕召公世家	缪侯	缪侯	764	词表匹配	缪侯	。↵↵## [6] 缪侯至庄公↵↵[6.1]	人名
034_燕召公世家	郑庄公	庄公	767	词表匹配	庄公	## [6] 缪侯至庄公↵↵[6.1] $@	人名
034_燕召公世家	郑庄公	庄公	872	词表匹配	庄公	。↵↵## [7] 庄公时期↵↵[7.1] 	人名
034_燕召公世家	秦襄公	襄公	1132	词表匹配	襄公	。↵↵## [8] 襄公至懿公↵↵[8.1]	人名
034_燕召公世家	齐懿公	懿公	1135	词表匹配	懿公	## [8] 襄公至懿公↵↵[8.1] $@	人名
034_燕召公世家	东周惠公	惠公	1425	词表匹配	惠公	。↵↵## [9] 惠公乱政↵↵[9.1] 	人名
034_燕召公世家	晋悼公	悼公	1605	词表匹配	悼公	↵↵## [10] 悼公至献公↵↵[10.1	人名
034_燕召公世家	秦献公	献公	1608	词表匹配	献公	# [10] 悼公至献公↵↵[10.1] $	人名
034_燕召公世家	秦孝公	孝公	1839	词表匹配	孝公	↵↵## [11] 孝公与三晋崛起↵↵[11	人名
034_燕召公世家	三晋	三晋	1842	词表匹配	三晋	# [11] 孝公与三晋崛起↵↵[11.1]	朝代
034_燕召公世家	齐釐公	釐公	1990	词表匹配	釐公	↵↵## [12] 釐公至文公↵↵[12.1	人名
034_燕召公世家	周文公	文公	1993	词表匹配	文公	# [12] 釐公至文公↵↵[12.1] $	人名
034_燕召公世家	周文公	文公	2094	词表匹配	文公	↵↵## [13] 文公与苏秦↵↵[13.1	人名
034_燕召公世家	苏秦	苏秦	2097	词表匹配	苏秦	# [13] 文公与苏秦↵↵[13.1] $	人名
034_燕召公世家	易王	易王	2273	词表匹配	易王	↵↵## [14] 易王与苏秦之乱↵↵[14	人名
034_燕召公世家	苏秦	苏秦	2276	词表匹配	苏秦	# [14] 易王与苏秦之乱↵↵[14.1]	人名
034_燕召公世家	昭王求贤	昭王求贤	3426	词表匹配	昭王求贤	↵↵## [16] 昭王求贤↵↵[16.1] &	event
034_燕召公世家	千里	千里	3572	词表匹配	千里	况贤於@隗@者,岂远千里哉!"於是$@昭王@	时间
034_燕召公世家	昭王伐齐大捷	昭王伐齐大捷	3664	词表匹配	昭王伐齐大捷	↵↵## [17] 昭王伐齐大捷↵↵[17.1] %	event
034_燕召公世家	周惠王	惠王	3867	词表匹配	惠王	↵↵## [18] 惠王失策与齐国复兴↵↵[	人名
034_燕召公世家	齐国	齐国	3872	词表匹配	齐国	[18] 惠王失策与齐国复兴↵↵[18.1]	地名
034_燕召公世家	武成王	武成王	4059	词表匹配	武成王	↵↵## [19] 武成王至孝王↵↵[19.1	人名
034_燕召公世家	孝王	孝王	4063	词表匹配	孝王	 [19] 武成王至孝王↵↵[19.1] $	人名
034_燕召公世家	王喜	王喜	4211	词表匹配	王喜	↵## [20] 今王喜与燕赵之战↵↵[20	人名
034_燕召公世家	燕赵	燕赵	4214	词表匹配	燕赵	 [20] 今王喜与燕赵之战↵↵[20.1]	地名
034_燕召公世家	二军	二军	4406	词表匹配	二军	$臣$皆以为可。卒起二军,*车*二千乘,@栗	制度
034_燕召公世家	千乘	千乘	4413	词表匹配	千乘	。卒起二军,*车*二千乘,@栗腹@将而攻=鄗	地名
034_燕召公世家	大夫	大夫	4442	词表匹配	大夫	@$攻&代&。唯独$大夫$@将渠@$谓&燕&	官职
034_燕召公世家	燕国	燕国	4714	词表匹配	燕国	21] 秦统一前夜的燕国↵↵[21.1] %	地名
034_燕召公世家	荆轲刺秦	荆轲刺秦	5198	词表匹配	荆轲刺秦	↵↵## [22] 荆轲刺秦与燕国灭亡↵↵[22	event
034_燕召公世家	燕国	燕国	5203	词表匹配	燕国	[22] 荆轲刺秦与燕国灭亡↵↵[22.1]	地名
034_燕召公世家	司马迁	太史公	5452	词表匹配	太史公	↵↵## [23] 太史公曰↵↵[23.1] 	人名
