章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
035_管蔡世家	世家	世家	8	词表匹配	世家	# 035 管蔡世家↵↵## 标题↵管蔡	器物
035_管蔡世家	世家	世家	20	词表匹配	世家	↵↵## 标题↵管蔡世家↵↵## 武王同母十	器物
035_管蔡世家	武王同母十兄弟	武王同母十兄弟	27	词表匹配	武王同母十兄弟	↵管蔡世家↵↵## 武王同母十兄弟↵↵[1.1] @管	event
035_管蔡世家	十人	十人	77	词表匹配	十人	也。@武王@同母兄弟十人。母曰@太姒@，@文	时间
035_管蔡世家	卫长子	长子	96	词表匹配	长子	，@文王@正妃也。其长子曰@伯邑考@，次曰@	人名
035_管蔡世家	十人	十人	190	词表匹配	十人	季载@最少。同母昆弟十人，唯@发@、@旦@贤	时间
035_管蔡世家	右辅	右辅	204	词表匹配	右辅	@发@、@旦@贤，左右辅@文王@，故@文王舍	官职
035_管蔡世家	伯邑考	伯邑考	217	词表匹配	伯邑考	文王@，故@文王舍@伯邑考@而以@发@为$太子	人名
035_管蔡世家	周文王	文王	234	词表匹配	文王	发@为$太子$。及@文王@崩而@发@立，是为	人名
035_管蔡世家	周武王	武王	247	词表匹配	武王	崩而@发@立，是为@武王@。@伯邑考@既已前	人名
035_管蔡世家	伯邑考	伯邑考	252	词表匹配	伯邑考	立，是为@武王@。@伯邑考@既已前卒矣。↵↵#	人名
035_管蔡世家	武王封建诸弟	武王封建诸弟	267	词表匹配	武王封建诸弟	已前卒矣。↵↵## 武王封建诸弟↵↵[2.2] @武	event
035_管蔡世家	功臣	功臣	299	词表匹配	功臣	&@纣@，平天下，封功臣昆弟。於是封@叔鲜@	官职
035_管蔡世家	二人	二人	326	词表匹配	二人	封@叔度@於=蔡=：二人相@纣@子@武庚禄父	时间
035_管蔡世家	周公	周公	427	词表匹配	周公	↵↵## 管蔡作乱与周公东征↵↵[3.3] 	人名
035_管蔡世家	十人	十人	538	词表匹配	十人	迁之，与车十乘，徒七十人从。而分&殷&馀民为	时间
035_管蔡世家	蔡仲	蔡仲	671	词表匹配	蔡仲	名於天下。↵↵## 蔡仲改行复封于蔡↵↵[4	人名
035_管蔡世家	天子	天子	792	词表匹配	天子	。馀五叔皆就国，无为天子吏者。↵↵## 蔡国	官职
035_管蔡世家	蔡国早期世系	蔡国早期世系	802	词表匹配	蔡国早期世系	天子吏者。↵↵## 蔡国早期世系↵↵[5.5] @蔡	event
035_管蔡世家	共侯	共侯	1028	词表匹配	共侯	列为诸侯。↵↵## 共侯至桓侯↵↵[8.8]	人名
035_管蔡世家	齐桓侯	桓侯	1031	词表匹配	桓侯	侯。↵↵## 共侯至桓侯↵↵[8.8] %四	人名
035_管蔡世家	哀侯被楚所虏	哀侯被楚所虏	1195	词表匹配	哀侯被楚所虏	献舞@立。↵↵## 哀侯被楚所虏↵↵[10.10] 	event
035_管蔡世家	缪侯与齐桓公	缪侯与齐桓公	1378	词表匹配	缪侯与齐桓公	@缪侯@。↵↵## 缪侯与齐桓公↵↵[11.11] 	event
035_管蔡世家	夫人	夫人	1410	词表匹配	夫人	女弟为&齐&@桓公@夫人。%十八年%，&齐&	人名
035_管蔡世家	蔡女	蔡女	1427	词表匹配	蔡女	%，&齐&@桓公@与蔡女戏船中，夫人荡舟，@	族群
035_管蔡世家	夫人	夫人	1433	词表匹配	夫人	桓公@与蔡女戏船中，夫人荡舟，@桓公@止之，	人名
035_管蔡世家	蔡女	蔡女	1452	词表匹配	蔡女	止之，不止，公怒，归蔡女而不绝也。@蔡侯@怒	族群
035_管蔡世家	庄侯	庄侯	1557	词表匹配	庄侯	甲午%立。↵↵## 庄侯至文侯↵↵[12.1	人名
035_管蔡世家	文侯申	文侯	1560	词表匹配	文侯	立。↵↵## 庄侯至文侯↵↵[12.12] 	人名
035_管蔡世家	弑其父	弑其父	1628	词表匹配	弑其父	，&楚&太子@商臣@弑其父@成王@代立。%二十	官职
035_管蔡世家	蔡景侯	景侯	1785	词表匹配	景侯	侯固@立。↵↵## 景侯至灵侯被楚诱杀↵↵[	人名
035_管蔡世家	灵侯	灵侯	1788	词表匹配	灵侯	立。↵↵## 景侯至灵侯被楚诱杀↵↵[14.	人名
035_管蔡世家	弑其父	弑其父	1977	词表匹配	弑其父	&@灵王@以@灵侯@弑其父，诱@蔡灵侯@于=申	官职
035_管蔡世家	十人	十人	2007	词表匹配	十人	醉而杀之，刑其士卒七十人。令公子@弃疾@围&	时间
035_管蔡世家	楚平王复立蔡	楚平王复立蔡	2051	词表匹配	楚平王复立蔡	&$公$。↵↵## 楚平王复立蔡↵↵[16.16] 	event
035_管蔡世家	悼侯	悼侯	2176	词表匹配	悼侯	&蔡&後。↵↵## 悼侯至昭侯↵↵[17.1	人名
035_管蔡世家	晋昭侯	昭侯	2179	词表匹配	昭侯	後。↵↵## 悼侯至昭侯↵↵[17.17] 	人名
035_管蔡世家	晋昭侯	昭侯	2331	词表匹配	昭侯	侯申@立。↵↵## 昭侯朝楚受辱↵↵[18.	人名
035_管蔡世家	州来	州来	2484	词表匹配	州来	楚&。↵↵## 蔡迁州来与昭侯遇弑↵↵[19	地名
035_管蔡世家	晋昭侯	昭侯	2487	词表匹配	昭侯	↵↵## 蔡迁州来与昭侯遇弑↵↵[19.19	人名
035_管蔡世家	赵成侯	成侯	2875	词表匹配	成侯	@成侯@。↵↵## 成侯至楚灭蔡↵↵[20.	人名
035_管蔡世家	楚灭蔡	楚灭蔡	2878	词表匹配	楚灭蔡	@。↵↵## 成侯至楚灭蔡↵↵[20.20] 	event
035_管蔡世家	周武王	武王	3059	词表匹配	武王	十三年%。↵↵## 武王诸弟封国概况↵↵[2	人名
035_管蔡世家	本纪	本纪	3104	词表匹配	本纪	@，其後为&周&，有本纪言。@管叔鲜@作乱诛	制度
035_管蔡世家	世家	世家	3135	词表匹配	世家	@，其後为&鲁&，有世家言。@蔡叔度@，其後	器物
035_管蔡世家	世家	世家	3153	词表匹配	世家	@，其後为&蔡&，有世家言。@曹叔振铎@，有	器物
035_管蔡世家	世家	世家	3172	词表匹配	世家	@，有後为&曹&，有世家言。@成叔武@，其後	器物
035_管蔡世家	世家	世家	3224	词表匹配	世家	@，其後为&卫&，有世家言。@厓季载@，其後	器物
035_管蔡世家	司马迁	太史公	3246	词表匹配	太史公	世无所见。↵↵## 太史公论管蔡↵↵[23.2	人名
