章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
036_陈杞世家	世家	世家	8	词表匹配	世家	# 036 陈杞世家↵↵## 标题↵**	器物
036_陈杞世家	陈胡公受封奉舜祀	陈胡公受封奉舜祀	35	词表匹配	陈胡公受封奉舜祀	&世家**↵↵## 陈胡公受封奉舜祀↵↵[1.1] @陈	event
036_陈杞世家	陈国早期世系	陈国早期世系	199	词表匹配	陈国早期世系	@胡公@。↵↵## 陈国早期世系↵↵[2.2] @胡	event
036_陈杞世家	平公	平公	493	词表匹配	平公	列为诸侯。↵↵## 平公至桓公↵↵[5.5]	人名
036_陈杞世家	郑桓公	桓公	496	词表匹配	桓公	侯。↵↵## 平公至桓公↵↵[5.5] %二	人名
036_陈杞世家	卫长子	长子	567	词表匹配	长子	十年%，@文公@卒，长子@桓公鲍@立。↵↵[	人名
036_陈杞世家	厉公篡位与陈敬仲奔齐	厉公篡位与陈敬仲奔齐	644	词表匹配	厉公篡位与陈敬仲奔齐	@隐公@。↵↵## 厉公篡位与陈敬仲奔齐↵↵[8.8] %三	event
036_陈杞世家	郑桓公	桓公	719	词表匹配	桓公	@佗@杀@五父@及@桓公@$太子$@免@而立	人名
036_陈杞世家	郑厉公	厉公	738	词表匹配	厉公	@而立@佗@，是为@厉公@。@桓公@病而乱作	人名
036_陈杞世家	郑桓公	桓公	743	词表匹配	桓公	@，是为@厉公@。@桓公@病而乱作，国人分散	人名
036_陈杞世家	卫宣公	宣公	1098	词表匹配	宣公	@宣公@。↵↵## 宣公至齐桓公伐蔡过陈↵↵	人名
036_陈杞世家	齐桓公伐蔡过陈	齐桓公伐蔡过陈	1101	词表匹配	齐桓公伐蔡过陈	@。↵↵## 宣公至齐桓公伐蔡过陈↵↵[11.11] 	event
036_陈杞世家	五世	五世	1339	词表匹配	五世	之後，将育于~姜~。五世其昌，并于$正卿$。	时间
036_陈杞世家	八世	八世	1351	词表匹配	八世	其昌，并于$正卿$。八世之後，莫之与京。"↵	时间
036_陈杞世家	缪公	穆公	1482	词表匹配	穆公	@申生@。↵↵## 穆公至灵公↵↵[14.1	人名
036_陈杞世家	晋灵公	灵公	1485	词表匹配	灵公	@。↵↵## 穆公至灵公↵↵[14.14] 	人名
