章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
038_宋微子世家	微子启	微子	7	词表匹配	微子	# 038 宋微子世家↵↵## 标题↵	人名
038_宋微子世家	世家	世家	9	词表匹配	世家	# 038 宋微子世家↵↵## 标题↵&宋	器物
038_宋微子世家	世家	世家	26	词表匹配	世家	标题↵&宋&@微子@世家↵↵↵## [1] 	器物
038_宋微子世家	微子启	微子	38	词表匹配	微子	↵↵↵## [1] 微子与箕子谏纣↵↵[1.	人名
038_宋微子世家	箕子	箕子	41	词表匹配	箕子	## [1] 微子与箕子谏纣↵↵[1.1] 	人名
038_宋微子世家	王子比干	比干	622	词表匹配	比干	↵↵↵## [2] 比干死谏与微子去殷↵↵[	人名
038_宋微子世家	微子启	微子	627	词表匹配	微子	 [2] 比干死谏与微子去殷↵↵[2.3] 	人名
038_宋微子世家	有过	有过	679	词表匹配	有过	奴$，则曰："$君$有过而不以死争，则百姓何	朝代
038_宋微子世家	有过	有过	776	词表匹配	有过	$$主$以义属。故父有过，子三谏不听，则随而	朝代
038_宋微子世家	微子肉袒降周	微子肉袒降周	841	词表匹配	微子肉袒降周	↵↵↵## [3] 微子肉袒降周↵↵[3.5] &周	event
038_宋微子世家	周武王	武王	944	词表匹配	武王	↵↵↵## [4] 武王封武庚与访箕子↵↵[	人名
038_宋微子世家	武庚禄父	武庚	947	词表匹配	武庚	## [4] 武王封武庚与访箕子↵↵[4.6	人名
038_宋微子世家	箕子	箕子	951	词表匹配	箕子	4] 武王封武庚与访箕子↵↵[4.6] $@	人名
038_宋微子世家	箕子陈洪范九畴	箕子陈洪范九畴	1040	词表匹配	箕子陈洪范九畴	↵↵↵## [5] 箕子陈洪范九畴↵↵[6.8] $@	event
038_宋微子世家	星辰	星辰	1507	词表匹配	星辰	二曰月，三曰日，四曰星辰，五曰历数。↵↵↵#	天文
038_宋微子世家	皇极	皇极	1525	词表匹配	皇极	↵↵↵## [6] 皇极三德与稽疑↵↵[7.	制度
038_宋微子世家	三德	三德	1527	词表匹配	三德	↵## [6] 皇极三德与稽疑↵↵[7.15	制度
038_宋微子世家	稽疑	稽疑	1530	词表匹配	稽疑	 [6] 皇极三德与稽疑↵↵[7.15] "	制度
038_宋微子世家	三人	三人	2059	词表匹配	三人	。立时人为*卜筮*，三人占则从二人之言。女则	时间
038_宋微子世家	二人	二人	2064	词表匹配	二人	*卜筮*，三人占则从二人之言。女则有大疑，谋	时间
038_宋微子世家	庶徵	庶徵	2281	词表匹配	庶徵	↵↵↵## [7] 庶徵五福六极↵↵[9.1	制度
038_宋微子世家	五福	五福	2283	词表匹配	五福	↵## [7] 庶徵五福六极↵↵[9.18]	制度
038_宋微子世家	六极	六极	2285	词表匹配	六极	# [7] 庶徵五福六极↵↵[9.18] "	制度
038_宋微子世家	时雨	时雨	2356	词表匹配	时雨	。曰^休徵^：曰肃，时雨若，曰治，时旸若；曰	神话
038_宋微子世家	百穀	百穀	2443	词表匹配	百穀	维日。岁月日时毋易，百穀用成，治用明，畯民用	动植物
038_宋微子世家	日月	日月	2462	词表匹配	日月	畯民用章，家用平康。日月岁时既易，百穀用不成	制度
038_宋微子世家	岁时	岁时	2464	词表匹配	岁时	用章，家用平康。日月岁时既易，百穀用不成，治	时间
038_宋微子世家	百穀	百穀	2469	词表匹配	百穀	平康。日月岁时既易，百穀用不成，治用昏不明，	动植物
038_宋微子世家	日月	日月	2506	词表匹配	日月	星有好风，星有好雨。日月之行，有冬有%夏%。	制度
038_宋微子世家	封箕子于朝鲜	封箕子于朝鲜	2610	词表匹配	封箕子于朝鲜	↵↵↵## [8] 封箕子于朝鲜与麦秀之诗↵↵[10	event
