章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
039_晋世家	诛灭	诛灭	170	词表匹配	诛灭	&唐&有乱，@周公@诛灭&唐&。@成王@与@	刑法
039_晋世家	君子	君子	1096	词表匹配	君子	&晋&国之众皆附焉。君子曰："&晋&之乱其在	思想
039_晋世家	民心	民心	1120	词表匹配	民心	沃=矣。末大於本而得民心，不乱何待！"↵↵↵	思想
039_晋世家	宗庙	宗庙	2560	词表匹配	宗庙	曰："=曲沃=吾先祖宗庙所在，而=蒲=边&秦	礼仪
039_晋世家	诸子	诸子	2584	词表匹配	诸子	=屈=边~翟~，不使诸子居之，我惧焉。"於是	思想
039_晋世家	社稷	社稷	3157	词表匹配	社稷	公@曰："太子奉冢祀社稷之粢盛，以朝夕视君膳	礼仪
039_晋世家	祭地	祭地	3848	词表匹配	祭地	所从来远，宜试之。"祭地，地坟；与犬，犬死；	礼仪
039_晋世家	君子	君子	5556	词表匹配	君子	于朝，@荀息@死之。君子曰："诗所谓'白珪之	思想
039_晋世家	社稷	社稷	7543	词表匹配	社稷	"孤虽得归，毋面目见社稷，卜日立子@圉@。"	礼仪
039_晋世家	君子	君子	7626	词表匹配	君子	~戎~、~狄~'。其君子则爱君而知罪，以待&	思想
039_晋世家	天下	天下	10578	词表匹配	天下	犯@曰："臣从君周旋天下，过亦多矣。臣犹知之	思想
039_晋世家	仁义	仁义	11899	词表匹配	仁义	公@报曰："夫导我以仁义，防我以德惠，此受上	思想
039_晋世家	天下	天下	12073	词表匹配	天下	&秦&入之，毋以令于天下。方今尊王，&晋&之	思想
039_晋世家	圣人	圣人	13606	词表匹配	圣人	："吾闻能战胜安者唯圣人，是以惧。且@子玉@	思想
039_晋世家	族灭	族灭	18614	词表匹配	族灭	@赵同@、@赵括@，族灭之。@韩厥@曰："@	刑法
039_晋世家	天下	天下	19158	词表匹配	天下	&由此威诸侯，欲以令天下求霸。↵↵↵## 厉	思想
039_晋世家	宗庙	宗庙	20070	词表匹配	宗庙	惠立@桓叔@之後，赖宗庙$大夫$之灵，得奉&	礼仪
039_晋世家	君子	君子	20235	词表匹配	君子	问，举其子@祁午@。君子曰："@祁傒@可谓不	思想
039_晋世家	仁义	仁义	20494	词表匹配	仁义	@。@师旷@曰："惟仁义为本。"%冬%，@悼	思想
039_晋世家	明君	明君	22862	词表匹配	明君	：@晋文公@，古所谓明君也，亡居外十九年，至	思想
039_晋世家	天命	天命	22985	词表匹配	天命	[131.147] 天命@叔虞@，卒封於&唐	思想
