章节	正名	词	位置	框架类型	匹配模式	上下文	实体类型
044_魏世家	世家	世家	7	词表匹配	世家	# 044 魏世家↵↵## 标题↵@魏	器物
044_魏世家	世家	世家	20	词表匹配	世家	↵## 标题↵@魏@世家↵↵## [1] 魏	器物
044_魏世家	魏氏	魏氏	31	词表匹配	魏氏	家↵↵## [1] 魏氏起源↵↵[1.1] 	朝代
044_魏世家	中国	中国	111	词表匹配	中国	後绝封，为庶人，或在中国，或在~夷狄~。其苗	地名
044_魏世家	天子	天子	262	词表匹配	天子	以是始赏，天开之矣，天子曰兆民，诸侯曰万民。	官职
044_魏世家	魏氏	魏氏	344	词表匹配	魏氏	"↵↵## [2] 魏氏世代↵↵[2.1] 	朝代
044_魏世家	魏绛	魏绛	556	词表匹配	魏绛	。↵↵## [3] 魏绛事晋↵↵[3.1] 	人名
044_魏世家	魏献子	魏献子	808	词表匹配	魏献子	。↵↵## [4] 魏献子为政↵↵[4.1] 	人名
044_魏世家	魏文侯建国	魏文侯建国	1120	词表匹配	魏文侯建国	。↵↵## [5] 魏文侯建国↵↵[5.1] @桓	event
044_魏世家	文侯礼贤	文侯礼贤	1577	词表匹配	文侯礼贤	。↵↵## [6] 文侯礼贤↵↵[6.1] $@	event
044_魏世家	李克论相	李克论相	1711	词表匹配	李克论相	。↵↵## [7] 李克论相↵↵[7.1] $@	event
044_魏世家	三人	三人	2291	词表匹配	三人	方@、@段干木@。此三人者，君皆师之。子之所	时间
044_魏世家	文侯申	文侯	2366	词表匹配	文侯	"↵↵## [8] 文侯晚年↵↵[8.1] 	人名
044_魏世家	魏武侯	魏武侯	2537	词表匹配	魏武侯	。↵↵## [9] 魏武侯时期↵↵[9.1] 	人名
044_魏世家	魏惠王	魏惠王	2824	词表匹配	魏惠王	↵↵## [10] 魏惠王即位↵↵[10.1]	人名
044_魏世家	彗星	彗星	3370	词表匹配	彗星	伐取@赵@=皮牢=。彗星见。%十二年%，星昼	天文
044_魏世家	马陵之战	马陵之战	3696	词表匹配	马陵之战	↵↵## [11] 马陵之战↵↵[11.1] %	event
044_魏世家	万世	万世	3886	词表匹配	万世	。若战不胜&齐&，则万世无@魏@矣。此臣之百	时间
044_魏世家	徙都大梁	徙都大梁	4055	词表匹配	徙都大梁	↵↵## [12] 徙都大梁↵↵[12.1] %	event
044_魏世家	宗庙	宗庙	4355	词表匹配	宗庙	，国以空虚，以羞先君宗庙社稷，寡人甚丑之，叟	制度
044_魏世家	社稷	社稷	4357	词表匹配	社稷	以空虚，以羞先君宗庙社稷，寡人甚丑之，叟不远	制度
044_魏世家	千里	千里	4369	词表匹配	千里	，寡人甚丑之，叟不远千里，辱幸至弊邑之廷，将	时间
044_魏世家	仁义	仁义	4441	词表匹配	仁义	，国则危矣。为人君，仁义而已矣，何以利为！"	制度
044_魏世家	魏襄王	魏襄王	4510	词表匹配	魏襄王	↵↵## [14] 魏襄王时期↵↵[14.1]	人名
044_魏世家	魏哀王	魏哀王	4864	词表匹配	魏哀王	↵↵## [15] 魏哀王时期↵↵[15.1]	人名
044_魏世家	成陵君	成陵君	5021	词表匹配	成陵君	↵## [16] 卫成陵君之事↵↵[16.1]	人名
044_魏世家	无穷	无穷	5218	词表匹配	无穷	&卫&之德@魏@必终无穷。"$@成陵君@$曰	地名
044_魏世家	三人	三人	5805	词表匹配	三人	。$太子$之自相，是三人者皆以$太子$为非常	时间
044_魏世家	魏昭王	魏昭王	6145	词表匹配	魏昭王	↵↵## [18] 魏昭王时期↵↵[18.1]	人名
044_魏世家	四百里	四百里	6244	词表匹配	四百里	予&秦&=河东=地方四百里。@芒卯@以诈重。%	时间
044_魏世家	月馀	月馀	6300	词表匹配	月馀	@齐湣王@$为东帝，月馀，皆复称王归帝。%九	时间
044_魏世家	魏安釐王	魏安釐王	6529	词表匹配	魏安釐王	↵↵## [19] 魏安釐王时期↵↵[19.1]	人名
044_魏世家	万人	万人	6638	词表匹配	万人	韩@、@赵@，杀十五万人，走我将@芒卯@。$	时间
044_魏世家	今王	今王	6700	词表匹配	今王	也，欲地者&秦&也。今王使欲地者制玺，使欲玺	官职
044_魏世家	今王	今王	6815	词表匹配	今王	便则食，不便则止矣。今王曰'事始已行，不可更	官职
044_魏世家	唐雎	唐雎	7394	词表匹配	唐雎	↵↵## [21] 唐雎说秦↵↵[21.1]	人名
044_魏世家	冠带	冠带	7626	词表匹配	冠带	事&秦&，称东籓，受冠带，祠春秋者，以&秦&	器物
044_魏世家	春秋	春秋	7630	词表匹配	春秋	，称东籓，受冠带，祠春秋者，以&秦&之彊足以	时间
044_魏世家	范痤	范痤	7772	词表匹配	范痤	↵↵## [22] 范痤之事↵↵[22.1]	人名
044_魏世家	七十里	七十里	7809	词表匹配	七十里	我杀@范痤@，吾请献七十里之地。"$魏王$曰：	时间
044_魏世家	信陵君谏伐韩	信陵君谏伐韩	8011	词表匹配	信陵君谏伐韩	↵↵## [23] 信陵君谏伐韩↵↵[23.1] $	event
044_魏世家	程不识	不识	8107	词表匹配	不识	之心，贪戾好利无信，不识^礼义^德行。苟有利	人名
044_魏世家	而以	而以	8160	词表匹配	而以	也。故$太后$母也，而以忧死；$@穰侯@$舅	人名
